Name,Position,Age,Birthdate,Height,Weight,Team
Mornay SMITH,Prop,27,1998-01-30,1.81,119,bulls
Seb LOMBARD,Prop,22,2002-10-07,1.9,126,bulls
Simphiwe MATANZIMA,Prop,27,1997-08-18,1.83,121,bulls
Tielman NIEUWOUDT,Prop,23,2002-04-22,1.8,128,bulls
Wilco LOUW,Prop,30,1994-07-20,1.85,144,bulls
Akker VAN DER MERWE,Hooker,34,1991-06-17,1.78,108,bulls
Jan-Hendrik WESSELS,Hooker,24,2001-05-08,1.8800000000000001,121,bulls
Joe VAN ZYL,Hooker,26,1999-01-21,1.85,114,bulls
Johan GROBBELAAR,Hooker,27,1997-12-30,1.83,105,bulls
Cobus WIESE,Lock,28,1997-06-02,1.99,125,bulls
Deon SLABBERT,Lock,25,2000-05-04,2,117,bulls
Jaco GROBBELAAR,Lock,20,2005-01-01,1.98,109,bulls
JF VAN HEERDEN,Lock,21,2004-05-06,2.01,122,bulls
Reinhardt LUDWIG,Lock,22,2002-08-27,1.98,110,bulls
Ruan NORTJÉ,Lock,26,1998-07-25,2,113,bulls
Ruan VERMAAK,Lock,27,1998-05-01,1.99,120,bulls
Sintu MANJEZI,Lock,30,1995-04-07,1.98,118,bulls
Bernard VAN DER LINDE,Scrum-half,24,2000-11-30,1.75,86,bulls
Embrose PAPIER,Scrum-half,28,1997-04-25,1.71,80,bulls
Keagan JOHANNES,Scrum-half,25,1999-11-27,1.78,77,bulls
Zak BURGER,Scrum-half,26,1998-08-20,1.74,83,bulls
Boeta CHAMBERLAIN,Fly-half,26,1999-02-22,1.84,83,bulls
Jaco VAN DER WALT,Fly-half,31,1994-02-01,1.82,92,bulls
Johan GOOSEN,Fly-half,32,1992-07-27,1.84,89,bulls
David KRIEL,Fullback,26,1999-02-15,1.95,102,bulls
Devon WILLIAMS,Fullback,33,1992-04-16,1.75,79,bulls
Sibongile NOVUKA,Fullback,27,1998-02-01,1.92,97,bulls
Willie LE ROUX,Fullback,35,1989-08-18,1.84,92,bulls
Corey DOMACHOWSKI,Prop,28,1996-09-19,1.83,124,cardiff
Danny SOUTHWORTH,Prop,26,1999-05-04,1.83,120,cardiff
Ed BYRNE,Prop,31,1993-09-09,1.8,115,cardiff
Keiron ASSIRATTI,Prop,28,1997-06-30,1.78,119,cardiff
Rhys LITTERICK,Prop,26,1999-03-02,1.79,120,cardiff
Will DAVIES-KING,Prop,26,1998-07-28,1.93,128,cardiff
Dafydd HUGHES,Hooker,29,1996-01-08,1.79,105,cardiff
Efan DANIEL,Hooker,22,2002-12-14,1.85,105,cardiff
Evan LLOYD,Hooker,23,2001-12-28,1.85,115,cardiff
Liam BELCHER,Hooker,29,1996-04-28,1.77,107,cardiff
Josh MCNALLY,Lock,34,1990-08-21,2.01,125,cardiff
Rory THORNTON,Lock,30,1995-03-16,2.01,119,cardiff
Seb DAVIES,Lock,29,1996-05-17,2.03,119,cardiff
Aled DAVIES,Scrum-half,32,1992-07-19,1.78,88,cardiff
Callum BRALEY,Scrum-half,31,1994-03-20,1.78,84,cardiff
Ellis BEVAN,Scrum-half,25,2000-03-10,1.8,92,cardiff
Ethan LLOYD,Scrum-half,23,2001-09-29,1.78,82,cardiff
Johan MULDER,Scrum-half,25,1999-08-06,1.76,85,cardiff
Ben THOMAS,Fly-half,26,1998-11-25,1.83,93,cardiff
Callum SHEEDY,Fly-half,29,1995-10-28,1.77,88,cardiff
Rory JENNINGS,Fly-half,29,1995-12-24,1.8,91,cardiff
Tinus DE BEER,Fly-half,29,1996-01-24,1.76,90,cardiff
Cam WINNETT,Fullback,22,2003-01-07,1.8,85,cardiff
Jacob BEETHAM,Fullback,24,2001-04-18,1.85,87,cardiff
Chris COLEMAN,Prop,26,1998-08-31,1.8900000000000001,130,dragons
Dmitri ARHIP,Prop,36,1988-11-12,1.83,120,dragons
Jamie HUGHES,Prop,28,1996-09-30,1.8800000000000001,121,dragons
Josh REYNOLDS,Prop,26,1998-12-01,1.8,116,dragons
Luke YENDLE,Prop,25,2000-06-27,1.85,120,dragons
Nathan EVANS,Prop,23,2002-01-03,1.78,120,dragons
Paula LATU,Prop,29,1996-02-14,1.87,123,dragons
Rhodri JONES,Prop,33,1991-12-23,1.91,120,dragons
Rodrigo MARTINEZ,Prop,26,1998-07-07,1.8800000000000001,120,dragons
Brodie COGHLAN,Hooker,24,2000-12-21,1.83,112,dragons
Elliot DEE,Hooker,31,1994-03-07,1.86,106,dragons
James BENJAMIN,Hooker,31,1994-02-21,1.83,100,dragons
Lewis MORGAN,Hooker,21,2003-08-01,1.78,108,dragons
Oli BURROWS,Hooker,23,2002-05-16,1.8800000000000001,110,dragons
Barny LANGTON,Lock,24,2001-01-26,1.95,117,dragons
Ben CARTER,Lock,24,2001-01-23,1.98,122,dragons
George NOTT,Lock,29,1996-06-21,1.98,114,dragons
Joe DAVIES,Lock,29,1995-11-13,1.97,130,dragons
Matthew SCREECH,Lock,32,1992-10-24,1.96,116,dragons
Steven CUMMINS,Lock,33,1992-03-29,2.02,120,dragons
Dane BLACKER,Scrum-half,26,1998-07-06,1.78,78,dragons
Rhodri WILLIAMS,Scrum-half,32,1993-05-05,1.79,81,dragons
Angus O'BRIEN,Fly-half,30,1994-09-17,1.8,89,dragons
Cai EVANS,Fly-half,26,1999-06-23,1.85,84,dragons
Josh THOMAS,Fly-half,24,2000-06-30,1.78,83,dragons
Lloyd EVANS,Fly-half,29,1995-12-14,1.83,90,dragons
Will REED,Fly-half,23,2001-11-03,1.76,80,dragons
Jordan WILLIAMS,Fullback,31,1993-09-20,1.73,81,dragons
Angus WILLIAMS,Prop,31,1993-11-11,1.8,117,edinburgh
Boan VENTER,Prop,28,1997-04-12,1.87,124,edinburgh
D'Arcy RAE,Prop,30,1994-12-21,1.86,125,edinburgh
Javan SEBASTIAN,Prop,30,1994-09-27,1.77,125,edinburgh
Paul HILL,Prop,30,1995-03-02,1.8900000000000001,123,edinburgh
Pierre SCHOEMAN,Prop,31,1994-05-07,1.84,118,edinburgh
Robin HISLOP,Prop,33,1992-02-26,1.8,116,edinburgh
Dave CHERRY,Hooker,34,1991-01-03,1.83,107,edinburgh
Ewan ASHMAN,Hooker,25,2000-04-03,1.8800000000000001,113,edinburgh
Patrick HARRISON,Hooker,23,2002-06-20,1.81,111,edinburgh
Glen YOUNG,Lock,30,1994-11-04,2.01,118,edinburgh
Grant GILCHRIST,Lock,34,1990-08-09,1.98,120,edinburgh
Marshall SYKES,Lock,25,1999-12-29,2,121,edinburgh
Rob CARMICHAEL,Lock,22,2003-04-04,2.1,125,edinburgh
Ali PRICE,Scrum-half,32,1993-05-12,1.77,88,edinburgh
Ben VELLACOTT,Scrum-half,30,1995-03-28,1.6700000000000002,78,edinburgh
Charlie SHIEL,Scrum-half,27,1997-12-03,1.78,83,edinburgh
Ben HEALY,Fly-half,26,1999-06-29,1.91,100,edinburgh
Cammy SCOTT,Fly-half,23,2001-09-08,1.81,83,edinburgh
James LANG,Fly-half,30,1995-04-04,1.83,95,edinburgh
Ross THOMPSON,Fly-half,26,1999-04-10,1.83,86,edinburgh
Emiliano BOFFELLI,Fullback,30,1995-01-16,1.92,96,edinburgh
Harry PATERSON,Fullback,24,2001-06-28,1.91,93,edinburgh
Nathan SWEENEY,Fullback,24,2001-04-17,1.81,89,edinburgh
Fin RICHARDSON,Prop,26,1998-09-16,1.83,120,glasgow
Jamie BHATTI,Prop,31,1993-09-08,1.85,125,glasgow
Murphy WALKER,Prop,25,1999-10-25,1.85,110,glasgow
Nathan MCBETH,Prop,27,1998-06-08,1.8900000000000001,120,glasgow
Patrick SCHICKERLING,Prop,26,1998-10-16,1.82,120,glasgow
Rory SUTHERLAND,Prop,32,1992-08-24,1.83,116,glasgow
Sam TALAKAI,Prop,33,1991-09-04,1.83,122,glasgow
Zander FAGERSON,Prop,29,1996-01-19,1.8800000000000001,126,glasgow
Angus FRASER,Hooker,25,1999-12-09,1.81,110,glasgow
Grant STEWART,Hooker,30,1995-02-28,1.82,113,glasgow
Gregor HIDDLESTON,Hooker,23,2002-03-26,1.87,120,glasgow
Johnny MATTHEWS,Hooker,31,1993-07-05,1.83,110,glasgow
Alex SAMUEL,Lock,22,2002-12-27,2.07,124,glasgow
Euan FERRIE,Lock,23,2001-07-23,1.94,110,glasgow
Gregor BROWN,Lock,23,2001-07-01,1.96,109,glasgow
JP DU PREEZ,Lock,30,1994-11-09,2.08,130,glasgow
Max WILLIAMSON,Lock,23,2002-05-08,2.01,120,glasgow
Richie GRAY,Lock,35,1989-08-24,2.05,126,glasgow
Scott CUMMINGS,Lock,28,1996-12-03,1.99,117,glasgow
Ben AFSHAR,Scrum-half,22,2003-04-02,1.84,81,glasgow
George HORNE,Scrum-half,30,1995-05-12,1.74,81,glasgow
Jamie DOBIE,Scrum-half,24,2001-06-07,1.75,81,glasgow
Sean KENNEDY,Scrum-half,34,1991-04-24,1.73,80,glasgow
Adam HASTINGS,Fly-half,28,1996-10-05,1.8900000000000001,93,glasgow
Duncan WEIR,Fly-half,34,1991-05-10,1.76,91,glasgow
Tom JORDAN,Fly-half,26,1998-09-18,1.8900000000000001,96,glasgow
Josh MCKAY,Fullback,27,1997-10-10,1.83,95,glasgow
Kyle ROWE,Fullback,27,1998-02-08,1.83,88,glasgow
Ollie SMITH,Fullback,24,2000-08-07,1.8800000000000001,90,glasgow
Enzo AVACA,Prop,25,2000-06-12,1.8800000000000001,118,benetton
Giosué ZILOCCHI,Prop,28,1997-01-15,1.8900000000000001,115,benetton
Ivan NEMER,Prop,27,1998-04-22,1.8,117,benetton
Mirco SPAGNOLO,Prop,24,2001-01-02,1.86,110,benetton
Nahuel TETAZ CHAPARRO,Prop,35,1989-11-06,1.86,121,benetton
Simone FERRARI,Prop,31,1994-03-28,1.86,120,benetton
Thomas GALLO,Prop,26,1999-04-30,1.77,107,benetton
Tiziano PASQUALI,Prop,30,1994-07-14,1.85,118,benetton
Agustín CREEVY,Hooker,40,1985-03-15,1.8,108,benetton
Bautista BERNASCONI,Hooker,23,2001-09-14,1.75,114,benetton
Marco MANFREDI,Hooker,27,1997-09-18,1.83,110,benetton
Siua MAILE,Hooker,28,1997-02-18,1.81,113,benetton
Edoardo IACHIZZI,Lock,27,1998-05-26,1.96,112,benetton
Eli SNYMAN,Lock,29,1996-01-25,2.01,119,benetton
Federico RUZZA,Lock,30,1994-08-04,1.98,110,benetton
Gideon KOEGELENBERG,Lock,30,1994-11-25,2.02,124,benetton
Jadin KINGI,Lock,22,2002-08-19,1.98,108,benetton
Niccolò CANNONE,Lock,27,1998-05-17,1.97,121,benetton
Riccardo FAVRETTO,Lock,23,2001-10-18,2,108,benetton
Scott SCRAFTON,Lock,32,1993-04-18,2,120,benetton
Alessandro GARBISI,Scrum-half,23,2002-04-11,1.74,88,benetton
Andy UREN,Scrum-half,29,1996-02-20,1.78,93,benetton
Lautaro BAZÁN VÉLEZ,Scrum-half,29,1996-02-24,1.73,82,benetton
Nicolò CASILIO,Scrum-half,26,1998-10-12,1.8,85,benetton
Giuliano AVACA,Fly-half,22,2003-02-25,1.8,89,benetton
Jacob UMAGA,Fly-half,26,1998-07-08,1.82,91,benetton
Leonardo MARIN,Fly-half,23,2002-02-23,1.8800000000000001,88,benetton
Tomás ALBORNOZ,Fly-half,27,1997-09-17,1.77,82,benetton
Matt GALLAGHER,Fullback,28,1996-10-26,1.85,96,benetton
Rhyno SMITH,Fullback,32,1993-02-11,1.73,83,benetton
Andrew PORTER,Prop,29,1996-01-16,1.85,125,leinster
Cian HEALY,Prop,37,1987-10-07,1.85,117,leinster
Ivan SOROKA,Prop,30,1994-10-01,1.8,110,leinster
Jack BOYLE,Prop,23,2002-03-10,1.85,113,leinster
Paddy MCCARTHY,Prop,22,2003-05-28,1.82,110,leinster
Rabah SLIMANI,Prop,35,1989-10-18,1.78,124,leinster
Tadhg FURLONG,Prop,32,1992-11-14,1.83,119,leinster
Tom CLARKSON,Prop,25,2000-02-22,1.85,118,leinster
Dan SHEEHAN,Hooker,26,1998-09-17,1.91,110,leinster
John MCKEE,Hooker,25,2000-02-15,1.83,109,leinster
Ronan KELLEHER,Hooker,27,1998-01-24,1.85,108,leinster
Brian DEENY,Lock,25,2000-02-03,2,119,leinster
James RYAN,Lock,28,1996-07-24,2.01,115,leinster
Joe MCCARTHY,Lock,24,2001-03-26,1.98,119,leinster
RG SNYMAN,Lock,30,1995-01-29,2.07,131,leinster
Ryan BAIRD,Lock,25,1999-07-26,1.98,113,leinster
Cormac FOLEY,Scrum-half,25,1999-10-24,1.8,90,leinster
Jamison GIBSON-PARK,Scrum-half,33,1992-02-23,1.75,83,leinster
Luke MCGRATH,Scrum-half,32,1993-02-03,1.75,84,leinster
Ciarán FRAWLEY,Fly-half,27,1997-12-04,1.91,98,leinster
Ross BYRNE,Fly-half,30,1995-04-08,1.93,95,leinster
Sam PRENDERGAST,Fly-half,22,2003-02-12,1.94,91,leinster
Hugo KEENAN,Fullback,29,1996-06-18,1.85,92,leinster
Jimmy O'BRIEN,Fullback,28,1996-11-27,1.83,90,leinster
Asenathi NTLABAKANYE,Prop,26,1999-04-15,1.82,153,lions
Conraad VAN VUUREN,Prop,29,NA,1.83,115,lions
Heiko POHLMANN,Prop,23,2002-01-16,1.85,128,lions
Juan SCHOEMAN,Prop,33,1991-09-18,1.86,120,lions
Morgan NAUDÉ,Prop,26,NA,1.81,108,lions
RF SCHOEMAN,Prop,21,2003-08-14,1.8800000000000001,122,lions
Sivu MABECE,Prop,22,2002-07-27,1.86,120,lions
Stian DE BRUYN,Prop,NA,NA,1.8800000000000001,118,lions
Franco MARAIS,Hooker,32,1992-09-23,1.85,108,lions
Jaco VISAGIE,Hooker,32,NA,1.8800000000000001,107,lions
Jacques-Lois DU TOIT,Hooker,24,2001-04-23,1.75,96,lions
Marno GROBBELAAR,Hooker,21,NA,1.83,105,lions
Morné BRANDON,Hooker,24,2000-11-25,1.84,106,lions
PJ BOTHA,Hooker,27,1998-01-20,1.81,105,lions
SJ KOTZE,Hooker,22,NA,1.86,110,lions
Darrien LANDSBERG,Lock,26,1998-07-26,1.96,111,lions
Etienne OOSTHUIZEN,Lock,32,1992-12-22,1.98,128,lions
Johnré STOPFORTH,Lock,NA,NA,2,105,lions
Luca RIBBENS,Lock,21,NA,1.93,112,lions
Raynard ROETS,Lock,24,NA,1.97,108,lions
Reinhard NOTHNAGEL,Lock,27,1997-09-25,2.02,117,lions
Ruan VENTER,Lock,22,2002-11-29,1.98,120,lions
Ruben SCHOEMAN,Lock,29,1996-03-14,1.99,124,lions
Siba QOMA,Lock,28,1997-02-17,1.9,108,lions
Tiaan WESSELS,Lock,22,NA,1.95,120,lions
Layton HORN,Scrum-half,22,2003-05-21,1.83,82,lions
Morné VAN DEN BERG,Scrum-half,27,1997-10-24,1.75,82,lions
Nico STEYN,Scrum-half,23,NA,1.77,78,lions
Gianni LOMBARD,Fly-half,27,1998-01-22,1.78,82,lions
Kade WOLHUTER,Fly-half,24,2001-06-28,1.82,93,lions
Lubabalo DOBELA,Fly-half,27,NA,1.75,80,lions
Sam FRANCIS,Fly-half,22,2003-03-14,1.9,100,lions
Zander DU PLESSIS,Fly-half,25,NA,1.9,90,lions
Quan HORN,Fullback,24,2001-06-27,1.81,84,lions
Richard KRIEL,Fullback,24,NA,1.94,95,lions
Tapiwa MAFURA,Fullback,29,NA,1.75,80,lions
Dian BLEULER,Prop,25,1999-08-05,1.83,120,sharks
Dian HEUNIS,Prop,22,2003-05-20,1.85,126,sharks
Hanro JACOBS,Prop,25,2000-03-14,1.85,129,sharks
Khwezi MONA,Prop,32,1992-10-08,1.83,120,sharks
Mawande MDANDA,Prop,22,2003-03-09,1.8900000000000001,132,sharks
Ntuthuko MCHUNU,Prop,26,1999-04-05,1.8800000000000001,120,sharks
Ox NCHÉ,Prop,29,1995-07-23,1.76,123,sharks
Phatu GANYANE,Prop,22,2003-01-17,1.85,123,sharks
Ruan DREYER,Prop,34,1990-09-16,1.86,115,sharks
Trevor NYAKANE,Prop,36,1989-05-04,1.78,122,sharks
Vincent KOCH,Prop,35,1990-03-13,1.85,118,sharks
Bongi MBONAMBI,Hooker,34,1991-01-07,1.75,118,sharks
Bryce CALVERT,Hooker,NA,NA,1.8,107,sharks
Ethan BESTER,Hooker,20,2004-10-31,1.87,112,sharks
Fez MBATHA,Hooker,25,1999-08-02,1.8,112,sharks
Coetzee LE ROUX,Lock,22,2003-01-22,1.93,112,sharks
Corné RAHL,Lock,23,2002-05-27,2.03,122,sharks
Deon SLABBERT,Lock,25,2000-05-04,2,117,sharks
Eben ETZEBETH,Lock,33,1991-10-29,2.03,126,sharks
Emile VAN HEERDEN,Lock,24,2000-08-08,2,110,sharks
Gerbrandt GROBLER,Lock,33,1992-02-06,2,120,sharks
Jason JENKINS,Lock,29,1995-12-02,2.03,127,sharks
Reniel HUGO,Lock,34,1990-07-19,1.97,112,sharks
Thomas DYER,Lock,20,2004-11-16,1.96,115,sharks
Bradley DAVIDS,Scrum-half,22,2002-07-30,1.76,79,sharks
Grant WILLIAMS,Scrum-half,28,1996-07-22,1.74,80,sharks
Jaden HENDRIKSE,Scrum-half,25,2000-03-23,1.84,92,sharks
Tiaan FOURIE,Scrum-half,23,2002-04-22,1.73,78,sharks
Tian MEYER,Scrum-half,36,1988-09-20,1.77,84,sharks
Jean SMITH,Fly-half,22,2003-04-01,1.81,89,sharks
Jordan HENDRIKSE,Fly-half,24,2001-06-28,1.8800000000000001,93,sharks
Lionel CRONJÉ,Fly-half,36,1989-05-25,1.84,92,sharks
Siya MASUKU,Fly-half,28,1996-08-01,1.8900000000000001,95,sharks
Aphelele FASSI,Fullback,27,1998-01-23,1.9,94,sharks
Hakeem KUNENE,Fullback,22,2003-02-03,1.83,90,sharks
Henry IMMELMAN,Fullback,30,1995-05-26,1.9,103,sharks
Jaco WILLIAMS,Fullback,19,2005-08-25,1.75,73,sharks
Alec HEPBURN,Prop,32,1993-03-30,1.86,114,scarlets
Archer HOLZ,Prop,25,2000-03-01,1.8900000000000001,128,scarlets
Gabe HAWLEY,Prop,NA,NA,1.9,130,scarlets
Harri O'CONNOR,Prop,24,2000-10-25,1.82,118,scarlets
Henry THOMAS,Prop,33,1991-10-30,1.8800000000000001,120,scarlets
Kemsley MATHIAS,Prop,25,1999-07-29,1.85,121,scarlets
Sam WAINWRIGHT,Prop,27,1998-05-07,1.82,119,scarlets
Marnus VAN DER MERWE,Hooker,28,1997-02-17,1.86,115,scarlets
Ryan ELIAS,Hooker,30,1995-01-07,1.8800000000000001,115,scarlets
Shaun EVANS,Hooker,28,1996-09-14,1.83,103,scarlets
Alex CRAIG,Lock,28,1997-04-26,1.98,119,scarlets
Jac PRICE,Lock,24,2000-08-04,1.98,115,scarlets
Max DOUGLAS,Lock,25,2000-01-01,2.01,112,scarlets
Morgan JONES,Lock,26,1999-05-23,2,112,scarlets
Sam LOUSI,Lock,33,1991-07-20,1.98,121,scarlets
Taine PLUMTREE,Lock,25,2000-03-09,1.95,108,scarlets
Vaea FIFITA,Lock,33,1992-06-17,1.96,116,scarlets
Archie HUGHES,Scrum-half,22,2003-02-14,1.73,77,scarlets
Efan JONES,Scrum-half,27,1997-12-11,1.77,85,scarlets
Gareth DAVIES,Scrum-half,34,1990-08-18,1.78,88,scarlets
Ioan LLOYD,Fly-half,24,2001-04-05,1.79,86,scarlets
Sam COSTELOW,Fly-half,24,2001-01-10,1.75,84,scarlets
Blair MURRAY,Fullback,23,2001-10-09,1.73,83,scarlets
Tomi LEWIS,Fullback,26,1999-01-17,1.85,87,scarlets
Ali VERMAAK,Prop,39,1986-04-28,1.78,111,stormers
Brok HARRIS,Prop,40,1985-02-22,1.86,121,stormers
Corné WEILBACH,Prop,23,2002-02-18,1.85,124,stormers
Frans MALHERBE,Prop,34,1991-03-14,1.9,141,stormers
Leon LYONS,Prop,26,1998-12-02,1.87,123,stormers
Neethling FOUCHÉ,Prop,32,1993-01-10,1.8900000000000001,120,stormers
Sazi SANDI,Prop,26,1998-07-11,1.81,124,stormers
Sti SITHOLE,Prop,32,1993-03-31,1.8,115,stormers
Vernon MATONGO,Prop,23,2002-02-28,1.81,120,stormers
André-Hugo VENTER,Hooker,23,2001-09-10,1.87,107,stormers
JJ KOTZÉ,Hooker,24,2000-11-06,1.87,109,stormers
Joseph DWEBA,Hooker,29,1995-10-25,1.8,111,stormers
Lukhanyo VOKOZELA,Hooker,23,2002-02-05,1.75,108,stormers
Siyabonga NTUBENI,Hooker,34,1991-02-18,1.74,109,stormers
Ben-Jason DIXON,Lock,27,1998-04-29,1.98,110,stormers
Connor EVANS,Lock,23,2002-01-24,1.98,113,stormers
Gary PORTER,Lock,28,1996-07-22,2.01,115,stormers
JD SCHICKERLING,Lock,30,1995-05-09,2.03,121,stormers
Ruben VAN HEERDEN,Lock,27,1997-10-27,2,121,stormers
Salmaan MOERAT,Lock,27,1998-03-06,2,122,stormers
Dewaldt DUVENAGE,Scrum-half,37,1988-05-22,1.75,82,stormers
Herschel JANTJIES,Scrum-half,29,1996-04-22,1.6700000000000002,77,stormers
Imad KHAN,Scrum-half,21,2003-12-02,1.79,80,stormers
Paul DE WET,Scrum-half,29,1996-03-16,1.76,83,stormers
Stefan UNGERER,Scrum-half,31,1993-11-23,1.83,93,stormers
Damian WILLEMSE,Fly-half,27,1998-05-07,1.84,96,stormers
Jean-Luc DU PLESSIS,Fly-half,31,1994-05-07,1.8,92,stormers
Jurie MATTHEE,Fly-half,24,2000-11-04,1.91,89,stormers
Manie LIBBOK,Fly-half,27,1997-07-15,1.84,80,stormers
Sacha MNGOMEZULU,Fly-half,23,2002-02-22,1.85,90,stormers
Warrick GELANT,Fullback,30,1995-05-20,1.78,96,stormers
Ben WARREN,Prop,25,2000-04-02,1.85,122,ospreys
Cameron JONES,Prop,23,2001-10-04,1.93,113,ospreys
Gareth THOMAS,Prop,31,1993-08-02,1.8800000000000001,120,ospreys
Garyn PHILLIPS,Prop,24,2001-05-14,1.83,113,ospreys
Rhys HENRY,Prop,26,1998-09-08,1.73,114,ospreys
Steff THOMAS,Prop,28,1997-04-22,1.83,122,ospreys
Tom BOTHA,Prop,34,1990-08-31,1.79,117,ospreys
Dewi LAKE,Hooker,26,1999-05-16,1.85,114,ospreys
Ethan LEWIS,Hooker,31,1994-03-28,1.82,109,ospreys
George MCGUIGAN,Hooker,32,1993-03-30,1.83,113,ospreys
Lewis LLOYD,Hooker,21,2003-07-20,1.8,92,ospreys
Sam PARRY,Hooker,33,1991-12-17,1.86,114,ospreys
Adam BEARD,Lock,29,1996-01-07,2.03,121,ospreys
Huw SUTTON,Lock,25,1999-11-17,1.99,122,ospreys
James FENDER,Lock,23,2001-08-03,2.04,125,ospreys
James RATTI,Lock,27,1997-10-14,1.96,120,ospreys
Lewis JONES,Lock,22,2002-07-19,2,105,ospreys
Rhys DAVIES,Lock,26,1998-11-09,1.97,116,ospreys
Rhys THOMAS,Lock,24,2001-02-17,1.94,112,ospreys
Will GREATBANKS,Lock,22,2003-01-18,1.98,109,ospreys
Will GRIFFITHS,Lock,26,1998-12-25,1.93,106,ospreys
Will SPENCER,Lock,33,1992-05-30,2.01,125,ospreys
Kieran HARDY,Scrum-half,29,1995-11-30,1.84,90,ospreys
Luke DAVIES,Scrum-half,23,2002-02-26,1.75,80,ospreys
Reuben MORGAN-WILLIAMS,Scrum-half,27,1998-02-03,1.8,85,ospreys
Dan EDWARDS,Fly-half,22,2003-05-07,1.78,83,ospreys
Jack WALSH,Fly-half,25,2000-01-11,1.84,88,ospreys
Luke SCULLY,Fly-half,25,2000-02-28,1.8,80,ospreys
Owen WILLIAMS,Fly-half,33,1992-02-27,1.85,98,ospreys
Daniel KASENDE,Fullback,30,1995-05-09,1.87,92,ospreys
Iestyn HOPKINS,Fullback,23,2002-04-04,1.73,88,ospreys
Max NAGY,Fullback,26,1999-06-13,1.93,95,ospreys
Dave KILCOYNE,Prop,36,1988-12-14,1.85,112,munster
Jeremy LOUGHMAN,Prop,29,1995-07-22,1.83,120,munster
John RYAN,Prop,36,1988-08-02,1.85,121,munster
Josh WYCHERLEY,Prop,25,1999-07-22,1.83,108,munster
Mark DONNELLY,Prop,24,2001-03-14,1.8,110,munster
Michael MILNE,Prop,25,2000-02-05,1.83,115,munster
Oli JAGER,Prop,29,1995-07-05,1.92,127,munster
Roman SALANOA,Prop,27,1997-10-28,1.83,123,munster
Stephen ARCHER,Prop,37,1988-01-29,1.8800000000000001,121,munster
Diarmuid BARRON,Hooker,26,1998-08-06,1.84,100,munster
Lee BARRON,Hooker,24,2001-02-15,1.91,109,munster
Niall SCANNELL,Hooker,33,1992-04-08,1.85,111,munster
Edwin EDOGBO,Lock,22,2002-12-21,1.96,122,munster
Fineen WYCHERLEY,Lock,27,1997-12-11,1.96,112,munster
Jean KLEYN,Lock,31,1993-08-26,2.03,123,munster
Tadhg BEIRNE,Lock,33,1992-01-08,1.98,114,munster
Tom AHERN,Lock,25,2000-02-22,2.06,117,munster
Conor MURRAY,Scrum-half,36,1989-04-20,1.8800000000000001,94,munster
Craig CASEY,Scrum-half,26,1999-04-19,1.6500000000000001,76,munster
Ethan COUGHLAN,Scrum-half,23,2002-04-13,1.75,81,munster
Paddy PATTERSON,Scrum-half,26,1998-11-30,1.75,75,munster
Billy BURNS,Fly-half,31,1994-06-13,1.83,87,munster
Jack CROWLEY,Fly-half,25,2000-01-13,1.85,90,munster
Tony BUTLER,Fly-half,23,2002-04-23,1.78,85,munster
Mike HALEY,Fullback,31,1994-06-28,1.91,94,munster
