Name,Position,Age,Birthdate.,Height,Weight,Height..ft.in.,Weight.st.lb,Contract,Length,Team
Caolin BLADE,Scrum-half,31,29/04/1994,1.7,81,5 ft 7 in,12 st 10.57 lb; 178.57 lb,PRO,2026,connacht
Colm REILLY,Scrum-half,25,09/08/1999,1.78,78,5 ft 10 in,12 st 3.96 lb; 171.96 lb,PRO,2025,connacht
Matt DEVINE,Scrum-half,23,19/02/2002,1.8,84,5 ft 11 in,13 st 3.19 lb; 185.19 lb,PRO,,connacht
Cathal FORDE,Fly-half,24,11/04/2001,1.8800000000000001,95,6 ft 2 in,14 st 13.44 lb; 209.44 lb,PRO,2026,connacht
Jack CARTY,Fly-half,32,31/08/1992,1.83,92,6 ft,14 st; 202.83 lb,PRO,2026,connacht
JJ HANRAHAN,Fly-half,32,27/07/1992,1.83,93,6 ft,14 st; 205.03 lb,PRO,2025,connacht
Josh IOANE,Fly-half,29,11/07/1995,1.8,92,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,2027,connacht
Bundee AKI,Centre,35,07/04/1990,1.78,101,5 ft 10 in,15 st 12.67 lb; 222.67 lb,PRO,2026,connacht
David HAWKSHAW,Centre,25,03/07/1999,1.78,89,5 ft 10 in,14 st 0.21 lb; 196.21 lb,PRO,,connacht
Hugh GAVIN,Centre,21,10/01/2004,1.92,103,6 ft 4 in,16 st 3.08 lb; 227.08 lb,PRO,,connacht
Piers O'CONOR,Centre,29,28/08/1995,1.8800000000000001,102,6 ft 2 in,16 st 0.87 lb; 224.87 lb,PRO,2025,connacht
Byron RALSTON,Winger,25,03/05/2000,1.84,94,6 ft,14 st; 207.23 lb,PRO,2026,connacht
Santiago CORDERO,Winger,31,06/12/1993,1.77,83,5 ft 10 in,13 st 0.98 lb; 182.98 lb,PRO,2025,connacht
Shane JENNINGS,Winger,24,14/01/2001,1.91,96,6 ft 3 in,15 st 1.64 lb; 211.64 lb,PRO,2026 +1,connacht
Shayne BOLTON,Winger,25,29/06/2000,1.8800000000000001,100,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,2026,connacht
Chay MULLINS,Fullback,23,23/01/2002,1.91,95,6 ft 3 in,14 st 13.44 lb; 209.44 lb,PRO,,connacht
Mack HANSEN,Fullback,27,27/03/1998,1.8800000000000001,89,6 ft 2 in,14 st 0.21 lb; 196.21 lb,PRO,2027,connacht
Alulutho TSHAKWENI,Prop,26,26/09/1998,1.83,110,6 ft,17 st; 242.51 lb,PRO,2026,bulls
Dylan SMITH,Prop,31,26/02/1994,1.8,116,5 ft 11 in,18 st 3.74 lb; 255.74 lb,PRO,2025,bulls
François KLOPPER,Prop,25,07/09/1999,1.8800000000000001,130,6 ft 2 in,20 st 6.60 lb; 286.60 lb,PRO,,bulls
Gerhard STEENEKAMP,Prop,28,09/04/1997,1.94,128,6 ft 4 in,20 st 2.19 lb; 282.19 lb,PRO,2028,bulls
Juann ELSE,Prop,22,22/05/2003,1.8,101,5 ft 11 in,15 st 12.67 lb; 222.67 lb,PRO,,bulls
Mornay SMITH,Prop,27,30/01/1998,1.81,119,5 ft 11 in,18 st 10.35 lb; 262.35 lb,PRO,2026,bulls
Seb LOMBARD,Prop,22,07/10/2002,1.9,126,6 ft 3 in,19 st 11.78 lb; 277.78 lb,PRO,,bulls
Simphiwe MATANZIMA,Prop,27,18/08/1997,1.83,121,6 ft,19 st; 266.76 lb,PRO,2025,bulls
Tielman NIEUWOUDT,Prop,23,22/04/2002,1.8,128,5 ft 11 in,20 st 2.19 lb; 282.19 lb,PRO,2025,bulls
Wilco LOUW,Prop,30,20/07/1994,1.85,144,6 ft 1 in,22 st 9.47 lb; 317.47 lb,PRO,2026,bulls
Akker VAN DER MERWE,Hooker,34,17/06/1991,1.78,108,5 ft 10 in,17 st 0.10 lb; 238.10 lb,PRO,2026,bulls
Jan-Hendrik WESSELS,Hooker,24,08/05/2001,1.8800000000000001,121,6 ft 2 in,19 st 0.76 lb; 266.76 lb,PRO,2026,bulls
Joe VAN ZYL,Hooker,26,21/01/1999,1.85,114,6 ft 1 in,17 st 13.33 lb; 251.33 lb,PRO,,bulls
Johan GROBBELAAR,Hooker,27,30/12/1997,1.83,105,6 ft,16 st; 231.49 lb,PRO,2027,bulls
Cobus WIESE,Lock,28,02/06/1997,1.99,125,6 ft 6 in,19 st 9.58 lb; 275.58 lb,PRO,2026,bulls
Deon SLABBERT,Lock,25,04/05/2000,2,117,6 ft 7 in,18 st 5.94 lb; 257.94 lb,PRO,,bulls
Jaco GROBBELAAR,Lock,20,01/01/2005,1.98,109,6 ft 6 in,17 st 2.30 lb; 240.30 lb,ACADEMY,,bulls
JF VAN HEERDEN,Lock,21,06/05/2004,2.01,122,6 ft 7 in,19 st 2.96 lb; 268.96 lb,PRO,2027,bulls
Reinhardt LUDWIG,Lock,22,27/08/2002,1.98,110,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,,bulls
Ruan NORTJÉ,Lock,26,25/07/1998,2,113,6 ft 7 in,17 st 11.12 lb; 249.12 lb,PRO,2027,bulls
Ruan VERMAAK,Lock,27,01/05/1998,1.99,120,6 ft 6 in,18 st 12.55 lb; 264.55 lb,PRO,2027,bulls
Sintu MANJEZI,Lock,30,07/04/1995,1.98,118,6 ft 6 in,18 st 8.15 lb; 260.15 lb,PRO,2028,bulls
Cameron HANEKOM,Back row,23,10/05/2002,1.93,104,6 ft 4 in,16 st 5.28 lb; 229.28 lb,PRO,,bulls
Corné BEETS,Back row,21,01/10/2003,1.8800000000000001,105,6 ft 2 in,16 st 7.49 lb; 231.49 lb,PRO,2026,bulls
Cyle BRINK,Back row,31,16/01/1994,1.91,115,6 ft 3 in,18 st 1.53 lb; 253.53 lb,PRO,,bulls
Elrigh LOUW,Back row,25,20/09/1999,1.95,112,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2027,bulls
Ghudian VAN REENEN,Back row,21,17/09/2003,1.9,104,6 ft 3 in,16 st 5.28 lb; 229.28 lb,PRO,,bulls
Jannes KIRSTEN,Back row,31,01/12/1993,1.97,117,6 ft 6 in,18 st 5.94 lb; 257.94 lb,PRO,2026,bulls
Marcell COETZEE,Back row,34,08/05/1991,1.91,118,6 ft 3 in,18 st 8.15 lb; 260.15 lb,PRO,2027,bulls
Marco VAN STADEN,Back row,29,25/08/1995,1.84,112,6 ft,17 st; 246.92 lb,PRO,2027,bulls
Mihlali MOSI,Back row,29,12/05/1996,1.9,106,6 ft 3 in,16 st 9.69 lb; 233.69 lb,PRO,2025,bulls
Mpilo GUMEDE,Back row,24,08/07/2000,1.93,110,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,2028,bulls
Nama XABA,Back row,27,26/07/1997,1.85,103,6 ft 1 in,16 st 3.08 lb; 227.08 lb,PRO,2026,bulls
Nizaam CARR,Back row,34,04/04/1991,1.78,106,5 ft 10 in,16 st 9.69 lb; 233.69 lb,PRO,2027,bulls
Bernard VAN DER LINDE,Scrum-half,24,30/11/2000,1.75,86,5 ft 9 in,13 st 7.60 lb; 189.60 lb,PRO,2025,bulls
Embrose PAPIER,Scrum-half,28,25/04/1997,1.71,80,5 ft 7 in,12 st 8.37 lb; 176.37 lb,PRO,2027,bulls
Keagan JOHANNES,Scrum-half,25,27/11/1999,1.78,77,5 ft 10 in,12 st 1.76 lb; 169.76 lb,PRO,2026,bulls
Zak BURGER,Scrum-half,26,20/08/1998,1.74,83,5 ft 9 in,13 st 0.98 lb; 182.98 lb,PRO,2026,bulls
Boeta CHAMBERLAIN,Fly-half,26,22/02/1999,1.84,83,6 ft,13 st; 182.98 lb,PRO,2025,bulls
Jaco VAN DER WALT,Fly-half,31,01/02/1994,1.82,92,6 ft,14 st; 202.83 lb,PRO,2025,bulls
Johan GOOSEN,Fly-half,32,27/07/1992,1.84,89,6 ft,14 st; 196.21 lb,PRO,2026,bulls
Chris SMIT,Centre,29,01/08/1995,1.82,93,6 ft,14 st; 205.03 lb,PRO,2025,bulls
Cornel SMIT,Centre,27,10/09/1997,1.83,96,6 ft,15 st; 211.64 lb,PRO,,bulls
Harold VORSTER,Centre,31,11/10/1993,1.8800000000000001,101,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,,bulls
Katlego LETEBELE,Centre,21,18/11/2003,1.87,92,6 ft 2 in,14 st 6.83 lb; 202.83 lb,PRO,,bulls
Stedman GANS,Centre,28,19/03/1997,1.8,99,5 ft 11 in,15 st 8.26 lb; 218.26 lb,PRO,,bulls
Aphiwe DYANTYI,Winger,30,26/08/1994,1.82,90,6 ft,14 st; 198.42 lb,PRO,2026,bulls
Canan MOODIE,Winger,22,05/11/2002,1.91,94,6 ft 3 in,14 st 11.23 lb; 207.23 lb,PRO,2027,bulls
Sebastian DE KLERK,Winger,25,05/04/2000,1.8,91,5 ft 11 in,14 st 4.62 lb; 200.62 lb,PRO,2026,bulls
Sergeal PETERSEN,Winger,30,01/08/1994,1.73,86,5 ft 8 in,13 st 7.60 lb; 189.60 lb,PRO,,bulls
Stravino JACOBS,Winger,25,21/02/2000,1.8,103,5 ft 11 in,16 st 3.08 lb; 227.08 lb,PRO,,bulls
David KRIEL,Fullback,26,15/02/1999,1.95,102,6 ft 5 in,16 st 0.87 lb; 224.87 lb,PRO,2027,bulls
Devon WILLIAMS,Fullback,33,16/04/1992,1.75,79,5 ft 9 in,12 st 6.17 lb; 174.16 lb,PRO,,bulls
Sibongile NOVUKA,Fullback,27,01/02/1998,1.92,97,6 ft 4 in,15 st 3.85 lb; 213.85 lb,PRO,,bulls
Willie LE ROUX,Fullback,35,18/08/1989,1.84,92,6 ft,14 st; 202.83 lb,PRO,2027,bulls
Corey DOMACHOWSKI,Prop,28,19/09/1996,1.83,124,6 ft,19 st; 273.37 lb,PRO,,cardiff
Danny SOUTHWORTH,Prop,26,04/05/1999,1.83,120,6 ft,18 st; 264.55 lb,PRO,,cardiff
Ed BYRNE,Prop,31,09/09/1993,1.8,115,5 ft 11 in,18 st 1.53 lb; 253.53 lb,PRO,,cardiff
Keiron ASSIRATTI,Prop,28,30/06/1997,1.78,119,5 ft 10 in,18 st 10.35 lb; 262.35 lb,PRO,,cardiff
Rhys LITTERICK,Prop,26,02/03/1999,1.79,120,5 ft 10 in,18 st 12.55 lb; 264.55 lb,PRO,2025,cardiff
Will DAVIES-KING,Prop,26,28/07/1998,1.93,128,6 ft 4 in,20 st 2.19 lb; 282.19 lb,PRO,,cardiff
Dafydd HUGHES,Hooker,29,08/01/1996,1.79,105,5 ft 10 in,16 st 7.49 lb; 231.49 lb,PRO,,cardiff
Efan DANIEL,Hooker,22,14/12/2002,1.85,105,6 ft 1 in,16 st 7.49 lb; 231.49 lb,PRO,2025,cardiff
Evan LLOYD,Hooker,23,28/12/2001,1.85,115,6 ft 1 in,18 st 1.53 lb; 253.53 lb,PRO,,cardiff
Liam BELCHER,Hooker,29,28/04/1996,1.77,107,5 ft 10 in,16 st 11.89 lb; 235.89 lb,PRO,,cardiff
Josh MCNALLY,Lock,34,21/08/1990,2.01,125,6 ft 7 in,19 st 9.58 lb; 275.58 lb,PRO,2026,cardiff
Rory THORNTON,Lock,30,16/03/1995,2.01,119,6 ft 7 in,18 st 10.35 lb; 262.35 lb,PRO,,cardiff
Seb DAVIES,Lock,29,17/05/1996,2.03,119,6 ft 8 in,18 st 10.35 lb; 262.35 lb,PRO,2025,cardiff
Alex MANN,Back row,23,06/01/2002,1.91,98,6 ft 3 in,15 st 6.05 lb; 216.05 lb,PRO,,cardiff
Alun LAWRENCE,Back row,26,15/09/1998,1.91,112,6 ft 3 in,17 st 8.92 lb; 246.92 lb,PRO,,cardiff
Ben DONNELL,Back row,24,02/08/2000,1.98,115,6 ft 6 in,18 st 1.53 lb; 253.53 lb,PRO,,cardiff
Dan THOMAS,Back row,31,11/10/1993,1.83,101,6 ft,15 st; 222.67 lb,PRO,,cardiff
Gwilym BRADLEY,Back row,24,10/09/2000,1.8800000000000001,99,6 ft 2 in,15 st 8.26 lb; 218.26 lb,PRO,2025,cardiff
James BOTHAM,Back row,27,22/02/1998,1.91,108,6 ft 3 in,17 st 0.10 lb; 238.10 lb,PRO,,cardiff
Mackenzie MARTIN,Back row,21,26/10/2003,1.96,116,6 ft 5 in,18 st 3.74 lb; 255.74 lb,PRO,,cardiff
Teddy WILLIAMS,Back row,24,18/10/2000,1.98,118,6 ft 6 in,18 st 8.15 lb; 260.15 lb,PRO,,cardiff
Toby FALETAU,Back row,34,12/11/1990,1.8800000000000001,113,6 ft 2 in,17 st 11.12 lb; 249.12 lb,PRO,,cardiff
Tom YOUNG,Back row,33,18/05/1992,1.81,104,5 ft 11 in,16 st 5.28 lb; 229.28 lb,PRO,2025,cardiff
Aled DAVIES,Scrum-half,32,19/07/1992,1.78,88,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,,cardiff
Callum BRALEY,Scrum-half,31,20/03/1994,1.78,84,5 ft 10 in,13 st 3.19 lb; 185.19 lb,PRO,,cardiff
Ellis BEVAN,Scrum-half,25,10/03/2000,1.8,92,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,,cardiff
Ethan LLOYD,Scrum-half,23,29/09/2001,1.78,82,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,,cardiff
Johan MULDER,Scrum-half,25,06/08/1999,1.76,85,5 ft 9 in,13 st 5.39 lb; 187.39 lb,PRO,,cardiff
Ben THOMAS,Fly-half,26,25/11/1998,1.83,93,6 ft,14 st; 205.03 lb,PRO,,cardiff
Callum SHEEDY,Fly-half,29,28/10/1995,1.77,88,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,,cardiff
Rory JENNINGS,Fly-half,29,24/12/1995,1.8,91,5 ft 11 in,14 st 4.62 lb; 200.62 lb,PRO,2026,cardiff
Tinus DE BEER,Fly-half,29,24/01/1996,1.76,90,5 ft 9 in,14 st 2.42 lb; 198.42 lb,PRO,2025,cardiff
Harri MILLARD,Centre,28,17/08/1996,1.83,94,6 ft,14 st; 207.23 lb,PRO,,cardiff
Louie HENNESSEY,Centre,21,29/03/2004,1.91,105,6 ft 3 in,16 st 7.49 lb; 231.49 lb,PRO,,cardiff
Rey LEE-LO,Centre,39,20/02/1986,1.81,98,5 ft 11 in,15 st 6.05 lb; 216.05 lb,PRO,2025,cardiff
Gabe HAMER-WEBB,Winger,24,07/11/2000,1.83,95,6 ft,14 st; 209.44 lb,PRO,2025,cardiff
Iwan STEPHENS,Winger,23,24/03/2002,1.7,83,5 ft 7 in,13 st 0.98 lb; 182.98 lb,PRO,,cardiff
Josh ADAMS,Winger,30,21/04/1995,1.86,96,6 ft 1 in,15 st 1.64 lb; 211.64 lb,PRO,,cardiff
Mason GRADY,Winger,23,29/03/2002,1.96,111,6 ft 5 in,17 st 6.71 lb; 244.71 lb,PRO,,cardiff
Regan GRACE,Winger,28,12/12/1996,1.78,82,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,2025,cardiff
Theo CABANGO,Winger,23,29/11/2001,1.74,83,5 ft 9 in,13 st 0.98 lb; 182.98 lb,PRO,,cardiff
Cam WINNETT,Fullback,22,07/01/2003,1.8,85,5 ft 11 in,13 st 5.39 lb; 187.39 lb,PRO,,cardiff
Jacob BEETHAM,Fullback,24,18/04/2001,1.85,87,6 ft 1 in,13 st 9.80 lb; 191.80 lb,PRO,,cardiff
Chris COLEMAN,Prop,26,31/08/1998,1.8900000000000001,130,6 ft 2 in,20 st 6.60 lb; 286.60 lb,PRO,,dragons
Dmitri ARHIP,Prop,36,12/11/1988,1.83,120,6 ft,18 st; 264.55 lb,PRO,2025,dragons
Jamie HUGHES,Prop,28,30/09/1996,1.8800000000000001,121,6 ft 2 in,19 st 0.76 lb; 266.76 lb,PRO,,dragons
Josh REYNOLDS,Prop,26,01/12/1998,1.8,116,5 ft 11 in,18 st 3.74 lb; 255.74 lb,PRO,2025,dragons
Luke YENDLE,Prop,25,27/06/2000,1.85,120,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Nathan EVANS,Prop,23,03/01/2002,1.78,120,5 ft 10 in,18 st 12.55 lb; 264.55 lb,PRO,2025,dragons
Paula LATU,Prop,29,14/02/1996,1.87,123,6 ft 2 in,19 st 5.17 lb; 271.17 lb,PRO,2025,dragons
Rhodri JONES,Prop,33,23/12/1991,1.91,120,6 ft 3 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Rodrigo MARTINEZ,Prop,26,07/07/1998,1.8800000000000001,120,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Brodie COGHLAN,Hooker,24,21/12/2000,1.83,112,6 ft,17 st; 246.92 lb,PRO,,dragons
Elliot DEE,Hooker,31,07/03/1994,1.86,106,6 ft 1 in,16 st 9.69 lb; 233.69 lb,PRO,,dragons
James BENJAMIN,Hooker,31,21/02/1994,1.83,100,6 ft,15 st; 220.46 lb,PRO,,dragons
Lewis MORGAN,Hooker,21,01/08/2003,1.78,108,5 ft 10 in,17 st 0.10 lb; 238.10 lb,PRO,,dragons
Oli BURROWS,Hooker,23,16/05/2002,1.8800000000000001,110,6 ft 2 in,17 st 4.51 lb; 242.51 lb,PRO,,dragons
Barny LANGTON,Lock,24,26/01/2001,1.95,117,6 ft 5 in,18 st 5.94 lb; 257.94 lb,PRO,,dragons
Ben CARTER,Lock,24,23/01/2001,1.98,122,6 ft 6 in,19 st 2.96 lb; 268.96 lb,PRO,,dragons
George NOTT,Lock,29,21/06/1996,1.98,114,6 ft 6 in,17 st 13.33 lb; 251.33 lb,PRO,2025,dragons
Joe DAVIES,Lock,29,13/11/1995,1.97,130,6 ft 6 in,20 st 6.60 lb; 286.60 lb,PRO,2025,dragons
Matthew SCREECH,Lock,32,24/10/1992,1.96,116,6 ft 5 in,18 st 3.74 lb; 255.74 lb,PRO,,dragons
Steven CUMMINS,Lock,33,29/03/1992,2.02,120,6 ft 8 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Aaron WAINWRIGHT,Back row,27,25/09/1997,1.8800000000000001,110,6 ft 2 in,17 st 4.51 lb; 242.51 lb,PRO,,dragons
Dan LYDIATE,Back row,37,18/12/1987,1.93,115,6 ft 4 in,18 st 1.53 lb; 253.53 lb,PRO,2025,dragons
George YOUNG,Back row,23,10/10/2001,1.92,108,6 ft 4 in,17 st 0.10 lb; 238.10 lb,PRO,2025,dragons
Harri KEDDIE,Back row,28,10/07/1996,1.8800000000000001,110,6 ft 2 in,17 st 4.51 lb; 242.51 lb,PRO,,dragons
Shane LEWIS-HUGHES,Back row,27,20/09/1997,1.96,115,6 ft 5 in,18 st 1.53 lb; 253.53 lb,PRO,,dragons
Solomone FUNAKI,Back row,31,25/04/1994,1.87,115,6 ft 2 in,18 st 1.53 lb; 253.53 lb,PRO,,dragons
Taine BASHAM,Back row,25,02/11/1999,1.82,100,6 ft,15 st; 220.46 lb,PRO,2025,dragons
Dane BLACKER,Scrum-half,26,06/07/1998,1.78,78,5 ft 10 in,12 st 3.96 lb; 171.96 lb,PRO,2025,dragons
Rhodri WILLIAMS,Scrum-half,32,05/05/1993,1.79,81,5 ft 10 in,12 st 10.57 lb; 178.57 lb,PRO,,dragons
Angus O'BRIEN,Fly-half,30,17/09/1994,1.8,89,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,,dragons
Cai EVANS,Fly-half,26,23/06/1999,1.85,84,6 ft 1 in,13 st 3.19 lb; 185.19 lb,PRO,,dragons
Josh THOMAS,Fly-half,24,30/06/2000,1.78,83,5 ft 10 in,13 st 0.98 lb; 182.98 lb,PRO,2025,dragons
Lloyd EVANS,Fly-half,29,14/12/1995,1.83,90,6 ft,14 st; 198.42 lb,PRO,2025,dragons
Will REED,Fly-half,23,03/11/2001,1.76,80,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,2025,dragons
Aneurin OWEN,Centre,24,19/10/2000,1.8,89,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,,dragons
Harry WILSON,Centre,24,17/08/2000,1.9,97,6 ft 3 in,15 st 3.85 lb; 213.85 lb,PRO,2025,dragons
Scott WILLIAMS,Centre,34,10/10/1990,1.87,100,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,2025,dragons
Ashton HEWITT,Winger,30,20/11/1994,1.8,90,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,2025,dragons
Ewan ROSSER,Winger,24,16/12/2000,1.78,85,5 ft 10 in,13 st 5.39 lb; 187.39 lb,PRO,,dragons
Jared ROSSER,Winger,27,31/12/1997,1.83,99,6 ft,15 st; 218.26 lb,PRO,,dragons
Rio DYER,Winger,25,21/12/1999,1.85,84,6 ft 1 in,13 st 3.19 lb; 185.19 lb,PRO,,dragons
Jordan WILLIAMS,Fullback,31,20/09/1993,1.73,81,5 ft 8 in,12 st 10.57 lb; 178.57 lb,PRO,2025,dragons
Angus WILLIAMS,Prop,31,11/11/1993,1.8,117,5 ft 11 in,18 st 5.94 lb; 257.94 lb,PRO,2026,edinburgh
Boan VENTER,Prop,28,12/04/1997,1.87,124,6 ft 2 in,19 st 7.37 lb; 273.37 lb,PRO,2026,edinburgh
D'Arcy RAE,Prop,30,21/12/1994,1.86,125,6 ft 1 in,19 st 9.58 lb; 275.58 lb,PRO,2027,edinburgh
Javan SEBASTIAN,Prop,30,27/09/1994,1.77,125,5 ft 10 in,19 st 9.58 lb; 275.58 lb,PRO,2025,edinburgh
Paul HILL,Prop,30,02/03/1995,1.8900000000000001,123,6 ft 2 in,19 st 5.17 lb; 271.17 lb,PRO,2026,edinburgh
Pierre SCHOEMAN,Prop,31,07/05/1994,1.84,118,6 ft,18 st; 260.15 lb,PRO,2028,edinburgh
Robin HISLOP,Prop,33,26/02/1992,1.8,116,5 ft 11 in,18 st 3.74 lb; 255.74 lb,PRO,2025,edinburgh
Dave CHERRY,Hooker,34,03/01/1991,1.83,107,6 ft,16 st; 235.89 lb,PRO,2025,edinburgh
Ewan ASHMAN,Hooker,25,03/04/2000,1.8800000000000001,113,6 ft 2 in,17 st 11.12 lb; 249.12 lb,PRO,2027,edinburgh
Patrick HARRISON,Hooker,23,20/06/2002,1.81,111,5 ft 11 in,17 st 6.71 lb; 244.71 lb,PRO,2027,edinburgh
Glen YOUNG,Lock,30,04/11/1994,2.01,118,6 ft 7 in,18 st 8.15 lb; 260.15 lb,PRO,,edinburgh
Grant GILCHRIST,Lock,34,09/08/1990,1.98,120,6 ft 6 in,18 st 12.55 lb; 264.55 lb,PRO,2026,edinburgh
Marshall SYKES,Lock,25,29/12/1999,2,121,6 ft 7 in,19 st 0.76 lb; 266.76 lb,PRO,2026,edinburgh
Rob CARMICHAEL,Lock,22,04/04/2003,2.1,125,6 ft 11 in,19 st 9.58 lb; 275.58 lb,PRO,2027,edinburgh
Ben MUNCASTER,Back row,23,14/10/2001,1.9,110,6 ft 3 in,17 st 4.51 lb; 242.51 lb,PRO,2027,edinburgh
Connor BOYLE,Back row,25,19/02/2000,1.83,91,6 ft,14 st; 200.62 lb,PRO,2025,edinburgh
Hamish WATSON,Back row,33,15/10/1991,1.85,106,6 ft 1 in,16 st 9.69 lb; 233.69 lb,PRO,2026,edinburgh
Jamie RITCHIE,Back row,28,16/08/1996,1.9,110,6 ft 3 in,17 st 4.51 lb; 242.51 lb,PRO,2025,edinburgh
Liam MCCONNELL,Back row,21,24/06/2004,1.94,106,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,,edinburgh
Luke CROSBIE,Back row,28,22/04/1997,1.96,112,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2027,edinburgh
Magnus BRADBURY,Back row,29,23/08/1995,1.91,116,6 ft 3 in,18 st 3.74 lb; 255.74 lb,PRO,,edinburgh
Sam SKINNER,Back row,30,31/01/1995,1.96,115,6 ft 5 in,18 st 1.53 lb; 253.53 lb,PRO,2026,edinburgh
Tom DODD,Back row,27,28/10/1997,1.91,109,6 ft 3 in,17 st 2.30 lb; 240.30 lb,PRO,2027,edinburgh
Ali PRICE,Scrum-half,32,12/05/1993,1.77,88,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,2025,edinburgh
Ben VELLACOTT,Scrum-half,30,28/03/1995,1.6700000000000002,78,5 ft 6 in,12 st 3.96 lb; 171.96 lb,PRO,2027,edinburgh
Charlie SHIEL,Scrum-half,27,03/12/1997,1.78,83,5 ft 10 in,13 st 0.98 lb; 182.98 lb,PRO,2026,edinburgh
