"Location","Year","dist_m","Stroke","Relay","Gender","Team","Athlete","Results","Rank"
"Tokyo",2020,100,"Butterfly",0,"Women","AUS","Emma Mckeon",55.72,3
"Tokyo",2020,100,"Butterfly",0,"Women","USA","Torri Huske",55.73,4
"Tokyo",2020,100,"Butterfly",0,"Women","SWE","Louise Hansson",56.22,4
"Tokyo",2020,100,"Butterfly",0,"Women","FRA","Marie Wattel",56.27,4
"Tokyo",2020,100,"Butterfly",0,"Women","SWE","Sarah Sjoestroem",56.91,4
"Tokyo",2020,100,"Butterfly",0,"Women","BLR","Anastasiya Shkurdai",57.05,4
"Tokyo",2020,100,"Freestyle",0,"Women","AUS","Emma Mckeon",51.96,1
"Tokyo",2020,100,"Freestyle",0,"Women","HKG","Siobhan Bernadette Haughey",52.27,2
"Tokyo",2020,100,"Freestyle",0,"Women","AUS","Cate Campbell",52.52,3
"Tokyo",2020,100,"Freestyle",0,"Women","CAN","Penny Oleksiak",52.59,4
"Tokyo",2020,100,"Freestyle",0,"Women","SWE","Sarah Sjoestroem",52.68,4
"Tokyo",2020,100,"Freestyle",0,"Women","NED","Femke Heemskerk",52.79,4
"Tokyo",2020,100,"Freestyle",0,"Women","GBR","Anna Hopkin",52.83,4
"Tokyo",2020,100,"Freestyle",0,"Women","USA","Abbey Weitzeil",53.23,4
"Tokyo",2020,50,"Freestyle",0,"Women","AUS","Emma Mckeon",23.81,1
"Tokyo",2020,50,"Freestyle",0,"Women","SWE","Sarah Sjoestroem",24.07,2
"Tokyo",2020,50,"Freestyle",0,"Women","DEN","Pernille Blume",24.21,3
"Tokyo",2020,50,"Freestyle",0,"Women","NED","Ranomi Kromowidjojo",24.3,4
"Tokyo",2020,50,"Freestyle",0,"Women","POL","Katarzyna Wasick",24.32,4
"Tokyo",2020,50,"Freestyle",0,"Women","CHN","Qingfeng Wu",24.32,4
"Tokyo",2020,50,"Freestyle",0,"Women","AUS","Cate Campbell",24.36,4
"Tokyo",2020,50,"Freestyle",0,"Women","USA","Abbey Weitzeil",24.41,4
"Rio",2016,100,"Backstroke",0,"Men","USA","Ryan Murphy",51.97,1
"Rio",2016,100,"Backstroke",0,"Men","CHN","Jiayu Xu",52.31,2
"Rio",2016,100,"Backstroke",0,"Men","USA","David Plummer",52.4,3
"Rio",2016,100,"Backstroke",0,"Men","AUS","Mitchell Larkin",52.43,4
"Rio",2016,100,"Backstroke",0,"Men","FRA","Camille Lacourt",52.7,4
"Rio",2016,100,"Backstroke",0,"Men","RUS","Evgeny Rylov",52.74,4
"Rio",2016,100,"Backstroke",0,"Men","JPN","Ryosuke Irie",53.42,4
"Rio",2016,100,"Backstroke",0,"Men","ROU","Robert Glinta",53.5,4
"Rio",2016,100,"Backstroke",0,"Women","HUN","Katinka Hosszu",58.45,1
"Rio",2016,100,"Backstroke",0,"Women","USA","Kathleen Baker",58.75,2
"Rio",2016,100,"Backstroke",0,"Women","CAN","Kylie Masse",58.76,3
"Rio",2016,100,"Backstroke",0,"Women","CHN","Yuanhui Fu",58.76,3
"Rio",2016,100,"Backstroke",0,"Women","DEN","Mie Nielsen",58.8,4
"Rio",2016,100,"Backstroke",0,"Women","USA","Olivia Smoliga",58.95,4
"Rio",2016,100,"Backstroke",0,"Women","AUS","Emily Seebohm",59.19,4
"Rio",2016,100,"Backstroke",0,"Women","AUS","Madison Wilson",59.23,4
"Rio",2016,100,"Breaststroke",0,"Men","GBR","Adam Peaty",57.13,1
"Rio",2016,100,"Breaststroke",0,"Men","RSA","Cameron Van Der Burgh",58.69,2
"Rio",2016,100,"Breaststroke",0,"Men","USA","Cody Miller",58.87,3
"Rio",2016,100,"Breaststroke",0,"Men","USA","Kevin Cordes",59.22,4
"Rio",2016,100,"Breaststroke",0,"Men","BRA","Joao Gomes",59.31,4
"Rio",2016,100,"Breaststroke",0,"Men","JPN","Yasuhiro Koseki",59.37,4
"Rio",2016,100,"Breaststroke",0,"Men","BRA","Felipe Franca",59.38,4
"Rio",2016,100,"Breaststroke",0,"Men","KAZ","Dmitriy Balandin",59.95,4
"Rio",2016,100,"Butterfly",0,"Men","SGP","Joseph Schooling",50.39,1
"Rio",2016,100,"Butterfly",0,"Men","USA","Michael Phelps",51.14,2
"Rio",2016,100,"Butterfly",0,"Men","RSA","Chad Le Clos",51.14,2
"Rio",2016,100,"Butterfly",0,"Men","HUN","Laszlo Cseh",51.14,2
"Rio",2016,100,"Butterfly",0,"Men","CHN","Zhuhao Li",51.26,4
"Rio",2016,100,"Butterfly",0,"Men","FRA","Mehdy Metella",51.58,4
"Rio",2016,100,"Butterfly",0,"Men","USA","Tom Shields",51.73,4
"Rio",2016,100,"Butterfly",0,"Men","RUS","Aleksandr Sadovnikov",51.84,4
"Rio",2016,100,"Butterfly",0,"Women","SWE","Sarah Sjostrom",55.48,2
"Rio",2016,100,"Butterfly",0,"Women","CAN","Penny Oleksiak",56.46,3
"Rio",2016,100,"Butterfly",0,"Women","USA","Dana Vollmer",56.63,4
"Rio",2016,100,"Butterfly",0,"Women","CHN","Ying Lu",56.76,4
"Rio",2016,100,"Butterfly",0,"Women","JPN","Rikako Ikee",56.86,4
"Rio",2016,100,"Butterfly",0,"Women","AUS","Emma Mckeon",57.05,4
"Rio",2016,100,"Butterfly",0,"Women","DEN","Jeanette Ottesen",57.17,4
"Rio",2016,100,"Freestyle",0,"Men","AUS","Kyle Chalmers",47.58,1
"Rio",2016,100,"Freestyle",0,"Men","BEL","Pieter Timmers",47.8,2
"Rio",2016,100,"Freestyle",0,"Men","USA","Nathan Adrian",47.85,3
"Rio",2016,100,"Freestyle",0,"Men","CAN","Santo Condorelli",47.88,4
"Rio",2016,100,"Freestyle",0,"Men","GBR","Duncan Scott",48.01,4
"Rio",2016,100,"Freestyle",0,"Men","USA","Caeleb Dressel",48.02,4
"Rio",2016,100,"Freestyle",0,"Men","AUS","Cameron Mcevoy",48.12,4
"Rio",2016,100,"Freestyle",0,"Men","BRA","Marcelo Chierighini",48.41,4
"Rio",2016,100,"Freestyle",0,"Women","USA","Simone Manuel",52.7,1
"Rio",2016,100,"Freestyle",0,"Women","CAN","Penny Oleksiak",52.7,1
"Rio",2016,100,"Freestyle",0,"Women","SWE","Sarah Sjostrom",52.99,3
"Rio",2016,100,"Freestyle",0,"Women","AUS","Bronte Campbell",53.04,4
"Rio",2016,100,"Freestyle",0,"Women","NED","Ranomi Kromowidjojo",53.08,4
"Rio",2016,100,"Freestyle",0,"Women","AUS","Cate Campbell",53.24,4
"Rio",2016,100,"Freestyle",0,"Women","USA","Abbey Weitzeil",53.3,4
"Rio",2016,100,"Freestyle",0,"Women","DEN","Jeanette Ottesen",53.36,4
"Rio",2016,50,"Freestyle",0,"Men","USA","Anthony Ervin",21.4,1
"Rio",2016,50,"Freestyle",0,"Men","FRA","Florent Manaudou",21.41,2
"Rio",2016,50,"Freestyle",0,"Men","USA","Nathan Adrian",21.49,3
"Rio",2016,50,"Freestyle",0,"Men","GBR","Ben Proud",21.68,4
"Rio",2016,50,"Freestyle",0,"Men","UKR","Andriy Hovorov",21.74,4
"Rio",2016,50,"Freestyle",0,"Men","BRA","Bruno Fratus",21.79,4
"Rio",2016,50,"Freestyle",0,"Men","RSA","Bradley Edward Tandy",21.79,4
"Rio",2016,50,"Freestyle",0,"Men","LTU","Simonas Bilis",22.08,4
"Rio",2016,50,"Freestyle",0,"Women","DEN","Pernille Blume",24.07,1
"Rio",2016,50,"Freestyle",0,"Women","USA","Simone Manuel",24.09,2
"Rio",2016,50,"Freestyle",0,"Women","BLR","Aliaksandra Herasimenia",24.11,3
"Rio",2016,50,"Freestyle",0,"Women","GBR","Francesca Halsall",24.13,4
"Rio",2016,50,"Freestyle",0,"Women","AUS","Cate Campbell",24.15,4
"Rio",2016,50,"Freestyle",0,"Women","NED","Ranomi Kromowidjojo",24.19,4
"Rio",2016,50,"Freestyle",0,"Women","AUS","Bronte Campbell",24.42,4
"Rio",2016,50,"Freestyle",0,"Women","BRA","Etiene Medeiros",24.69,4
"London",2012,100,"Backstroke",0,"Men","USA","Matt Grevers",52.16,1
"London",2012,100,"Backstroke",0,"Men","USA","Nick Thoman",52.92,2
"London",2012,100,"Backstroke",0,"Men","JPN","Ryosuke Irie",52.97,3
"London",2012,100,"Backstroke",0,"Men","FRA","Camille Lacourt",53.08,4
"London",2012,100,"Backstroke",0,"Men","GBR","Liam Tancock",53.35,4
"London",2012,100,"Backstroke",0,"Men","GER","Helge Meeuw",53.48,4
"London",2012,100,"Backstroke",0,"Men","AUS","Hayden Stoeckel",53.55,4
"London",2012,100,"Backstroke",0,"Men","CHN","Feiyi Cheng",53.77,4
"London",2012,100,"Backstroke",0,"Women","USA","Missy Franklin",58.33,2
"London",2012,100,"Backstroke",0,"Women","AUS","Emily Seebohm",58.68,3
"London",2012,100,"Backstroke",0,"Women","JPN","Aya Terakawa",58.83,4
"London",2012,100,"Backstroke",0,"Women","RUS","Anastasia Zueva",59,4
"London",2012,100,"Backstroke",0,"Women","GBR","Gemma Spofforth",59.2,4
"London",2012,100,"Backstroke",0,"Women","CHN","Jing Zhao",59.23,4
"London",2012,100,"Backstroke",0,"Women","AUS","Belinda Hocking",59.29,4
"London",2012,100,"Breaststroke",0,"Men","RSA","Cameron Van Der Burgh",58.46,2
"London",2012,100,"Breaststroke",0,"Men","AUS","Christian Sprenger",58.93,3
"London",2012,100,"Breaststroke",0,"Men","USA","Brendan Hansen",59.49,4
"London",2012,100,"Breaststroke",0,"Men","HUN","Daniel Gyurta",59.53,4
"London",2012,100,"Breaststroke",0,"Men","JPN","Kosuke Kitajima",59.79,4
"London",2012,100,"Breaststroke",0,"Men","AUS","Brenton Rickard",59.87,4
"London",2012,100,"Breaststroke",0,"Men","ITA","Fabio Scozzoli",59.97,4
"London",2012,100,"Butterfly",0,"Men","USA","Michael Phelps",51.21,1
"London",2012,100,"Butterfly",0,"Men","RSA","Chad Le Clos",51.44,2
"London",2012,100,"Butterfly",0,"Men","RUS","Evgeny Korotyshkin",51.44,2
"London",2012,100,"Butterfly",0,"Men","SRB","Milorad Cavic",51.81,4
"London",2012,100,"Butterfly",0,"Men","GER","Steffen Deibler",51.81,4
"London",2012,100,"Butterfly",0,"Men","NED","Joeri Verlinden",51.82,4
"London",2012,100,"Butterfly",0,"Men","USA","Tyler Mcgill",51.88,4
"London",2012,100,"Butterfly",0,"Men","POL","Konrad Czerniak",52.05,4
"London",2012,100,"Butterfly",0,"Women","USA","Dana Vollmer",55.98,1
"London",2012,100,"Butterfly",0,"Women","CHN","Ying Lu",56.87,2
"London",2012,100,"Butterfly",0,"Women","AUS","Alicia Coutts",56.94,3
"London",2012,100,"Butterfly",0,"Women","SWE","Sarah Sjostrom",57.17,4
"London",2012,100,"Butterfly",0,"Women","ITA","Ilaria Bianchi",57.27,4
"London",2012,100,"Butterfly",0,"Women","DEN","Jeanette Ottesen",57.35,4
"London",2012,100,"Butterfly",0,"Women","USA","Claire Donahue",57.48,4
"London",2012,100,"Butterfly",0,"Women","GBR","Ellen Gandy",57.76,4
"London",2012,100,"Freestyle",0,"Men","USA","Nathan Adrian",47.52,1
"London",2012,100,"Freestyle",0,"Men","AUS","James Magnussen",47.53,2
"London",2012,100,"Freestyle",0,"Men","CAN","Brent Hayden",47.8,3
"London",2012,100,"Freestyle",0,"Men","FRA","Yannick Agnel",47.84,4
"London",2012,100,"Freestyle",0,"Men","NED","Sebastiaan Verschuren",47.88,4
"London",2012,100,"Freestyle",0,"Men","BRA","Cesar Cielo Filho",47.92,4
"London",2012,100,"Freestyle",0,"Men","CUB","Hanser Garcia",48.04,4
"London",2012,100,"Freestyle",0,"Men","RUS","Nikita Lobintsev",48.44,4
"London",2012,100,"Freestyle",0,"Women","NED","Ranomi Kromowidjojo",53,1
"London",2012,100,"Freestyle",0,"Women","BLR","Aliaksandra Herasimenia",53.38,2
"London",2012,100,"Freestyle",0,"Women","CHN","Yi Tang",53.44,3
"London",2012,100,"Freestyle",0,"Women","AUS","Melanie Schlanger",53.47,4
"London",2012,100,"Freestyle",0,"Women","USA","Missy Franklin",53.64,4
"London",2012,100,"Freestyle",0,"Women","GBR","Francesca Halsall",53.66,4
"London",2012,100,"Freestyle",0,"Women","DEN","Jeanette Ottesen",53.75,4
"London",2012,100,"Freestyle",0,"Women","USA","Jessica Hardy",54.02,4
"London",2012,50,"Freestyle",0,"Men","FRA","Florent Manaudou",21.34,1
"London",2012,50,"Freestyle",0,"Men","USA","Cullen Jones",21.54,2
"London",2012,50,"Freestyle",0,"Men","BRA","Cesar Cielo Filho",21.59,3
"London",2012,50,"Freestyle",0,"Men","BRA","Bruno Fratus",21.61,4
"London",2012,50,"Freestyle",0,"Men","USA","Anthony Ervin",21.78,4
"London",2012,50,"Freestyle",0,"Men","RSA","Roland Schoeman",21.8,4
"London",2012,50,"Freestyle",0,"Men","TTO","George Bovell",21.82,4
"London",2012,50,"Freestyle",0,"Men","AUS","Eamon Sullivan",21.98,4
"London",2012,50,"Freestyle",0,"Women","NED","Ranomi Kromowidjojo",24.05,1
"London",2012,50,"Freestyle",0,"Women","BLR","Aliaksandra Herasimenia",24.28,2
"London",2012,50,"Freestyle",0,"Women","NED","Marleen Veldhuis",24.39,3
"London",2012,50,"Freestyle",0,"Women","GER","Britta Steffen",24.46,4
"London",2012,50,"Freestyle",0,"Women","GBR","Francesca Halsall",24.47,4
"London",2012,50,"Freestyle",0,"Women","SWE","Therese Alshammar",24.61,4
"London",2012,50,"Freestyle",0,"Women","USA","Jessica Hardy",24.62,4
"London",2012,50,"Freestyle",0,"Women","BAH","Arianna Vanderpool-Wallace",24.69,4
"Beijing",2008,100,"Backstroke",0,"Men","USA","Aaron Peirsol",52.54,1
"Beijing",2008,100,"Backstroke",0,"Men","USA","Matt Grevers",53.11,2
"Beijing",2008,100,"Backstroke",0,"Men","RUS","Arkady Vyatchanin",53.18,3
"Beijing",2008,100,"Backstroke",0,"Men","AUS","Hayden Stoeckel",53.18,3
"Beijing",2008,100,"Backstroke",0,"Men","AUS","Ashley Delaney",53.31,4
"Beijing",2008,100,"Backstroke",0,"Men","GBR","Liam Tancock",53.39,4
"Beijing",2008,100,"Backstroke",0,"Men","ESP","Aschwin Wildeboer Faber",53.51,4
"Beijing",2008,100,"Backstroke",0,"Men","JPN","Junichi Miyashita",53.99,4
"Beijing",2008,100,"Backstroke",0,"Women","USA","Natalie Coughlin",58.96,3
"Beijing",2008,100,"Backstroke",0,"Women","ZIM","Kirsty Leigh Coventry",59.19,4
"Beijing",2008,100,"Backstroke",0,"Women","USA","Margaret Hoelzer",59.34,4
"Beijing",2008,100,"Backstroke",0,"Women","GBR","Gemma Spofforth",59.38,4
"Beijing",2008,100,"Backstroke",0,"Women","RUS","Anastasia Zueva",59.4,4
"Beijing",2008,100,"Backstroke",0,"Women","JPN","Reiko Nakamura",59.72,4
"Beijing",2008,100,"Breaststroke",0,"Men","JPN","Kosuke Kitajima",58.91,3
"Beijing",2008,100,"Breaststroke",0,"Men","NOR","Alexander Dale Oen",59.2,4
"Beijing",2008,100,"Breaststroke",0,"Men","FRA","Hugues Duboscq",59.37,4
"Beijing",2008,100,"Breaststroke",0,"Men","USA","Brendan Hansen",59.57,4
"Beijing",2008,100,"Breaststroke",0,"Men","AUS","Brenton Rickard",59.74,4
"Beijing",2008,100,"Breaststroke",0,"Men","RUS","Roman Sloudnov",59.87,4
"Beijing",2008,100,"Butterfly",0,"Men","USA","Michael Phelps",50.58,1
"Beijing",2008,100,"Butterfly",0,"Men","SRB","Milorad Cavic",50.59,2
"Beijing",2008,100,"Butterfly",0,"Men","AUS","Andrew Lauterstein",51.12,3
"Beijing",2008,100,"Butterfly",0,"Men","USA","Ian Crocker",51.13,4
"Beijing",2008,100,"Butterfly",0,"Men","KEN","Jason Dunford",51.47,4
"Beijing",2008,100,"Butterfly",0,"Men","JPN","Takuro Fujii",51.5,4
"Beijing",2008,100,"Butterfly",0,"Men","UKR","Andriy Serdinov",51.59,4
"Beijing",2008,100,"Butterfly",0,"Men","PNG","Ryan Pini",51.86,4
"Beijing",2008,100,"Butterfly",0,"Women","AUS","Libby Trickett",56.73,1
"Beijing",2008,100,"Butterfly",0,"Women","USA","Christine Magnuson",57.1,2
"Beijing",2008,100,"Butterfly",0,"Women","AUS","Jessicah Schipper",57.25,3
"Beijing",2008,100,"Butterfly",0,"Women","CHN","Yafei Zhou",57.84,4
"Beijing",2008,100,"Butterfly",0,"Women","SGP","Li Tao",57.99,4
"Beijing",2008,100,"Butterfly",0,"Women","GBR","Jemma Lowe",58.06,4
"Beijing",2008,100,"Butterfly",0,"Women","BRA","Gabriella Silva",58.1,4
"Beijing",2008,100,"Butterfly",0,"Women","NED","Inge Dekker",58.54,4
"Beijing",2008,100,"Freestyle",0,"Men","FRA","Alain Bernard",47.21,1
"Beijing",2008,100,"Freestyle",0,"Men","AUS","Eamon Sullivan",47.32,2
"Beijing",2008,100,"Freestyle",0,"Men","USA","Jason Lezak",47.67,3
"Beijing",2008,100,"Freestyle",0,"Men","BRA","Cesar Cielo Filho",47.67,3
"Beijing",2008,100,"Freestyle",0,"Men","NED","Pieter Van Den Hoogenband",47.75,4
"Beijing",2008,100,"Freestyle",0,"Men","RSA","Lyndon Ferns",48.04,4
"Beijing",2008,100,"Freestyle",0,"Men","AUS","Matt Targett",48.2,4
"Beijing",2008,100,"Freestyle",0,"Men","SWE","Stefan Nystrand",48.33,4
"Beijing",2008,100,"Freestyle",0,"Women","GER","Britta Steffen",53.12,1
"Beijing",2008,100,"Freestyle",0,"Women","AUS","Libby Trickett",53.16,2
"Beijing",2008,100,"Freestyle",0,"Women","USA","Natalie Coughlin",53.39,3
"Beijing",2008,100,"Freestyle",0,"Women","FIN","Hanna-Maria Seppala",53.97,4
"Beijing",2008,100,"Freestyle",0,"Women","DEN","Jeanette Ottesen",54.06,4
"Beijing",2008,100,"Freestyle",0,"Women","CHN","Yingwen Zhu",54.21,4
"Beijing",2008,100,"Freestyle",0,"Women","NED","Marleen Veldhuis",54.21,4
"Beijing",2008,100,"Freestyle",0,"Women","GBR","Francesca Halsall",54.29,4
"Beijing",2008,50,"Freestyle",0,"Men","BRA","Cesar Cielo Filho",21.3,1
"Beijing",2008,50,"Freestyle",0,"Men","FRA","Amaury Leveaux",21.45,2
"Beijing",2008,50,"Freestyle",0,"Men","FRA","Alain Bernard",21.49,3
"Beijing",2008,50,"Freestyle",0,"Men","AUS","Ashley Callus",21.62,4
"Beijing",2008,50,"Freestyle",0,"Men","USA","Ben Wildman-Tobriner",21.64,4
"Beijing",2008,50,"Freestyle",0,"Men","AUS","Eamon Sullivan",21.65,4
"Beijing",2008,50,"Freestyle",0,"Men","RSA","Roland Schoeman",21.67,4
"Beijing",2008,50,"Freestyle",0,"Men","SWE","Stefan Nystrand",21.72,4
"Beijing",2008,50,"Freestyle",0,"Women","GER","Britta Steffen",24.06,1
"Beijing",2008,50,"Freestyle",0,"Women","USA","Dara Torres",24.07,2
"Beijing",2008,50,"Freestyle",0,"Women","AUS","Cate Campbell",24.17,3
"Beijing",2008,50,"Freestyle",0,"Women","AUS","Libby Trickett",24.25,4
"Beijing",2008,50,"Freestyle",0,"Women","NED","Marleen Veldhuis",24.26,4
"Beijing",2008,50,"Freestyle",0,"Women","USA","Kara Lynn Joyce",24.63,4
"Beijing",2008,50,"Freestyle",0,"Women","NED","Hinkelien Schreuder",24.65,4
"Beijing",2008,50,"Freestyle",0,"Women","BLR","Aliaksandra Herasimenia",24.77,4
"Athens",2004,100,"Backstroke",0,"Men","USA","Aaron Peirsol",54.06,1
"Athens",2004,100,"Backstroke",0,"Men","AUT","Markus Rogan",54.35,2
"Athens",2004,100,"Backstroke",0,"Men","JPN","Tomomi Morita",54.36,3
"Athens",2004,100,"Backstroke",0,"Men","USA","Lenny Krayzelburg",54.38,4
"Athens",2004,100,"Backstroke",0,"Men","AUS","Matthew Welsh",54.52,4
"Athens",2004,100,"Backstroke",0,"Men","HUN","Laszlo Cseh",54.61,4
"Athens",2004,100,"Backstroke",0,"Men","GER","Steffen Driesen",54.63,4
"Athens",2004,100,"Backstroke",0,"Men","GER","Marco Di Carli",55.27,4
"Athens",2004,100,"Butterfly",0,"Men","USA","Michael Phelps",51.25,1
"Athens",2004,100,"Butterfly",0,"Men","USA","Ian Crocker",51.29,2
"Athens",2004,100,"Butterfly",0,"Men","UKR","Andriy Serdinov",51.36,3
"Athens",2004,100,"Butterfly",0,"Men","GER","Thomas Rupprath",52.27,4
"Athens",2004,100,"Butterfly",0,"Men","RUS","Igor Marchenko",52.32,4
"Athens",2004,100,"Butterfly",0,"Men","BRA","Gabriel Mangabeira",52.34,4
"Athens",2004,100,"Butterfly",0,"Men","CRO","Duje Draganja",52.46,4
"Athens",2004,100,"Butterfly",0,"Men","AUS","Geoffrey Huegill",52.56,4
"Athens",2004,100,"Butterfly",0,"Women","AUS","Petria Thomas",57.72,1
"Athens",2004,100,"Butterfly",0,"Women","POL","Otylia Jedrzejczak",57.84,2
"Athens",2004,100,"Butterfly",0,"Women","NED","Inge De Bruijn",57.99,3
"Athens",2004,100,"Butterfly",0,"Women","AUS","Jessicah Schipper",58.22,4
"Athens",2004,100,"Butterfly",0,"Women","USA","Jenny Thompson",58.72,4
"Athens",2004,100,"Butterfly",0,"Women","SVK","Martina Moravcova",58.96,4
"Athens",2004,100,"Butterfly",0,"Women","BLR","Alena Popchanka",59.06,4
"Athens",2004,100,"Butterfly",0,"Women","JPN","Junko Onishi",59.83,4
"Athens",2004,100,"Freestyle",0,"Men","NED","Pieter Van Den Hoogenband",48.17,1
"Athens",2004,100,"Freestyle",0,"Men","RSA","Roland Schoeman",48.23,2
"Athens",2004,100,"Freestyle",0,"Men","AUS","Ian Thorpe",48.56,3
"Athens",2004,100,"Freestyle",0,"Men","RSA","Ryk Neethling",48.63,4
"Athens",2004,100,"Freestyle",0,"Men","ITA","Filippo Magnini",48.99,4
"Athens",2004,100,"Freestyle",0,"Men","CRO","Duje Draganja",49.23,4
"Athens",2004,100,"Freestyle",0,"Men","ALG","Salim Iles",49.3,4
"Athens",2004,100,"Freestyle",0,"Men","RUS","Andrey Kapralov",49.3,4
"Athens",2004,100,"Freestyle",0,"Women","AUS","Jodie Henry",53.84,1
"Athens",2004,100,"Freestyle",0,"Women","NED","Inge De Bruijn",54.16,2
"Athens",2004,100,"Freestyle",0,"Women","USA","Natalie Coughlin",54.4,3
"Athens",2004,100,"Freestyle",0,"Women","FRA","Malia Metella",54.5,4
"Athens",2004,100,"Freestyle",0,"Women","USA","Kara Lynn Joyce",54.54,4
"Athens",2004,100,"Freestyle",0,"Women","GRE","Nery Mantey Niangkouara",54.81,4
"Athens",2004,100,"Freestyle",0,"Women","SVK","Martina Moravcova",55.12,4
"Athens",2004,100,"Freestyle",0,"Women","BLR","Alena Popchanka",55.24,4
"Athens",2004,50,"Freestyle",0,"Men","USA","Gary Hall, Jr.",21.93,1
"Athens",2004,50,"Freestyle",0,"Men","CRO","Duje Draganja",21.94,2
"Athens",2004,50,"Freestyle",0,"Men","RSA","Roland Schoeman",22.02,3
"Athens",2004,50,"Freestyle",0,"Men","SWE","Stefan Nystrand",22.08,4
"Athens",2004,50,"Freestyle",0,"Men","USA","Jason Lezak",22.11,4
