"","First Name","Last Name","Overall Reliability","Singles Reliability","Doubles Reliability","Mixed Reliability"
"57","Emily","Tackitt",0.21,0,0.31,0.32
"58","Emily","Lu",0.2,0,0.31,0.29
"59","Flora","Vogel",0.2,0.11,0.13,0.37
"60","Gabriella","Tavolato",0.27,0.29,0.26,0.27
"61","Georgia","Simpson",0.3,0.3,0.31,0.29
"62","Gia","Garrett",0.27,0.27,0.26,0.29
"63","Grace","Hamilton",0.42,0.27,0.52,0.47
"64","Gracie","Watkins",0.28,0.28,0.28,0.28
"65","Hailey","Eldridge",0.21,0,0,0.64
"66","Halie","Kealoha",0.34,0.15,0.34,0.53
"67","Hannah","Jiang",0.37,0.34,0.34,0.42
"68","Hannah","Adams",0.29,0,0.42,0.44
"69","Hannah","Bai",0.2,0,0.31,0.29
"70","Hannah","Rhoderick",0.19,0,0,0.58
"71","Hannah","Nelson",0.27,0.27,0.28,0.27
"72","Hannah","Eldridge",0.38,0.15,0.5,0.49
"73","Hannah","Jones",0.27,0.29,0.26,0.26
"74","Heather","Murphy",0.47,0.28,0.56,0.56
"75","Heather","Kim",0.36,0.38,0.27,0.44
"76","Heidi","Blackwell",0.27,0.27,0.28,0.27
"77","Isabella","Dahir",0.18,0,0,0.55
"78","Isabella","Budge",0.18,0,0.24,0.31
"79","Jaden","Sebastian",0.29,0.29,0.29,0.3
"80","Jane","Schaeffer",0.23,0,0,0.68
"81","Janel","Straub",0.28,0.28,0.28,0.27
"82","Janet","Openshaw",0.22,0,0,0.65
"83","Jenna","Chronister",0.28,0.28,0.28,0.27
"84","Jennifer","Georgariou",0.18,0,0,0.55
"85","Jessica","Thomas",0.46,0.3,0.53,0.55
"86","Jessica","Pil",0.38,0.27,0.42,0.44
"87","Jessica","Hreljac",0.51,0,0.76,0.77
"88","Jolene","Neher",0.2,0,0,0.6
"89","Julia","Holec",0.23,0,0,0.68
"90","Julia","Kimack",0.3,0.15,0.34,0.42
"91","Julia","Tyseling",0.18,0,0,0.55
"92","Kaitlyn","Jarold",0.28,0.28,0.28,0.27
"93","Kalanie","Newcomb",0.26,0.26,0.26,0.25
"94","Kaley","Brancaccio",0.46,0.33,0.52,0.52
"95","Kamryn","Bliss",0.65,0.68,0.59,0.68
"96","Kate","Ericksen",0.27,0.26,0.27,0.28
"97","katelyn","hsu",0.28,0,0.5,0.34
"98","Katie","Yates",0.28,0.29,0.28,0.28
"99","Kaylee","Elison",0.39,0,0.64,0.52
"100","Keanna","Williams",0.37,0.15,0.49,0.47
"101","Kelly","Murphy",0.49,0.49,0.5,0.48
"102","Kendall","Cender",0.26,0.26,0.26,0.26
"103","Kendall","Claymon",0.27,0.27,0.27,0.27
"104","Kira","Klann",0.2,0,0.29,0.31
"105","Kira","Tobita",0.36,0.27,0.33,0.47
"106","Lanie","Ruf",0.29,0.28,0.29,0.29
"107","Lauren","Schmidt",0.18,0,0,0.55
"108","Leah","Black",0.37,0.28,0.29,0.53
"109","Leanna","Ching",0.39,0.34,0.38,0.46
"110","Leila","Antony",0.65,0.64,0.65,0.67
"111","Lili","Zebluim",0.28,0.28,0.28,0.28
"112","Lillian","Dehner",0.35,0.5,0.28,0.28
"113","Lilly","Shaw",0.53,0.52,0.53,0.54
"114","Lucy","Angevine",0.48,0.42,0.49,0.53
"115","Lyndsey","Olsen",0.19,0,0.29,0.29
"116","Mackenzie","Brown",0.47,0.35,0.53,0.53
"117","Mackenzie","Lee",0.45,0.34,0.5,0.5
"118","Mackenzie","Fox",0.28,0.28,0.28,0.27
"119","Madelyn","Hadwick",0.26,0.24,0.27,0.28
"120","Madison","Barrientos",0.27,0.28,0.27,0.27
"121","Madison","Morse",0.36,0,0.57,0.52
"122","Mae","Stirrup",0.28,0.28,0.28,0.27
"123","Maggie","Brennan",0.29,0.28,0.29,0.29
"124","Mallory","Franke",0.2,0,0.32,0.29
"125","Margaret jane","Piatos",0.29,0.3,0.28,0.29
"126","Maribella","Kontil",0.49,0.37,0.55,0.56
"127","Martine","Sundsten",0.5,0.38,0.56,0.55
"128","Mary","Monson",0.62,0.65,0.54,0.67
"129","Mary Layne","Holloway",0.33,0,0.49,0.5
"130","Medina","Dore",0.26,0.27,0.26,0.26
"131","Megan","Willcox",0.43,0.27,0.51,0.5
"132","Mei","Lee",0.31,0.35,0.27,0.32
"133","Melinda","Mckinney",0.43,0,0.64,0.64
"134","Melissa","Gantz",0.21,0,0,0.62
"135","Melody","Liu",0.28,0.15,0.35,0.33
"136","Mia","Engelbart",0.42,0.36,0.34,0.55
"137","Mia","Morgan",0.39,0.52,0.13,0.52
"138","Mia","Ramos",0.33,0,0.49,0.51
"139","Michelle","Dipuma",0.6,0.53,0.64,0.64
"140","Michelle","Panuncialman",0.27,0,0.34,0.47
"141","Miranda","Meats",0.42,0,0.62,0.64
"142","Mollie","Morrisey",0.28,0.28,0.28,0.27
"143","Morgan","Loudon",0.27,0.27,0.26,0.29
"144","Nancy","Wheat",0.22,0,0,0.65
"145","Natalie","Kessler",0.28,0.28,0.28,0.29
"146","Natalie","Perez",0.32,0.15,0.34,0.46
"147","Nila","Kumar",0.27,0.27,0.27,0.27
"148","Nina","Pignatello",0.3,0,0.27,0.63
"149","Nora","Perkins",0.6,0.52,0.63,0.65
"150","Nyliam","Gazze",0.48,0.57,0.56,0.3
"151","Olivia","Phillips",0.26,0.26,0.27,0.24
"152","Olivia","Parsons",0.27,0.28,0.27,0.26
"153","Olivia","Armas",0.63,0.31,0.78,0.81
"154","Parker","Franklin",0.46,0.34,0.52,0.52
"155","Quinn","Dutrey",0.33,0,0.5,0.49
"156","Rachel","Garff",0.55,0.54,0.55,0.57
"157","Rachel","Sherrill",0.22,0,0.31,0.34
"158","Raegan","Lombardo",0.26,0.26,0.26,0.26
"159","Reese","Ashdown",0.33,0,0.49,0.5
"160","Samantha","Meadows",0.42,0.25,0.5,0.52
"161","Sammie","Arnold",0.19,0,0.29,0.27
"162","Scotland","Reynolds",0.45,0.29,0.54,0.53
"163","Shae","Spencer",0.45,0.27,0.53,0.56
"164","Shaina","Berk",0.35,0.27,0.34,0.44
"165","Shannon","Anderson",0.26,0.24,0.27,0.28
"166","Shannon","Burns",0.43,0.27,0.5,0.51
"167","Sofia","Ohlson",0.3,0.15,0.34,0.42
"168","Sophia","Thompson",0.38,0.15,0.49,0.5
"169","Sophia","Gargiulo",0.33,0.15,0.38,0.46
"170","Sophia","Friedl",0.46,0.53,0.28,0.57
"171","Stella","Tran",0.27,0.15,0.33,0.32
"172","Summer","Mu",0.54,0.54,0.53,0.54
"173","Sydney","Horner",0.25,0.26,0.25,0.24
"174","Tanvi","Narendran",0.22,0,0.32,0.33
"175","Tara","Franke",0.46,0.29,0.53,0.55
"176","Taylor","Sanders",0.27,0.29,0.26,0.26
"177","Tori","Allen",0.2,0,0,0.61
"178","Tori","Burke",0.27,0.27,0.27,0.28
"179","Tristin","Foster",0.46,0.28,0.55,0.55
"180","Valeria","Meruvia",0.63,0.63,0.64,0.63
"181","Victoria","Marquez",0.5,0.47,0.51,0.53
"182","Vivianne","Ngo",0.5,0.3,0.61,0.59
"183","Yolena","Carlon",0.61,0.64,0.53,0.66
"184","Ysabelle","Andrion",0.33,0,0.5,0.48
"185","Zoe","Routson",0.48,0.36,0.54,0.54
"186","Adam","Jones",0.46,0.34,0.5,0.53
"187","Aditya","Nallur",0.25,0.26,0.26,0.24
"188","Aidan","Gorneau",0.36,0.37,0.37,0.34
"189","Aidan","Arpachinda",0.28,0.29,0.28,0.27
"190","Aidan","Gonzales",0.26,0.26,0.26,0.26
"191","Aidan","Voong",0.36,0.29,0.47,0.33
"192","Aiden","Christesen",0.42,0.5,0.5,0.26
"193","Aj","Ciampini",0.57,0.5,0.54,0.67
"194","Aj","Hughes",0.26,0.27,0.26,0.26
"195","Alexander","Qi",0.54,0.52,0.56,0.54
"196","Alon","Evron",0.45,0,0.7,0.65
"197","Amrit","Kar",0.45,0.54,0.52,0.29
"198","Andre","Vu",0.43,0.27,0.51,0.5
"199","Andres","Tardio",0.48,0.35,0.55,0.55
"200","Arden","Levin",0.54,0.53,0.55,0.55
"201","Arden","Light",0.54,0.47,0.47,0.68
"202","Arnav","Kumar",0.28,0.29,0.28,0.28
"203","Artur","Fonseca",0.39,0.15,0.5,0.52
"204","Ben","Spencer",0.42,0.27,0.48,0.52
"205","Benjamin","Tighe",0.26,0.26,0.26,0.26
"206","Benjamin","Johnson",0.19,0,0.29,0.27
"207","Benson","Parry",0.62,0.57,0.6,0.69
"208","Bhavdeep","Singh",0.41,0,0.73,0.5
"209","Bill","Rogers",0.2,0,0,0.61
"210","Blake","Goodman",0.21,0,0.33,0.31
"211","Brady","Madrid",0.2,0,0.29,0.32
"212","Brandon","Tong",0.29,0,0.52,0.35
"213","Brandon","Bell",0.36,0.53,0.28,0.28
"214","Brock","Masters",0.63,0.63,0.62,0.63
"215","Bryce","Larson",0.3,0.16,0.27,0.48
"216","Bryce","Dorton",0.27,0.28,0.26,0.27
"217","Caeden","Simpson",0.28,0.28,0.28,0.27
"218","Caiden","Lindsay",0.18,0,0,0.55
"219","Caleb","Yeung",0.46,0.53,0.3,0.54
"220","Caleb","Hughes",0.3,0.29,0.31,0.29
"221","Calvin","Chang",0.37,0.33,0.33,0.44
"222","Carter","Maris",0.65,0.64,0.65,0.67
"223","Carter","Eldridge",0.4,0.13,0.53,0.55
"224","Carter","Wittendorf",0.53,0.51,0.53,0.55
"225","Charles","Case",0.27,0.28,0.26,0.26
"226","Charles","Anderson",0.53,0.52,0.52,0.55
"227","Charlie","Hall",0.28,0.28,0.28,0.27
"228","Charlie","Lott",0.29,0,0.44,0.42
"229","Chase","Poulton",0.19,0,0.29,0.29
"230","Chris","Adams",0.3,0.15,0.42,0.34
"231","Christian","Balon",0.2,0,0.33,0.27
"232","Christian","Franke",0.56,0.55,0.56,0.56
"233","Christopher","Petropoulos",0.28,0.28,0.28,0.27
"234","Cj","Sojka",0.27,0.27,0.26,0.27
"235","Cody","Miller",0.47,0.3,0.56,0.56
"236","Conner","Koga",0.33,0.15,0.5,0.34
"237","Conor","Burns",0.6,0.61,0.6,0.6
"238","Cooper","England",0.25,0.24,0.24,0.26
"239","Cosmo","Anthony-mostad",0.37,0.54,0.29,0.27
"240","Daniel","Korman",0.4,0.36,0.49,0.34
"241","Daniel","Vivas",0.53,0.33,0.62,0.64
"242","Daniel","Rodi",0.28,0.36,0.35,0.12
"243","Danny","Ward",0.41,0.27,0.47,0.48
"244","Derik","Hyndman",0.29,0.34,0.14,0.38
"245","Derrick","Phu",0.19,0,0.29,0.29
"246","Devin","Slemmer",0.26,0.26,0.26,0.26
"247","Drew","Pollak",0.36,0.3,0.53,0.26
"248","Duncan","Homer",0.27,0.28,0.26,0.26
"249","Edward","Gardner",0.43,0.27,0.51,0.51
"250","Eli","Mautner",0.58,0.57,0.59,0.58
"251","Eli","Vu",0.41,0.27,0.5,0.46
"252","Eli","Lynskey",0.13,0.13,0.13,0.13
"253","Eli","Mounts",0.26,0.26,0.26,0.25
"254","Elliott","Cox",0.27,0.28,0.26,0.27
"255","Eric","Marlatt",0.43,0,0.64,0.64
"256","Eric","Lee",0.28,0.29,0.28,0.27
"257","Ethan","Mahony",0.43,0.34,0.52,0.42
"258","Ethan","Nguyen",0.22,0,0,0.65
"259","Ethan","Kling",0.26,0.26,0.26,0.25
"260","Evan","Bernstine",0.45,0.48,0.46,0.4
"261","Freddy","Ortmann",0.53,0.53,0.53,0.53
"262","Gabriel","Jacobsen ayala",0.48,0,0.7,0.75
"263","Gavin","Fowler",0.26,0.28,0.26,0.24
"264","George","Ross",0.27,0.27,0.26,0.27
"265","Grant","Riechmann",0.29,0,0.44,0.42
"266","Gregory","Chot",0.18,0,0,0.55
"267","Harrison","Smith",0.27,0.27,0.26,0.27
"268","Isaak","Truong",0.32,0.39,0.29,0.27
"269","Isamu","Sims",0.19,0,0.29,0.27
"270","Ishan","Kejriwal",0.46,0.42,0.5,0.46
"271","issaya","finley",0.43,0,0.65,0.65
"272","Jace","Wilkins",0.38,0.15,0.5,0.5
"273","Jack","Sugimoto",0.46,0.47,0.52,0.38
"274","Jack","Moulton",0.28,0.29,0.28,0.28
"275","Jackson","Tate",0.35,0.36,0.33,0.36
"276","Jackson","Bell",0.44,0.51,0.52,0.28
"277","Jacob","Samberg",0.45,0.28,0.52,0.55
"278","Jacob","Wilson",0.4,0,0.57,0.62
"279","Jacob","Nguyen",0.51,0.47,0.52,0.53
"280","Jaden","Rhoderick",0.19,0,0,0.58
"281","Jadon","Wing",0.28,0.28,0.28,0.27
"282","Jake","Wilson",0.5,0.57,0.37,0.56
"283","Jake","Bower",0.48,0.54,0.36,0.54
"284","Jake","Stolworthy",0.38,0,0.65,0.5
"285","Jared","Brungard",0.57,0.51,0.54,0.67
"286","Jason","Wheat",0.22,0,0,0.65
"287","Jayce","Fitzpatrick",0.29,0.28,0.29,0.29
"288","Jeffrey","Dong",0.39,0.34,0.34,0.5
"289","Jonathan","Dong",0.3,0.15,0.33,0.41
"290","Jonathan","Atkinson",0.26,0.27,0.26,0.26
"291","Jordan","Schaeffer",0.23,0,0,0.68
"292","Joseph","Enciso",0.18,0,0,0.55
"293","Josh","Phillips",0.21,0.14,0.37,0.13
"294","Joshua","Iturriaga",0.27,0,0.34,0.46
"295","Judah","Samples",0.29,0,0.42,0.44
"296","Justin","Brunner",0.39,0.42,0.52,0.23
"297","Kaleb","Roberts",0.19,0,0.29,0.27
"298","Kalen","Harbaugh",0.49,0.55,0.55,0.36
"299","Keegan","Mcbride",0.47,0.29,0.56,0.55
"300","Kenny","Jiang",0.28,0.29,0.28,0.27
"301","Kent","Renda",0.28,0.36,0.35,0.12
"302","Kevin","Kanavaloff",0.32,0,0.5,0.47
"303","Korey","Seyler",0.21,0,0,0.62
"304","Kris","Sowattanangkul",0.33,0,0.5,0.5
"305","Kyle","Elison",0.39,0,0.64,0.52
"306","Lane","Chatterton",0.28,0.28,0.28,0.27
"307","Liam","Duffin",0.6,0.55,0.58,0.68
"308","Logan","Daniels",0.44,0,0.69,0.62
"309","Luis","Fernandez-valle",0.51,0.49,0.53,0.52
"310","Luke","Williams",0.54,0.54,0.54,0.53
"311","Luke","Domke",0.45,0.54,0.52,0.29
"312","Luke","Foster",0.36,0.52,0.28,0.27
"313","Manning","Kalish",0.21,0,0,0.62
"314","Marin","Davis",0.19,0,0.31,0.27
"315","Matthew","Choy",0.27,0.26,0.27,0.27
"316","Michael","Asplund",0.54,0.3,0.65,0.66
"317","Michael","Mcdonald",0.48,0.52,0.54,0.38
"318","Michael","Garcia",0.27,0,0.34,0.46
"319","Mike","Cook",0.18,0,0,0.55
"320","Miles","Kreutzer",0.56,0.57,0.55,0.56
"321","Minh","Vu",0.44,0,0.67,0.64
"322","Mitchell","Fong",0.31,0.15,0.34,0.44
"323","Myles","Call",0.47,0.53,0.35,0.53
"324","Nathan","Tang",0.26,0.11,0.31,0.36
"325","Nathan","Christensen",0.19,0,0.27,0.31
"326","Nicholas","Wise",0.34,0,0.51,0.51
"327","Nick","Hogge",0.29,0.3,0.28,0.29
"328","Nick","Colorado",0.33,0,0.5,0.5
"329","Nile","Roth",0.43,0,0.64,0.64
"330","Noah","Eckert",0.43,0,0.69,0.6
"331","Noah","Yeung",0.21,0,0.33,0.31
"332","Noah","Hong",0.19,0,0,0.58
"333","Nui","Afualo",0.28,0,0.42,0.42
"334","Oskar","Svensson",0.23,0,0,0.68
"335","Pablo esteban","Bustamante",0.27,0.26,0.27,0.27
"336","Parker","Eggli",0.26,0.28,0.26,0.24
"337","Parker","Tomz",0.29,0.37,0.38,0.11
"338","Parth","Hathalia",0.43,0.44,0.44,0.42
"339","Patrick","Luu",0.27,0,0.47,0.34
"340","Paul","Saraceno",0.2,0,0.32,0.29
"341","Peter","Le",0.45,0.28,0.53,0.55
"342","Peyton","Short",0.41,0,0.72,0.51
"343","Philip","Crotts",0.21,0,0.33,0.31
"344","Pierce","Jalajas",0.44,0,0.73,0.58
"345","Preston","Lynch",0.44,0.15,0.5,0.68
"346","Preston","Gibbs",0.39,0,0.64,0.52
"347","Ray","Heinonen",0.29,0.14,0.36,0.38
"348","Raymond","Gue",0.36,0.27,0.47,0.33
"349","Rhys","Wilson",0.33,0,0.5,0.48
"350","Richard","Stratton",0.26,0.27,0.26,0.26
"351","Roman","Di Napoli",0.33,0,0.5,0.5
"352","Rowen","Pouza",0.54,0.53,0.54,0.54
"353","Ryan","Smith",0.6,0.6,0.61,0.59
"354","Ryan","Hsiao",0.45,0.34,0.52,0.48
"355","Ryan","Walter",0.47,0.34,0.53,0.53
"356","Ryan","Olson",0.26,0.26,0.26,0.26
"357","Ryan","Flanagan",0.52,0.52,0.51,0.54
"358","Sam","Hutner",0.28,0.28,0.28,0.29
"359","Sam","Burns",0.2,0,0.27,0.34
"360","Sam","Johnson",0.26,0.26,0.26,0.26
"361","Samuel","Farris",0.47,0.27,0.56,0.57
"362","Samuel","Reising",0.28,0.28,0.29,0.28
"363","Samuel","Jones",0.45,0.34,0.5,0.5
"364","Scott","Myers",0.4,0,0.6,0.6
"365","Sean","Phu",0.19,0,0.29,0.27
"366","Sebastian","Accetta",0.54,0.53,0.54,0.54
"367","Spencer","Adams",0.45,0.28,0.53,0.53
"368","Tam-an","Nguyen",0.18,0,0,0.55
"369","Teddy","Morin",0.36,0.37,0.37,0.34
"370","Thatcher","Schwendiman",0.4,0.3,0.61,0.3
"371","Tobin","teksler",0.21,0,0.35,0.29
"372","Trevor","Ju",0.53,0.54,0.53,0.52
"373","Will","Wenger",0.27,0.27,0.26,0.27
"374","William","Dau",0.48,0.42,0.51,0.52
"375","Xavier","Nccorchuk",0.33,0,0.5,0.5
"376","Zach","Mersch",0.38,0.15,0.51,0.47
"377","Zach","Tone",0.52,0.53,0.51,0.51
"378","Zachary","Guy",0.37,0.28,0.54,0.28
"379","Zachary","Kleinerman",0.28,0.29,0.28,0.27
"380","Zack","Florendo",0.52,0.51,0.53,0.52
