name,wins,looses,draws,ko_rate,stance,age,height,reach,country
Demetris Williams,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
liam williams,22,2,1,65.4%,Orthodox,30,5.84 ft (1.78 m),Unknown,United Kingdom
Tyhler Williams,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
holman williams,145,30,11,18.7%,Orthodox,107,5.87 ft (1.79 m),70.87 inches (180 cm),United States
everald williams,8,2,1,27.3%,Orthodox,53,5.74 ft (1.75 m),Unknown,United Kingdom
ike williams,128,24,5,38.9%,Orthodox,99,5.74 ft (1.75 m),68.11 inches (173 cm),United States
charley doc williams,51,18,2,31%,Orthodox,94,Unknown,Unknown,United States
Ben D. Williams,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
cleveland williams,78,13,1,63%,Orthodox,89,6.27 ft (1.91 m),79.92 inches (203 cm),United States
Vaughn Williams,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
paul williams,41,2,0,62.8%,Southpaw,41,6.07 ft (1.85 m),79.13 inches (201 cm),United States
carl williams,30,10,0,51.2%,Orthodox,62,6.33 ft (1.93 m),Unknown,United States
Isaac Williams,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ghana
Kahlee Williams,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
tramaine williams,19,0,0,30%,Southpaw,29,5.35 ft (1.63 m),68.11 inches (173 cm),United States
ray wilding,41,5,3,66%,Orthodox,93,6.27 ft (1.91 m),Unknown,United Kingdom
sherman williams,39,15,2,36.8%,Orthodox,49,5.91 ft (1.80 m),75.98 inches (193 cm),Bahamas
Joseph Wiggins,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
deontay wilder,42,1,1,93.2%,Orthodox,36,6.56 ft (2.00 m),83.07 inches (211 cm),United States
dillian whyte,27,2,0,58.1%,Orthodox,34,Unknown,Unknown,United Kingdom
Cedryck Whyckoff,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
jimmy wilde,139,4,5,66.4%,Orthodox,130,5.22 ft (1.59 m),66.14 inches (168 cm),United Kingdom
paul whittaker,27,4,0,71%,Orthodox,58,Unknown,Unknown,United States
pernell whitaker,40,4,1,37%,Southpaw,58,5.51 ft (1.68 m),68.90 inches (175 cm),United States
slugger white,45,13,4,20.3%,Orthodox,104,5.51 ft (1.68 m),Unknown,United States
ryan wheeler,0,0,1,0%,Unknown,Unknown,Unknown,Unknown,United Kingdom
Wellington Wheatley,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ecuador
richie wenton,24,6,0,33.3%,Orthodox,54,5.68 ft (1.73 m),70.08 inches (178 cm),United Kingdom
Karol Welter,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Poland
Sofia Wells Raldes,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Bolivia, Plurinational State of"
scott welch,22,4,0,65.4%,Orthodox,54,6.17 ft (1.88 m),75.20 inches (191 cm),United Kingdom
mark weinman,12,4,0,62.5%,Orthodox,60,Unknown,Unknown,United States
Sarah Weidman,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Germany
Markhaile Weddeburn,0,0,0,0%,Orthodox,43,Unknown,Unknown,Canada
spider webb,34,6,0,47.5%,Orthodox,90,5.81 ft (1.77 m),Unknown,United States
Jami Webb,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,South Africa
Alden Wattley,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Bobby Watson,0,0,0,0%,Orthodox,37,Unknown,Unknown,United States
arthur weathers,23,15,1,47.5%,Southpaw,60,Unknown,Unknown,United States
seaman tommy watson,112,9,2,22%,Orthodox,114,Unknown,Unknown,United Kingdom
phil watford,3,22,0,8%,Orthodox,Unknown,Unknown,Unknown,United States
gerald washington,20,4,1,52%,Orthodox,40,6.50 ft (1.98 m),81.89 inches (208 cm),United States
rau'shee warren,17,3,0,18.2%,Unknown,35,5.38 ft (1.64 m),64.57 inches (164 cm),United States
josh warrington,30,0,0,23.3%,Orthodox,31,5.58 ft (1.70 m),Unknown,United Kingdom
andre ward,32,0,0,50%,Orthodox,38,6.00 ft (1.83 m),70.87 inches (180 cm),United States
thomas patrick ward,29,0,0,13.8%,Orthodox,28,5.51 ft (1.68 m),Unknown,United Kingdom
peter waterman,42,3,2,70.2%,Orthodox,87,Unknown,Unknown,United Kingdom
Rance Ward,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
micky ward,38,13,0,52.9%,Orthodox,56,5.68 ft (1.73 m),70.08 inches (178 cm),United States
liam walsh,21,1,0,63.6%,Orthodox,36,5.61 ft (1.71 m),Unknown,United Kingdom
otto wallin,20,1,0,56.5%,Southpaw,31,6.46 ft (1.97 m),77.95 inches (198 cm),Sweden
steve ward,15,40,3,1.7%,Orthodox,66,6.14 ft (1.87 m),Unknown,United Kingdom
anaclet wamba,46,2,1,46.9%,Orthodox,62,6.23 ft (1.90 m),75.98 inches (193 cm),France
Kevin Walsh,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
ryan walsh,26,2,2,41.9%,Orthodox,36,5.54 ft (1.69 m),Unknown,United Kingdom
nicholas walters,26,1,1,72.4%,Orthodox,36,5.58 ft (1.70 m),72.83 inches (185 cm),Jamaica
martin joseph ward,24,1,2,40.7%,Orthodox,31,5.68 ft (1.73 m),Unknown,United Kingdom
shingo wake,25,6,2,50%,Southpaw,35,5.68 ft (1.73 m),Unknown,Japan
jersey joe walcott,51,18,2,45.1%,Orthodox,108,6.00 ft (1.83 m),74.02 inches (188 cm),United States
mickey walker,131,26,5,36.6%,Orthodox,121,5.58 ft (1.70 m),66.93 inches (170 cm),United States
billy wagner,34,9,2,51.1%,Orthodox,75,6.07 ft (1.85 m),Unknown,United States
Amal Wahby,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Morocco
erskine wade,21,8,1,43.3%,Southpaw,Unknown,Unknown,Unknown,United States
Miona Vujosevic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Serbia
mariusz wach,34,6,0,43.9%,Orthodox,42,6.63 ft (2.02 m),81.89 inches (208 cm),Poland
Patrice Volny,11,0,0,54.5%,Unknown,4,Unknown,Unknown,Canada
Felicitas Paloma Vogt,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Germany
maxim vlasov,45,3,0,53.1%,Orthodox,35,6.30 ft (1.92 m),Unknown,Russian Federation
rose volante,14,1,0,50%,Orthodox,34,5.45 ft (1.66 m),67.32 inches (171 cm),Brazil
gustavo david vittori,23,5,1,40%,Southpaw,33,Unknown,Unknown,Argentina
bruno visintin,78,9,2,25.6%,Unknown,89,Unknown,Unknown,Italy
brian viloria,36,6,0,50%,Orthodox,41,5.35 ft (1.63 m),66.14 inches (168 cm),United States
Carlos Villava,0,0,0,0%,Orthodox,31,Unknown,Unknown,United States
robert villemain,52,7,4,22.2%,Orthodox,98,5.48 ft (1.67 m),Unknown,France
Sandra Villarruel,0,0,0,0%,Orthodox,35,Unknown,Unknown,Argentina
Leonardo Osvaldo Virzi,3,0,1,40%,Orthodox,Unknown,Unknown,Unknown,Argentina
Francis Guillermo Villar Frometa,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Dominican Republic
Daniel Villalobos Ramirez,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Costa Rica
Carlos Villasis,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Canada
Florencia Villalba,1,0,2,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Fernando Javier Villalba,0,0,0,0%,Orthodox,25,Unknown,Unknown,Argentina
Pablo Marcos Villafañe,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Gustavo Villagra,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Falco Villafane,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Sergio Armando Villalobos,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Eduardo Miguel Villacrez,0,0,0,0%,Orthodox,20,Unknown,Unknown,Peru
Sebastian Esteban Vignatti,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Wilson Leonel Villacis,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ecuador
Darcie Marie Vigil,0,0,0,0%,Orthodox,41,Unknown,Unknown,United States
Teodora Vidic,0,0,0,0%,Orthodox,22,Unknown,Unknown,Bosnia and Herzegovina
Amilcar Vidal,15,0,0,80%,Orthodox,26,Unknown,Unknown,Uruguay
Nicolas Agustin Vergara,2,0,0,50%,Orthodox,Unknown,Unknown,Unknown,Argentina
Fanni Gabriella Vigh,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Hungary
joe cj vescio,10,2,2,57.1%,Orthodox,Unknown,Unknown,Unknown,United States
felix verdejo,27,1,0,60.7%,Orthodox,29,5.74 ft (1.75 m),72.05 inches (183 cm),Puerto Rico
gustavo vera,9,7,0,43.8%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
enrico venturi,69,13,12,7.4%,Orthodox,112,Unknown,Unknown,Italy
Nico Venetis,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Germany
andy vences,23,1,1,48%,Orthodox,Unknown,5.71 ft (1.74 m),72.05 inches (183 cm),United States
Juan Antonio Velazquez,0,0,0,0%,Orthodox,21,Unknown,Unknown,United States
Wilfry Velez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Dominican Republic
andriy velykovskiy,14,1,0,60%,Orthodox,Unknown,5.74 ft (1.75 m),Unknown,Ukraine
Viridiana Velazco,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Cristofer Kempes Velasquez,0,2,0,0%,Orthodox,31,Unknown,Unknown,Peru
Francisco Velazquez,0,0,0,0%,Orthodox,34,Unknown,Unknown,Nicaragua
Yefferson Francisco Velasquez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Anyerson Gilver Velasquez,0,0,0,0%,Orthodox,22,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
jose velasquez,27,6,2,51.4%,Orthodox,32,5.22 ft (1.59 m),64.17 inches (163 cm),Chile
Genaro Velarde Rodriguez,0,0,0,0%,Orthodox,23,Unknown,Unknown,Mexico
david vedder,23,25,5,5.7%,Orthodox,58,6.07 ft (1.85 m),75.98 inches (193 cm),United States
Leonardo Adolfo Fabian Vazquez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Martin Osvaldo de los Rios Vega,1,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
cornelio vega,32,39,4,28%,Southpaw,Unknown,Unknown,Unknown,Mexico
Valentin Vazquez,1,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Erik Vega Ortiz,15,2,0,52.9%,Orthodox,Unknown,Unknown,Unknown,Mexico
chris vendola,11,6,0,64.7%,Orthodox,52,Unknown,Unknown,United States
Agustina Solange Vazquez,0,0,0,0%,Orthodox,20,Unknown,Unknown,Argentina
Jean Carlos Vasquez,0,0,0,0%,Orthodox,24,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Svitlana Vaskevych,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ukraine
Christian Santiago Vazquez,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Ana Karla Vaz de Moraes,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Brazil
alvin varmall jr,4,1,0,80%,Unknown,30,5.68 ft (1.73 m),Unknown,United States
William Joel Vargas,0,0,0,0%,Orthodox,23,Unknown,Unknown,Nicaragua
jessie vargas,29,3,2,32.4%,Orthodox,33,5.84 ft (1.78 m),70.87 inches (180 cm),United States
francisco vargas,26,2,2,60%,Orthodox,37,5.68 ft (1.73 m),70.08 inches (178 cm),Mexico
fernando vargas,26,5,0,71%,Orthodox,44,5.84 ft (1.78 m),70.08 inches (178 cm),United States
Vardges Vardan Vardanyan,6,0,0,14.3%,Orthodox,27,Unknown,Unknown,Armenia
rey vargas,34,0,0,64.7%,Orthodox,31,Unknown,Unknown,Mexico
Regie Bangu Vanduku,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
Sebastian Vargas Arguedas,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Costa Rica
bep van klaveren,80,21,9,19.1%,Orthodox,114,5.68 ft (1.73 m),Unknown,Netherlands
samuel vargas,31,5,2,35.9%,Orthodox,33,5.81 ft (1.77 m),Unknown,Colombia
nikolay valuev,50,2,0,64.2%,Orthodox,49,6.99 ft (2.13 m),85.04 inches (216 cm),Russian Federation
Jose Antonio Valenzuela Diaz,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
tony valenti,28,5,1,58.8%,Orthodox,82,5.68 ft (1.73 m),Unknown,United States
matt vanda,45,16,0,41%,Orthodox,43,5.84 ft (1.78 m),70.08 inches (178 cm),United States
Mauricio Valencia,3,0,0,66.7%,Orthodox,Unknown,Unknown,Unknown,United States
Joaquin Humberto Vargas Medina,0,1,0,0%,Orthodox,20,Unknown,Unknown,Peru
John Enrique Valencia,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Panama
chris van heerden,28,2,1,38.7%,Southpaw,35,Unknown,Unknown,South Africa
oscar valdez,28,1,0,67.7%,Orthodox,31,5.45 ft (1.66 m),66.14 inches (168 cm),Mexico
rodrigo valdes,64,8,2,58.1%,Orthodox,75,5.81 ft (1.77 m),68.90 inches (175 cm),Colombia
Danilo Vaca,1,0,0,100%,Orthodox,Unknown,Unknown,Unknown,"Bolivia, Plurinational State of"
Leonardo David Uzcategui,0,1,1,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Alma Uzunovic,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Bosnia and Herzegovina
jose uzcategui,29,4,0,70.6%,Orthodox,31,6.17 ft (1.88 m),Unknown,"Venezuela, Bolivarian Republic of"
mark urvanov,12,2,0,33.3%,Unknown,Unknown,5.58 ft (1.70 m),Unknown,Russian Federation
Ryan Umberger,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
Juergen Uldedaj,8,0,0,12.5%,Orthodox,24,Unknown,Unknown,Albania
oleksandr usyk,18,0,0,72.2%,Southpaw,35,6.23 ft (1.90 m),Unknown,Ukraine
yves ulysse jr,18,2,0,45%,Unknown,34,5.58 ft (1.70 m),Unknown,Canada
David Emanuel Ubelfeld,0,0,0,0%,Orthodox,25,Unknown,Unknown,Argentina
yordenis ugas,25,4,0,41.4%,Orthodox,36,5.74 ft (1.75 m),68.90 inches (175 cm),Cuba
Anthony Urbano,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Jose Luis Ulloa,0,0,0,0%,Orthodox,29,Unknown,Unknown,United States
mike tyson,50,6,0,74.6%,Orthodox,56,5.84 ft (1.78 m),70.87 inches (180 cm),United States
Sanna Turunen,7,4,1,8.3%,Unknown,47,Unknown,Unknown,Finland
Sopio Tusiashvili,0,3,0,0%,Orthodox,Unknown,Unknown,Unknown,Georgia
Irving Gustavo Turrubiartes,2,0,0,0%,Orthodox,24,Unknown,Unknown,Mexico
randolph turpin,66,8,1,60%,Orthodox,94,5.81 ft (1.77 m),74.41 inches (189 cm),United Kingdom
Fabio Turchi,17,1,0,72.2%,Orthodox,Unknown,Unknown,Unknown,Italy
gil turner,56,19,2,45.5%,Orthodox,91,5.81 ft (1.77 m),Unknown,United States
johnny turner,42,6,2,64%,Orthodox,68,Unknown,Unknown,United States
Kristiana Turliaridu,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Bulgaria
Jahi Jawara Tucker,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,United States
gene tunney,79,1,4,56.5%,Orthodox,125,6.00 ft (1.83 m),75.98 inches (193 cm),United States
david tua,52,5,2,72.9%,Orthodox,49,5.84 ft (1.78 m),70.08 inches (178 cm),New Zealand
tony tubbs,48,9,0,44.1%,Orthodox,64,6.23 ft (1.90 m),79.13 inches (201 cm),United States
kostya tszyu,31,2,0,73.5%,Orthodox,52,5.58 ft (1.70 m),66.93 inches (170 cm),Australia
Tim Tszyu,4,0,0,40%,Orthodox,27,Unknown,Unknown,Australia
Panagiotis Tsochataridis,1,0,0,100%,Orthodox,Unknown,Unknown,Unknown,Greece
Mayemba Tshombe,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Congo, the Democratic Republic of the"
rex tso,15,0,0,56.3%,Southpaw,35,5.58 ft (1.70 m),69.69 inches (177 cm),Hong Kong
courage tshabalala,26,4,0,73.3%,Orthodox,51,6.20 ft (1.89 m),81.10 inches (206 cm),South Africa
Mateusz Tryk,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Poland
Yuichi Tsuchida,0,0,0,0%,Orthodox,28,Unknown,Unknown,Japan
Mykyta Trubchanin,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Ukraine
caleb truax,31,5,2,45.2%,Orthodox,38,6.00 ft (1.83 m),72.83 inches (185 cm),United States
Javier Troyano Rodriguez,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Costa Rica
austin trout,32,5,1,47.4%,Orthodox,36,5.81 ft (1.77 m),72.05 inches (183 cm),United States
Lizandro Trillo,0,0,0,0%,Orthodox,24,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
willie troy,33,6,2,56.1%,Unknown,89,5.91 ft (1.80 m),Unknown,United States
gary triano,4,10,1,6.7%,Orthodox,50,Unknown,Unknown,United States
felix trinidad,42,3,0,77.8%,Orthodox,49,5.91 ft (1.80 m),72.44 inches (184 cm),Puerto Rico
danny trevino,22,3,0,60%,Southpaw,53,Unknown,72.05 inches (183 cm),United States
artie towne,92,14,2,36.7%,Orthodox,95,5.68 ft (1.73 m),Unknown,United States
Jesus Filiberto Tovar,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
louis toutin,0,1,0,0%,Unknown,Unknown,Unknown,Unknown,France
Amanda Torres Sardinha,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Brazil
Agustin Juan Manuel Torres,0,2,0,0%,Orthodox,Unknown,Unknown,Unknown,Argentina
Adrian Torres,1,0,0,0%,Orthodox,Unknown,Unknown,Unknown,Mexico
Vicente Torres,0,0,0,0%,Orthodox,Unknown,Unknown,Unknown,"Venezuela, Bolivarian Republic of"
Windell Torres Bolanos,0,1,0,0%,Orthodox,Unknown,Unknown,Unknown,Costa Rica
