"team_id","season","wins","losses","tot_games","half_wins","half_losses","half_games","win_percent","half_percent","rank","playoffs"
14,2011,22,15,37,7,5,12,59.46,58.33,3,TRUE
14,2012,17,19,36,9,9,18,47.22,50,7,TRUE
14,2013,17,19,36,6,8,14,47.22,42.86,8,TRUE
14,2014,12,22,34,9,12,21,35.29,42.86,11,FALSE
14,2015,10,24,34,3,12,15,29.41,20,11,FALSE
14,2017,15,20,35,7,9,16,42.86,43.75,8,TRUE
14,2018,32,10,42,16,6,22,76.19,72.73,1,TRUE
14,2019,19,17,36,10,8,18,52.78,55.56,6,TRUE
14,2021,22,12,34,15,4,19,64.71,78.95,4,FALSE
14,2022,25,17,42,14,5,19,59.52,73.68,4,TRUE
16,2003,5,17,22,0,10,10,22.73,0,14,FALSE
16,2004,17,15,32,7,6,13,53.12,53.85,4,FALSE
16,2005,15,15,30,8,7,15,50,53.33,6,FALSE
16,2006,18,18,36,10,10,20,50,50,8,TRUE
16,2007,16,18,34,7,12,19,47.06,36.84,8,FALSE
16,2008,10,23,33,8,11,19,30.3,42.11,13,FALSE
16,2009,16,20,36,6,5,11,44.44,54.55,9,TRUE
16,2010,22,14,36,10,5,15,61.11,66.67,3,TRUE
16,2011,6,28,34,2,9,11,17.65,18.18,11,FALSE
16,2012,5,29,34,4,14,18,14.71,22.22,12,FALSE
16,2013,18,19,37,7,7,14,48.65,50,6,TRUE
16,2014,16,20,36,9,11,20,44.44,45,6,TRUE
16,2015,19,18,37,6,5,11,51.35,54.55,6,TRUE
16,2017,20,19,39,10,8,18,51.28,55.56,5,TRUE
16,2018,25,17,42,13,8,21,59.52,61.9,4,TRUE
16,2019,32,11,43,9,6,15,74.42,60,1,TRUE
16,2021,12,20,32,8,8,16,37.5,50,8,FALSE
16,2022,22,16,38,11,10,21,57.89,52.38,5,TRUE
17,2003,11,16,27,5,5,10,40.74,50,11,FALSE
17,2004,8,23,31,4,13,17,25.81,23.53,13,FALSE
17,2005,7,26,33,5,13,18,21.21,27.78,12,FALSE
17,2006,13,21,34,10,10,20,38.24,50,10,FALSE
17,2007,22,17,39,12,6,18,56.41,66.67,4,TRUE
17,2008,27,15,42,15,6,21,64.29,71.43,2,TRUE
17,2009,16,21,37,5,6,11,43.24,45.45,10,TRUE
17,2010,14,22,36,6,10,16,38.89,37.5,9,TRUE
17,2011,19,18,37,8,4,12,51.35,66.67,8,TRUE
17,2012,21,15,36,13,5,18,58.33,72.22,5,TRUE
17,2013,12,22,34,4,10,14,35.29,28.57,9,FALSE
17,2014,16,20,36,10,10,20,44.44,50,6,TRUE
17,2015,8,26,34,3,10,13,23.53,23.08,12,FALSE
17,2017,8,26,34,2,14,16,23.53,12.5,12,FALSE
17,2018,14,19,33,10,12,22,42.42,45.45,9,FALSE
17,2019,23,16,39,11,5,16,58.97,68.75,4,TRUE
17,2021,26,11,37,14,5,19,70.27,73.68,2,TRUE
17,2022,35,12,47,13,6,19,74.47,68.42,1,TRUE
18,2003,13,12,25,6,6,12,52,50,7,FALSE
18,2004,19,18,37,10,8,18,51.35,55.56,5,TRUE
18,2005,29,11,40,12,4,16,72.5,75,2,TRUE
18,2006,29,10,39,14,5,19,74.36,73.68,1,TRUE
18,2007,19,18,37,9,11,20,51.35,45,6,TRUE
18,2008,22,14,36,11,8,19,61.11,57.89,4,TRUE
18,2009,16,18,34,6,6,12,47.06,50,7,FALSE
18,2010,17,17,34,10,8,18,50,55.56,6,FALSE
18,2011,21,15,36,6,5,11,58.33,54.55,4,TRUE
18,2012,27,11,38,15,4,19,71.05,78.95,2,TRUE
18,2013,10,24,34,4,9,13,29.41,30.77,12,FALSE
18,2014,13,21,34,9,11,20,38.24,45,10,FALSE
18,2015,15,19,34,7,5,12,44.12,58.33,8,FALSE
18,2017,21,14,35,11,7,18,60,61.11,4,TRUE
18,2018,21,14,35,11,10,21,60,52.38,3,TRUE
18,2019,28,14,42,11,6,17,66.67,64.71,2,TRUE
18,2021,27,10,37,12,6,18,72.97,66.67,1,TRUE
18,2022,31,17,48,13,7,20,64.58,65,3,TRUE
19,2006,5,27,32,3,14,17,15.62,17.65,14,FALSE
19,2007,14,20,34,8,12,20,41.18,40,10,FALSE
19,2008,12,22,34,6,12,18,35.29,33.33,12,FALSE
19,2009,16,18,34,7,7,14,47.06,50,7,FALSE
19,2010,14,20,34,9,9,18,41.18,50,8,FALSE
19,2011,14,21,35,7,8,15,40,46.67,10,TRUE
19,2012,14,20,34,8,9,17,41.18,47.06,9,FALSE
19,2013,24,12,36,10,4,14,66.67,71.43,3,TRUE
19,2014,19,24,43,6,13,19,44.19,31.58,8,TRUE
19,2015,22,15,37,8,5,13,59.46,61.54,3,TRUE
19,2017,12,22,34,6,11,17,35.29,35.29,9,FALSE
19,2018,13,21,34,7,14,21,38.24,33.33,10,FALSE
19,2019,21,15,36,9,8,17,58.33,52.94,5,TRUE
19,2021,24,18,42,9,10,19,57.14,47.37,6,TRUE
19,2022,30,15,45,16,4,20,66.67,80,2,TRUE
20,2008,3,29,32,2,17,19,9.38,10.53,14,FALSE
20,2009,18,18,36,6,8,14,50,42.86,6,TRUE
20,2010,23,18,41,12,6,18,56.1,66.67,5,TRUE
20,2011,24,18,42,3,9,12,57.14,25,5,TRUE
20,2012,20,17,37,9,10,19,54.05,47.37,6,TRUE
20,2013,21,21,42,10,3,13,50,76.92,5,TRUE
20,2014,20,17,37,13,5,18,54.05,72.22,3,TRUE
20,2015,15,19,34,6,8,14,44.12,42.86,8,FALSE
20,2017,12,22,34,7,9,16,35.29,43.75,9,FALSE
20,2018,25,14,39,11,9,20,64.1,55,2,TRUE
20,2019,8,26,34,5,11,16,23.53,31.25,12,FALSE
20,2021,8,24,32,6,12,18,25,33.33,11,FALSE
20,2022,14,22,36,6,12,18,38.89,33.33,9,TRUE
