AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
13-15,Abigail Flemion,FALSE,SBD,Raw,15,14-18,FR-T1,66.2,67.5,395,1,412.44,408.86,360.79,83.81,Yes,USA,VA,USAPL,Best3DeadliftKg,167.5
13-15,Isabella Ciotti,FALSE,SBD,Raw,13,14-18,Youth,59.1,60,240,1,268.61,270.73,239.25,54.83,Yes,USA,NA,WRPF,Best3SquatKg,87.5
13-15,Isabella Ciotti,FALSE,SBD,Raw,13,14-18,Youth,59.1,60,240,1,268.61,270.73,239.25,54.83,Yes,USA,NA,WRPF,Best3BenchKg,57.5
13-15,Isabella Ciotti,FALSE,SBD,Raw,13,14-18,Youth,59.1,60,240,1,268.61,270.73,239.25,54.83,Yes,USA,NA,WRPF,Best3DeadliftKg,95
13-15,Darya Ryzhova,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,68.25,72,200,1,205.17,202.52,178.62,34.57,Yes,NA,NA,FPR,Best3SquatKg,65
13-15,Darya Ryzhova,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,68.25,72,200,1,205.17,202.52,178.62,34.57,Yes,NA,NA,FPR,Best3BenchKg,45
13-15,Darya Ryzhova,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,68.25,72,200,1,205.17,202.52,178.62,34.57,Yes,NA,NA,FPR,Best3DeadliftKg,90
13-15,Ellie Brown,FALSE,SBD,Raw,14.5,14-18,F-T1,56.7,58.5,230,1,264.42,268,237,54.16,Yes,UK,NA,BDFPA,Best3SquatKg,80
13-15,Ellie Brown,FALSE,SBD,Raw,14.5,14-18,F-T1,56.7,58.5,230,1,264.42,268,237,54.16,Yes,UK,NA,BDFPA,Best3BenchKg,40
13-15,Ellie Brown,FALSE,SBD,Raw,14.5,14-18,F-T1,56.7,58.5,230,1,264.42,268,237,54.16,Yes,UK,NA,BDFPA,Best3DeadliftKg,110
13-15,Bailey LeRoy,FALSE,SBD,Raw,14.5,14-18,FR-JV,52.7,56,247.5,4,298.9,305.36,270.55,61.79,Yes,USA,WI,USAPL,Best3SquatKg,95
13-15,Bailey LeRoy,FALSE,SBD,Raw,14.5,14-18,FR-JV,52.7,56,247.5,4,298.9,305.36,270.55,61.79,Yes,USA,WI,USAPL,Best3BenchKg,42.5
13-15,Bailey LeRoy,FALSE,SBD,Raw,14.5,14-18,FR-JV,52.7,56,247.5,4,298.9,305.36,270.55,61.79,Yes,USA,WI,USAPL,Best3DeadliftKg,110
13-15,Myla Priebe,FALSE,SBD,Raw,13.5,14-18,FR-T1,60.05,NA,222.5,1,246.52,247.9,219.03,50.26,Yes,USA,MN,USAPL,Best3SquatKg,82.5
13-15,Myla Priebe,FALSE,SBD,Raw,13.5,14-18,FR-T1,60.05,NA,222.5,1,246.52,247.9,219.03,50.26,Yes,USA,MN,USAPL,Best3BenchKg,37.5
13-15,Myla Priebe,FALSE,SBD,Raw,13.5,14-18,FR-T1,60.05,NA,222.5,1,246.52,247.9,219.03,50.26,Yes,USA,MN,USAPL,Best3DeadliftKg,102.5
13-15,Valeriya Lisovska,FALSE,SBD,Raw,14.5,14-18,Teen 14-15,63.1,72,215,2,231.01,230.62,203.64,46.99,Yes,NA,NA,UkrainePF,Best3SquatKg,77.5
13-15,Valeriya Lisovska,FALSE,SBD,Raw,14.5,14-18,Teen 14-15,63.1,72,215,2,231.01,230.62,203.64,46.99,Yes,NA,NA,UkrainePF,Best3BenchKg,42.5
13-15,Valeriya Lisovska,FALSE,SBD,Raw,14.5,14-18,Teen 14-15,63.1,72,215,2,231.01,230.62,203.64,46.99,Yes,NA,NA,UkrainePF,Best3DeadliftKg,95
13-15,Fanni Zsarnai,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,43.1,47,203,1,284.1,289.75,260.52,61.66,Yes,NA,NA,Hunpower,Best3SquatKg,70
13-15,Fanni Zsarnai,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,43.1,47,203,1,284.1,289.75,260.52,61.66,Yes,NA,NA,Hunpower,Best3BenchKg,42.5
13-15,Fanni Zsarnai,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,43.1,47,203,1,284.1,289.75,260.52,61.66,Yes,NA,NA,Hunpower,Best3DeadliftKg,90.5
13-15,Tileah Steed,FALSE,SBD,Raw,14,14-18,Juniors 13-15,77.6,82.5,275,1,263.14,256.06,224.92,53.7,Yes,USA,MT,USPA,Best3SquatKg,97.5
13-15,Tileah Steed,FALSE,SBD,Raw,14,14-18,Juniors 13-15,77.6,82.5,275,1,263.14,256.06,224.92,53.7,Yes,USA,MT,USPA,Best3BenchKg,52.5
13-15,Tileah Steed,FALSE,SBD,Raw,14,14-18,Juniors 13-15,77.6,82.5,275,1,263.14,256.06,224.92,53.7,Yes,USA,MT,USPA,Best3DeadliftKg,125
13-15,Tori Simmons,FALSE,SBD,Raw,12.5,NA,Teen 12-13,44,44,154.22,1,212.41,217.15,194.77,45.78,Yes,NA,NA,RAW,Best3SquatKg,47.63
13-15,Tori Simmons,FALSE,SBD,Raw,12.5,NA,Teen 12-13,44,44,154.22,1,212.41,217.15,194.77,45.78,Yes,NA,NA,RAW,Best3BenchKg,27.22
13-15,Tori Simmons,FALSE,SBD,Raw,12.5,NA,Teen 12-13,44,44,154.22,1,212.41,217.15,194.77,45.78,Yes,NA,NA,RAW,Best3DeadliftKg,79.38
13-15,Cabella Fjestad,FALSE,SBD,Raw,14.5,14-18,FR-T1,46.25,48,230,1,305.05,312.91,279.3,64.79,Yes,USA,SC,USAPL,Best3SquatKg,90
13-15,Cabella Fjestad,FALSE,SBD,Raw,14.5,14-18,FR-T1,46.25,48,230,1,305.05,312.91,279.3,64.79,Yes,USA,SC,USAPL,Best3BenchKg,42.5
13-15,Cabella Fjestad,FALSE,SBD,Raw,14.5,14-18,FR-T1,46.25,48,230,1,305.05,312.91,279.3,64.79,Yes,USA,SC,USAPL,Best3DeadliftKg,97.5
13-15,Kseniya Makina,FALSE,SBD,Single-ply,14.5,14-18,Open,51.35,52,307.5,4,378.12,387.07,343.28,63.17,Yes,NA,NA,FPR,Best3SquatKg,125
13-15,Kseniya Makina,FALSE,SBD,Single-ply,14.5,14-18,Open,51.35,52,307.5,4,378.12,387.07,343.28,63.17,Yes,NA,NA,FPR,Best3BenchKg,60
13-15,Kseniya Makina,FALSE,SBD,Single-ply,14.5,14-18,Open,51.35,52,307.5,4,378.12,387.07,343.28,63.17,Yes,NA,NA,FPR,Best3DeadliftKg,122.5
13-15,Sarah Kriteman,FALSE,SBD,Raw,13.5,14-18,FR-Y3,59.9,60,245,1,271.88,273.5,241.66,55.44,Yes,USA,CA,USAPL,Best3SquatKg,82.5
13-15,Sarah Kriteman,FALSE,SBD,Raw,13.5,14-18,FR-Y3,59.9,60,245,1,271.88,273.5,241.66,55.44,Yes,USA,CA,USAPL,Best3BenchKg,55
13-15,Sarah Kriteman,FALSE,SBD,Raw,13.5,14-18,FR-Y3,59.9,60,245,1,271.88,273.5,241.66,55.44,Yes,USA,CA,USAPL,Best3DeadliftKg,107.5
13-15,Olena Voytyuk,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,88,90,265,1,238.64,231.19,201.37,40.94,Yes,NA,NA,UkrainePF,Best3SquatKg,105
13-15,Olena Voytyuk,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,88,90,265,1,238.64,231.19,201.37,40.94,Yes,NA,NA,UkrainePF,Best3BenchKg,50
13-15,Olena Voytyuk,FALSE,SBD,Single-ply,14.5,14-18,Sub-Juniors,88,90,265,1,238.64,231.19,201.37,40.94,Yes,NA,NA,UkrainePF,Best3DeadliftKg,110
13-15,Yuliya Abelova,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,52,52,130,1,158.46,162.06,143.65,32.83,Yes,NA,NA,FPR,Best3SquatKg,35
13-15,Yuliya Abelova,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,52,52,130,1,158.46,162.06,143.65,32.83,Yes,NA,NA,FPR,Best3BenchKg,27.5
13-15,Yuliya Abelova,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,52,52,130,1,158.46,162.06,143.65,32.83,Yes,NA,NA,FPR,Best3DeadliftKg,67.5
13-15,Liberty Tasco,FALSE,SBD,Raw,15,14-18,Juniors 13-15,63.5,67.5,217.5,1,232.8,232.2,205.01,47.35,Yes,USA,VA,USPA,Best3SquatKg,75
13-15,Liberty Tasco,FALSE,SBD,Raw,15,14-18,Juniors 13-15,63.5,67.5,217.5,1,232.8,232.2,205.01,47.35,Yes,USA,VA,USPA,Best3BenchKg,42.5
13-15,Liberty Tasco,FALSE,SBD,Raw,15,14-18,Juniors 13-15,63.5,67.5,217.5,1,232.8,232.2,205.01,47.35,Yes,USA,VA,USPA,Best3DeadliftKg,100
13-15,Anna Danilova,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,56.4,57,165,2,190.36,193.06,170.74,39.01,Yes,NA,NA,FPR,Best3SquatKg,67.5
13-15,Anna Danilova,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,56.4,57,165,2,190.36,193.06,170.74,39.01,Yes,NA,NA,FPR,Best3BenchKg,32.5
13-15,Anna Danilova,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,56.4,57,165,2,190.36,193.06,170.74,39.01,Yes,NA,NA,FPR,Best3DeadliftKg,65
13-15,Abigail Pettyjohn,FALSE,SBD,Raw,12.5,NA,FR-Y3,99.45,100,187.5,1,160.35,156.36,134.42,33.49,Yes,USA,GA,USAPL,Best3SquatKg,67.5
13-15,Abigail Pettyjohn,FALSE,SBD,Raw,12.5,NA,FR-Y3,99.45,100,187.5,1,160.35,156.36,134.42,33.49,Yes,USA,GA,USAPL,Best3BenchKg,37.5
13-15,Abigail Pettyjohn,FALSE,SBD,Raw,12.5,NA,FR-Y3,99.45,100,187.5,1,160.35,156.36,134.42,33.49,Yes,USA,GA,USAPL,Best3DeadliftKg,82.5
13-15,Brooke O'Conner,FALSE,SBD,Raw,15,14-18,FR-T1,50.3,52,220,1,274.49,281.34,249.74,57.2,Yes,USA,MS,USAPL,Best3SquatKg,70
13-15,Brooke O'Conner,FALSE,SBD,Raw,15,14-18,FR-T1,50.3,52,220,1,274.49,281.34,249.74,57.2,Yes,USA,MS,USAPL,Best3BenchKg,35
13-15,Brooke O'Conner,FALSE,SBD,Raw,15,14-18,FR-T1,50.3,52,220,1,274.49,281.34,249.74,57.2,Yes,USA,MS,USAPL,Best3DeadliftKg,115
13-15,Valeriya Avsadze,FALSE,SBD,Single-ply,13.5,14-18,Sub-Juniors,63.01,72,147.5,6,158.62,158.39,139.86,26.63,Yes,NA,NA,FPR,Best3SquatKg,50
13-15,Valeriya Avsadze,FALSE,SBD,Single-ply,13.5,14-18,Sub-Juniors,63.01,72,147.5,6,158.62,158.39,139.86,26.63,Yes,NA,NA,FPR,Best3BenchKg,32.5
13-15,Valeriya Avsadze,FALSE,SBD,Single-ply,13.5,14-18,Sub-Juniors,63.01,72,147.5,6,158.62,158.39,139.86,26.63,Yes,NA,NA,FPR,Best3DeadliftKg,65
13-15,Anastasiya Duplyakina,FALSE,SBD,Single-ply,13.5,14-18,Open,54.96,57,207.5,2,243.54,247.76,219.24,40.72,Yes,NA,NA,FPR,Best3SquatKg,75
13-15,Anastasiya Duplyakina,FALSE,SBD,Single-ply,13.5,14-18,Open,54.96,57,207.5,2,243.54,247.76,219.24,40.72,Yes,NA,NA,FPR,Best3BenchKg,42.5
13-15,Anastasiya Duplyakina,FALSE,SBD,Single-ply,13.5,14-18,Open,54.96,57,207.5,2,243.54,247.76,219.24,40.72,Yes,NA,NA,FPR,Best3DeadliftKg,90
13-15,Jocelyn Lilly,FALSE,SBD,Raw,15,14-18,O-T,68.6,75,232.5,2,237.82,234.58,206.87,48.32,Yes,USA,WV,365Strong,Best3SquatKg,90
13-15,Jocelyn Lilly,FALSE,SBD,Raw,15,14-18,O-T,68.6,75,232.5,2,237.82,234.58,206.87,48.32,Yes,USA,WV,365Strong,Best3BenchKg,40
13-15,Jocelyn Lilly,FALSE,SBD,Raw,15,14-18,O-T,68.6,75,232.5,2,237.82,234.58,206.87,48.32,Yes,USA,WV,365Strong,Best3DeadliftKg,102.5
13-15,Valeriya Grishko,FALSE,SBD,Single-ply,12.5,NA,Sub-Juniors,43.9,44,207.5,2,286.3,292.62,262.53,47.96,Yes,NA,NA,UkrainePF,Best3SquatKg,77.5
13-15,Valeriya Grishko,FALSE,SBD,Single-ply,12.5,NA,Sub-Juniors,43.9,44,207.5,2,286.3,292.62,262.53,47.96,Yes,NA,NA,UkrainePF,Best3BenchKg,40
13-15,Valeriya Grishko,FALSE,SBD,Single-ply,12.5,NA,Sub-Juniors,43.9,44,207.5,2,286.3,292.62,262.53,47.96,Yes,NA,NA,UkrainePF,Best3DeadliftKg,90
13-15,Raquel Morales-Montalvo,FALSE,SBD,Raw,15,14-18,FR-Sj,101.9,84+,355,1,300.76,294,251.95,63,Yes,USA,NE,AMP,Best3SquatKg,140
13-15,Raquel Morales-Montalvo,FALSE,SBD,Raw,15,14-18,FR-Sj,101.9,84+,355,1,300.76,294,251.95,63,Yes,USA,NE,AMP,Best3BenchKg,60
13-15,Raquel Morales-Montalvo,FALSE,SBD,Raw,15,14-18,FR-Sj,101.9,84+,355,1,300.76,294,251.95,63,Yes,USA,NE,AMP,Best3DeadliftKg,155
13-15,Viktoriya Bezzateeva,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,49.34,52,130,5,164.45,168.69,149.89,34.4,Yes,NA,NA,FPR,Best3SquatKg,45
13-15,Viktoriya Bezzateeva,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,49.34,52,130,5,164.45,168.69,149.89,34.4,Yes,NA,NA,FPR,Best3BenchKg,30
13-15,Viktoriya Bezzateeva,FALSE,SBD,Raw,13.5,14-18,Sub-Juniors,49.34,52,130,5,164.45,168.69,149.89,34.4,Yes,NA,NA,FPR,Best3DeadliftKg,55
13-15,Kristina Danilina,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,50.9,52,197.5,1,244.36,250.29,222.06,50.81,Yes,NA,NA,FPR,Best3SquatKg,75
13-15,Kristina Danilina,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,50.9,52,197.5,1,244.36,250.29,222.06,50.81,Yes,NA,NA,FPR,Best3BenchKg,35
13-15,Kristina Danilina,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,50.9,52,197.5,1,244.36,250.29,222.06,50.81,Yes,NA,NA,FPR,Best3DeadliftKg,87.5
13-15,Karina Zagorskaya,FALSE,SBD,Single-ply,13.5,14-18,Juniors,42.95,43,127.5,2,178.92,182.4,164.07,30,Yes,Belarus,NA,BelPF,Best3SquatKg,45
13-15,Karina Zagorskaya,FALSE,SBD,Single-ply,13.5,14-18,Juniors,42.95,43,127.5,2,178.92,182.4,164.07,30,Yes,Belarus,NA,BelPF,Best3BenchKg,30
13-15,Karina Zagorskaya,FALSE,SBD,Single-ply,13.5,14-18,Juniors,42.95,43,127.5,2,178.92,182.4,164.07,30,Yes,Belarus,NA,BelPF,Best3DeadliftKg,52.5
13-15,Marina Gamazina,FALSE,SBD,Single-ply,13.5,14-18,Open,70.2,72,232.5,2,234.74,230.85,203.48,39.62,Yes,NA,NA,FPR,Best3SquatKg,85
13-15,Marina Gamazina,FALSE,SBD,Single-ply,13.5,14-18,Open,70.2,72,232.5,2,234.74,230.85,203.48,39.62,Yes,NA,NA,FPR,Best3BenchKg,42.5
13-15,Marina Gamazina,FALSE,SBD,Single-ply,13.5,14-18,Open,70.2,72,232.5,2,234.74,230.85,203.48,39.62,Yes,NA,NA,FPR,Best3DeadliftKg,105
13-15,Bristol Dixon,FALSE,SBD,Raw,12.5,NA,FR-Y3,71.04,75,282.5,1,283.34,278.23,245.16,57.61,Yes,USA,CA,USAPL,Best3SquatKg,100
13-15,Bristol Dixon,FALSE,SBD,Raw,12.5,NA,FR-Y3,71.04,75,282.5,1,283.34,278.23,245.16,57.61,Yes,USA,CA,USAPL,Best3BenchKg,60
13-15,Bristol Dixon,FALSE,SBD,Raw,12.5,NA,FR-Y3,71.04,75,282.5,1,283.34,278.23,245.16,57.61,Yes,USA,CA,USAPL,Best3DeadliftKg,122.5
13-15,Hannah Smith #2,FALSE,SBD,Single-ply,14.5,14-18,F-T1,76.1,84,225,4,217.48,211.98,186.36,36.9,Yes,USA,LA,USAPL,Best3SquatKg,85
13-15,Hannah Smith #2,FALSE,SBD,Single-ply,14.5,14-18,F-T1,76.1,84,225,4,217.48,211.98,186.36,36.9,Yes,USA,LA,USAPL,Best3BenchKg,47.5
13-15,Hannah Smith #2,FALSE,SBD,Single-ply,14.5,14-18,F-T1,76.1,84,225,4,217.48,211.98,186.36,36.9,Yes,USA,LA,USAPL,Best3DeadliftKg,92.5
13-15,Kristina Poluektova,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,59.82,63,242.5,2,269.33,270.99,239.44,54.93,Yes,NA,NA,FPR,Best3SquatKg,87.5
13-15,Kristina Poluektova,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,59.82,63,242.5,2,269.33,270.99,239.44,54.93,Yes,NA,NA,FPR,Best3BenchKg,57.5
13-15,Kristina Poluektova,FALSE,SBD,Raw,14.5,14-18,Sub-Juniors,59.82,63,242.5,2,269.33,270.99,239.44,54.93,Yes,NA,NA,FPR,Best3DeadliftKg,97.5
13-15,A.B Manju,FALSE,SBD,Single-ply,14.5,14-18,Open,46.3,48,292.5,5,387.63,397.63,354.89,64.83,Yes,India,NA,IPF,Best3SquatKg,112.5
13-15,A.B Manju,FALSE,SBD,Single-ply,14.5,14-18,Open,46.3,48,292.5,5,387.63,397.63,354.89,64.83,Yes,India,NA,IPF,Best3BenchKg,50
13-15,A.B Manju,FALSE,SBD,Single-ply,14.5,14-18,Open,46.3,48,292.5,5,387.63,397.63,354.89,64.83,Yes,India,NA,IPF,Best3DeadliftKg,130
