"","Rank","Player1","Opponent1","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","Year","Player2","Opponent2"
"76",1,"Min Hyuk KANG","Fajar ALFIAN","Men","Doubles",6,3,3,302,302,0,2023,"SEO Seung Jae","Muhammad Rian ARDIANTO"
"77",1,"Fajar ALFIAN","Min Hyuk KANG","Men","Doubles",6,3,3,302,302,0,2023,"Muhammad Rian ARDIANTO","SEO Seung Jae"
"78",3,"LIANG Weikeng","Aaron CHIA","Men","Doubles",5,4,1,249,227,22,2023,"WANG Chang","SOH Wooi Yik"
"79",4,"Pramudya Kusumawardana RIYANTO","Ayato ENDO","Men","Doubles",4,4,0,229,194,35,2023,"Yeremia Erich Yoche YACOB","Yuta TAKEI"
"80",5,"Min Hyuk KANG","Takuro HOKI","Men","Doubles",5,4,1,216,195,21,2023,"SEO Seung Jae","Yugo KOBAYASHI"
"81",6,"Satwiksairaj RANKIREDDY","LIANG Weikeng","Men","Doubles",4,1,3,213,202,11,2023,"Chirag SHETTY","WANG Chang"
"82",7,"Min Hyuk KANG","Mohammad AHSAN","Men","Doubles",4,3,1,210,186,24,2023,"SEO Seung Jae","Hendra SETIAWAN"
"83",8,"Min Hyuk KANG","LEE Yang","Men","Doubles",4,3,1,206,183,23,2023,"SEO Seung Jae","WANG Chi-Lin"
"84",9,"LIU Yuchen","Ben LANE","Men","Doubles",4,4,0,205,184,21,2023,"OU Xuanyi","Sean VENDY"
"85",10,"Mohammad AHSAN","Pramudya Kusumawardana RIYANTO","Men","Doubles",4,3,1,200,182,18,2023,"Hendra SETIAWAN","Yeremia Erich Yoche YACOB"
"86",11,"Kim ASTRUP","Mark LAMSFUSS","Men","Doubles",3,2,1,178,161,17,2023,"Anders Skaarup RASMUSSEN","Marvin SEIDEL"
"87",12,"LEE Yang","ONG Yew Sin","Men","Doubles",3,2,1,172,166,6,2023,"WANG Chi-Lin","TEO Ee Yi"
"88",13,"Fajar ALFIAN","Muhammad Shohibul FIKRI","Men","Doubles",4,3,1,170,157,13,2023,"Muhammad Rian ARDIANTO","Bagas MAULANA"
"89",15,"Min Hyuk KANG","LIU Yuchen","Men","Doubles",4,4,0,168,123,45,2023,"SEO Seung Jae","OU Xuanyi"
"90",15,"Kim ASTRUP","Keiichiro MATSUI","Men","Doubles",4,4,0,168,109,59,2023,"Anders Skaarup RASMUSSEN","Yoshinori TAKEUCHI"
"91",15,"Akira KOGA","Aaron CHIA","Men","Doubles",4,3,1,168,161,7,2023,"Taichi SAITO","SOH Wooi Yik"
"92",15,"Aaron CHIA","Muhammad Shohibul FIKRI","Men","Doubles",4,4,0,168,115,53,2023,"SOH Wooi Yik","Bagas MAULANA"
"93",18,"LIANG Weikeng","Mohammad AHSAN","Men","Doubles",3,2,1,167,159,8,2023,"WANG Chang","Hendra SETIAWAN"
"94",19,"LIU Yuchen","Akira KOGA","Men","Doubles",3,2,1,164,151,13,2023,"OU Xuanyi","Taichi SAITO"
"95",20,"LIANG Weikeng","Pramudya Kusumawardana RIYANTO","Men","Doubles",3,2,1,159,138,21,2023,"WANG Chang","Yeremia Erich Yoche YACOB"
"96",21,"Muhammad Shohibul FIKRI","Satwiksairaj RANKIREDDY","Men","Doubles",3,2,1,158,152,6,2023,"Bagas MAULANA","Chirag SHETTY"
"97",22,"Satwiksairaj RANKIREDDY","Leo Rolly CARNANDO","Men","Doubles",3,3,0,156,125,31,2023,"Chirag SHETTY","Daniel MARTHIN"
"98",22,"Kim ASTRUP","Leo Rolly CARNANDO","Men","Doubles",3,2,1,156,133,23,2023,"Anders Skaarup RASMUSSEN","Daniel MARTHIN"
"99",24,"Leo Rolly CARNANDO","Aaron CHIA","Men","Doubles",4,3,1,155,150,5,2023,"Daniel MARTHIN","SOH Wooi Yik"
"100",25,"LEE Jhe-Huei","Keiichiro MATSUI","Men","Doubles",3,2,1,153,132,21,2023,"YANG Po-Hsuan","Yoshinori TAKEUCHI"
"101",1,"ZHENG Siwei","SEO Seung Jae","Mixed","Doubles",8,6,2,401,324,77,2023,"HUANG Yaqiong","CHAE YuJung"
"102",2,"Yuta WATANABE","TANG Chun Man","Mixed","Doubles",6,5,1,278,243,35,2023,"Arisa HIGASHINO","TSE Ying Suet"
"103",3,"TANG Chun Man","Rehan Naufal KUSHARJANTO","Mixed","Doubles",5,5,0,265,196,69,2023,"TSE Ying Suet","Lisa Ayu KUSUMAWATI"
"104",4,"FENG Yanzhe","Dechapol PUAVARANUKROH","Mixed","Doubles",5,3,2,253,248,5,2023,"HUANG Dongping","Sapsiree TAERATTANACHAI"
"105",5,"Dechapol PUAVARANUKROH","SEO Seung Jae","Mixed","Doubles",5,3,2,238,231,7,2023,"Sapsiree TAERATTANACHAI","CHAE YuJung"
"106",6,"ZHENG Siwei","FENG Yanzhe","Mixed","Doubles",5,4,1,232,182,50,2023,"HUANG Yaqiong","HUANG Dongping"
"107",7,"TANG Chun Man","GOH Soon Huat","Mixed","Doubles",5,5,0,231,172,59,2023,"TSE Ying Suet","LAI Shevon Jemie"
"108",7,"SEO Seung Jae","JIANG Zhenbang","Mixed","Doubles",5,4,1,231,202,29,2023,"CHAE YuJung","WEI Yaxin"
"109",9,"FENG Yanzhe","Yuta WATANABE","Mixed","Doubles",4,3,1,227,208,19,2023,"HUANG Dongping","Arisa HIGASHINO"
"110",10,"FENG Yanzhe","Hiroki MIDORIKAWA","Mixed","Doubles",5,5,0,226,160,66,2023,"HUANG Dongping","Natsu SAITO"
"111",10,"FENG Yanzhe","JIANG Zhenbang","Mixed","Doubles",5,5,0,226,172,54,2023,"HUANG Dongping","WEI Yaxin"
"112",12,"Dechapol PUAVARANUKROH","Mathias CHRISTIANSEN","Mixed","Doubles",5,3,2,210,178,32,2023,"Sapsiree TAERATTANACHAI","Alexandra BØJE"
"113",13,"Yuta WATANABE","LEE Chun Hei Reginald","Mixed","Doubles",4,4,0,205,150,55,2023,"Arisa HIGASHINO","NG Tsz Yau"
"114",14,"KIM Won Ho","Kyohei YAMASHITA","Mixed","Doubles",4,3,1,204,189,15,2023,"JEONG Na Eun","Naru SHINOYA"
"115",15,"JIANG Zhenbang","Praveen JORDAN","Mixed","Doubles",4,3,1,197,167,30,2023,"WEI Yaxin","Melati Daeva OKTAVIANTI"
"116",16,"ZHENG Siwei","KIM Won Ho","Mixed","Doubles",4,2,2,188,165,23,2023,"HUANG Yaqiong","JEONG Na Eun"
"117",17,"Mathias CHRISTIANSEN","YANG Po-Hsuan","Mixed","Doubles",3,3,0,185,150,35,2023,"Alexandra BØJE","HU Ling Fang"
"118",18,"Dechapol PUAVARANUKROH","CHEN Tang Jie","Mixed","Doubles",4,3,1,175,150,25,2023,"Sapsiree TAERATTANACHAI","TOH Ee Wei"
"119",19,"ZHENG Siwei","Yuta WATANABE","Mixed","Doubles",4,2,2,172,157,15,2023,"HUANG Yaqiong","Arisa HIGASHINO"
"120",19,"Yuta WATANABE","YE Hong Wei","Mixed","Doubles",4,2,2,172,169,3,2023,"Arisa HIGASHINO","LEE Chia Hsin"
"121",21,"ZHENG Siwei","Dejan FERDINANSYAH","Mixed","Doubles",4,4,0,168,106,62,2023,"HUANG Yaqiong","Gloria Emanuelle WIDJAJA"
"122",22,"Hiroki NISHI","Ruttanapak OUPTHONG","Mixed","Doubles",3,2,1,167,150,17,2023,"Akari SATO","Kwanchanok SUDJAIPRAPARAT"
"123",23,"TANG Chun Man","KIM Won Ho","Mixed","Doubles",3,2,1,165,158,7,2023,"TSE Ying Suet","JEONG Na Eun"
"124",24,"LEE Chun Hei Reginald","YE Hong Wei","Mixed","Doubles",3,2,1,163,150,13,2023,"NG Tsz Yau","LEE Chia Hsin"
"125",24,"HEE Yong Kai Terry","DHRUV KAPILA","Mixed","Doubles",3,2,1,163,149,14,2023,"TAN Wei Han","Tanisha CRASTO"
"126",1,"CHEN Yufei","TAI Tzu Ying","Women","Singles",5,3,2,267,252,15,2022,NA,NA
"127",2,"Akane YAMAGUCHI","WANG Zhiyi","Women","Singles",5,3,2,262,247,15,2022,NA,NA
"128",3,"TAI Tzu Ying","Ratchanok INTANON","Women","Singles",5,4,1,247,209,38,2022,NA,NA
"129",4,"Akane YAMAGUCHI","CHEN Yufei","Women","Singles",5,4,1,233,201,32,2022,NA,NA
"130",5,"Akane YAMAGUCHI","Se Young AN","Women","Singles",5,4,1,225,176,49,2022,NA,NA
"131",6,"CHEN Yufei","ZHANG Yiman","Women","Singles",5,5,0,221,164,57,2022,NA,NA
"132",6,"Se Young AN","HAN Yue","Women","Singles",4,3,1,221,202,19,2022,NA,NA
"133",8,"CHEN Yufei","Ratchanok INTANON","Women","Singles",4,3,1,211,183,28,2022,NA,NA
"134",9,"Se Young AN","Gregoria Mariska TUNJUNG","Women","Singles",4,4,0,192,133,59,2022,NA,NA
"135",10,"HE Bingjiao","CHEN Yufei","Women","Singles",5,3,2,190,176,14,2022,NA,NA
"136",11,"Gregoria Mariska TUNJUNG","Akane YAMAGUCHI","Women","Singles",4,2,2,184,179,5,2022,NA,NA
"137",12,"Nozomi OKUHARA","Wen Chi HSU","Women","Singles",3,3,0,179,146,33,2022,NA,NA
"138",13,"TAI Tzu Ying","Busanan ONGBAMRUNGPHAN","Women","Singles",4,4,0,170,131,39,2022,NA,NA
"139",14,"HE Bingjiao","TAI Tzu Ying","Women","Singles",4,2,2,165,161,4,2022,NA,NA
"140",15,"Supanida KATETHONG","PUSARLA V. Sindhu","Women","Singles",3,1,2,163,155,8,2022,NA,NA
"141",16,"Yvonne LI","Julie Dawall JAKOBSEN","Women","Singles",3,2,1,155,136,19,2022,NA,NA
"142",16,"HE Bingjiao","Busanan ONGBAMRUNGPHAN","Women","Singles",3,3,0,155,120,35,2022,NA,NA
"143",18,"Ratchanok INTANON","HAN Yue","Women","Singles",3,3,0,153,141,12,2022,NA,NA
"144",19,"PUSARLA V. Sindhu","HE Bingjiao","Women","Singles",3,2,1,146,140,6,2022,NA,NA
"145",19,"CHEN Yufei","Michelle LI","Women","Singles",3,3,0,146,110,36,2022,NA,NA
"146",22,"PUSARLA V. Sindhu","Lauren LAM","Women","Singles",3,3,0,145,116,29,2022,NA,NA
"147",22,"Carolina MARIN","ZHANG Yiman","Women","Singles",3,2,1,145,130,15,2022,NA,NA
"148",22,"Ratchanok INTANON","Kirsty GILMOUR","Women","Singles",3,3,0,145,107,38,2022,NA,NA
"149",24,"HE Bingjiao","Akane YAMAGUCHI","Women","Singles",3,2,1,144,139,5,2022,NA,NA
"150",25,"CHEN Yufei","Pornpawee CHOCHUWONG","Women","Singles",3,3,0,143,116,27,2022,NA,NA
"151",1,"Benyapa AIMSAARD","JEONG Na Eun","Women","Doubles",6,4,2,250,230,20,2022,"Nuntakarn AIMSAARD","KIM Hye Jeong"
"152",2,"CHEN Qingchen","Jongkolphan KITITHARAKUL","Women","Doubles",5,4,1,219,175,44,2022,"JIA Yifan","Rawinda PRAJONGJAI"
"153",3,"DU Yue","Jongkolphan KITITHARAKUL","Women","Doubles",4,3,1,208,185,23,2022,"LI Wenmei","Rawinda PRAJONGJAI"
"154",4,"Nami MATSUYAMA","JEONG Na Eun","Women","Doubles",5,3,2,205,174,31,2022,"Chiharu SHIDA","KIM Hye Jeong"
"155",5,"CHEN Qingchen","Apriyani RAHAYU","Women","Doubles",4,3,1,200,174,26,2022,"JIA Yifan","Siti Fadia Silva RAMADHANTI"
"156",6,"TAN Pearly Koong Le","Apriyani RAHAYU","Women","Doubles",4,2,2,195,190,5,2022,"Muralitharan THINAAH","Siti Fadia Silva RAMADHANTI"
"157",7,"Apriyani RAHAYU","ZHANG Shuxian","Women","Doubles",4,3,1,187,186,1,2022,"Siti Fadia Silva RAMADHANTI","ZHENG Yu"
"158",8,"ZHANG Shuxian","Jongkolphan KITITHARAKUL","Women","Doubles",4,2,2,178,163,15,2022,"ZHENG Yu","Rawinda PRAJONGJAI"
"159",9,"TAN Pearly Koong Le","Yuki FUKUSHIMA","Women","Doubles",4,2,2,174,165,9,2022,"Muralitharan THINAAH","Sayaka HIROTA"
"160",10,"Jongkolphan KITITHARAKUL","Treesa JOLLY","Women","Doubles",4,4,0,173,137,36,2022,"Rawinda PRAJONGJAI","GAYATRI GOPICHAND PULLELA"
"161",11,"KIM So Yeong","Rachel HONDERICH","Women","Doubles",3,3,0,164,124,40,2022,"KONG Hee Yong","Kristen TSAI"
"162",12,"LEE So Hee","ZHANG Shuxian","Women","Doubles",3,1,2,153,147,6,2022,"SHIN Seung Chan","ZHENG Yu"
"163",13,"Jongkolphan KITITHARAKUL","Benyapa AIMSAARD","Women","Doubles",3,2,1,150,140,10,2022,"Rawinda PRAJONGJAI","Nuntakarn AIMSAARD"
"164",14,"CHEN Qingchen","TAN Pearly Koong Le","Women","Doubles",3,3,0,146,114,32,2022,"JIA Yifan","Muralitharan THINAAH"
"165",15,"ZHANG Shuxian","Febriana Dwipuji KUSUMA","Women","Doubles",3,3,0,144,103,41,2022,"ZHENG Yu","Amalia Cahaya PRATIWI"
"166",15,"CHEN Qingchen","ZHANG Shuxian","Women","Doubles",3,3,0,144,120,24,2022,"JIA Yifan","ZHENG Yu"
"167",17,"CHEN Qingchen","Nami MATSUYAMA","Women","Doubles",3,2,1,135,116,19,2022,"JIA Yifan","Chiharu SHIDA"
"168",18,"Nami MATSUYAMA","TAN Pearly Koong Le","Women","Doubles",3,2,1,133,123,10,2022,"Chiharu SHIDA","Muralitharan THINAAH"
"169",19,"ZHANG Shuxian","Gabriela STOEVA","Women","Doubles",3,2,1,132,116,16,2022,"ZHENG Yu","Stefani STOEVA"
"170",20,"CHEN Qingchen","Vivian HOO","Women","Doubles",3,3,0,129,103,26,2022,"JIA Yifan","LIM Chiew Sien"
"171",21,"Benyapa AIMSAARD","Vivian HOO","Women","Doubles",3,3,0,126,72,54,2022,"Nuntakarn AIMSAARD","LIM Chiew Sien"
"172",22,"Rena MIYAURA","Rui HIROKAMI","Women","Doubles",3,2,1,123,84,39,2022,"Ayako SAKURAMOTO","Yuna KATO"
"173",23,"JEONG Na Eun","Supissara PAEWSAMPRAN","Women","Doubles",2,2,0,122,88,34,2022,"KIM Hye Jeong","Puttita SUPAJIRAKUL"
"174",23,"CHEN Qingchen","BAEK Ha Na","Women","Doubles",2,1,1,122,111,11,2022,"JIA Yifan","LEE Yu Lim"
"175",25,"DU Yue","ZHANG Shuxian","Women","Doubles",3,2,1,120,105,15,2022,"LI Wenmei","ZHENG Yu"
"176",1,"Viktor AXELSEN","Anthony Sinisuka GINTING","Men","Singles",6,6,0,289,183,106,2022,NA,NA
"177",2,"CHOU Tien Chen","LEE Cheuk Yiu","Men","Singles",5,3,2,272,263,9,2022,NA,NA
"178",3,"Lakshya SEN","PRANNOY H. S.","Men","Singles",5,3,2,213,203,10,2022,NA,NA
"179",4,"LEE Zii Jia","Shesar Hiren RHUSTAVITO","Men","Singles",4,2,2,192,184,8,2022,NA,NA
"180",5,"Jonatan CHRISTIE","KIDAMBI Srikanth","Men","Singles",4,2,2,170,162,8,2022,NA,NA
"181",5,"PRANNOY H. S.","LIEW Daren","Men","Singles",3,2,1,170,163,7,2022,NA,NA
"182",7,"PRANNOY H. S.","CHOU Tien Chen","Men","Singles",3,2,1,157,139,18,2022,NA,NA
"183",8,"Anthony Sinisuka GINTING","LOH Kean Yew","Men","Singles",4,3,1,155,133,22,2022,NA,NA
"184",9,"CHEAM June Wei","LEONG Jun Hao","Men","Singles",3,1,2,154,139,15,2022,NA,NA
"185",10,"CHOU Tien Chen","Jonatan CHRISTIE","Men","Singles",3,2,1,150,131,19,2022,NA,NA
"186",11,"Viktor AXELSEN","Kodai NARAOKA","Men","Singles",4,3,1,147,100,47,2022,NA,NA
"187",12,"KIDAMBI Srikanth","Brice LEVERDEZ","Men","Singles",3,2,1,146,129,17,2022,NA,NA
"188",13,"LEE Zii Jia","Mark CALJOUW","Men","Singles",3,3,0,145,98,47,2022,NA,NA
"189",14,"Jonatan CHRISTIE","Kodai NARAOKA","Men","Singles",3,1,2,144,128,16,2022,NA,NA
"190",15,"Anthony Sinisuka GINTING","Sitthikom THAMMASIN","Men","Singles",3,3,0,143,110,33,2022,NA,NA
"191",15,"Viktor AXELSEN","LU Guangzu","Men","Singles",3,3,0,143,90,53,2022,NA,NA
"192",17,"PRANNOY H. S.","NG Ka Long Angus","Men","Singles",4,3,1,142,131,11,2022,NA,NA
"193",18,"Viktor AXELSEN","Lakshya SEN","Men","Singles",3,2,1,138,106,32,2022,NA,NA
"194",19,"ZHAO Junpeng","PRANNOY H. S.","Men","Singles",3,2,1,136,119,17,2022,NA,NA
"195",20,"Kunlavut VITIDSARN","Jonatan CHRISTIE","Men","Singles",3,1,2,135,121,14,2022,NA,NA
"196",20,"Kenta NISHIMOTO","Jonatan CHRISTIE","Men","Singles",3,2,1,135,127,8,2022,NA,NA
"197",22,"Lakshya SEN","Anthony Sinisuka GINTING","Men","Singles",3,3,0,134,98,36,2022,NA,NA
"198",22,"Kodai NARAOKA","Shesar Hiren RHUSTAVITO","Men","Singles",3,2,1,134,113,21,2022,NA,NA
"199",24,"LU Guangzu","LI Shifeng","Men","Singles",3,3,0,132,99,33,2022,NA,NA
"200",25,"Viktor AXELSEN","CHOU Tien Chen","Men","Singles",3,3,0,126,82,44,2022,NA,NA
"201",1,"Fajar ALFIAN","ONG Yew Sin","Men","Doubles",5,4,1,237,202,35,2022,"Muhammad Rian ARDIANTO","TEO Ee Yi"
"202",2,"Fajar ALFIAN","LIU Yuchen","Men","Doubles",4,2,2,198,188,10,2022,"Muhammad Rian ARDIANTO","OU Xuanyi"
"203",3,"Kim ASTRUP","Takuro HOKI","Men","Doubles",3,2,1,185,181,4,2022,"Anders Skaarup RASMUSSEN","Yugo KOBAYASHI"
"204",4,"CHOI SolGyu","Kim ASTRUP","Men","Doubles",3,3,0,170,167,3,2022,"KIM Won Ho","Anders Skaarup RASMUSSEN"
"205",5,"Fajar ALFIAN","GOH Sze Fei","Men","Doubles",4,4,0,169,130,39,2022,"Muhammad Rian ARDIANTO","Nur IZZUDDIN"
"206",6,"Mohammad AHSAN","M.R. ARJUN","Men","Doubles",4,4,0,159,134,25,2022,"Hendra SETIAWAN","DHRUV KAPILA"
"207",6,"Fajar ALFIAN","Aaron CHIA","Men","Doubles",3,3,0,159,127,32,2022,"Muhammad Rian ARDIANTO","SOH Wooi Yik"
