"","Overall Place","Elapsed Time","Team Name","Category","Last Finish","Div Place","Team Members"
"16",16,"6:18:42","Nooksackulous","Competitive Open","Kayak",7,"Ben Whiddon, Marc Schwartz, Grant Boursaw, Meeks Brucker, Ryan Larson, Lucas Thompson, Dylan Thomas, Davis Shepherd,"
"17",17,"6:22:48","R.B. Wick's Golden Boys","Veterans","Kayak",4,"John Mooney, Tim Fisk, Dan Bass, Armondo Brionez, Glenn Bond, Mike Kloser, Kirk Christensen, Jeff Flogel,"
"18",18,"6:24:56","Clavicle3 Racing","Masters","Kayak",3,"morris arthur, brad clements, Paul Clement, jeff deWitt, Scott Lemon, Jon DeWitt, john george, Jeff Cummings,"
"19",19,"6:26:24","BOUNDARY BAY BREWERY","Competitive Women","Kayak",1,"Debbie Chadwick, Deighen Blakely, Rosalyn Zylkowski, Brooke Gosling, Alysson Marshall, sabrina harper, Tracy Landboe, Liza Pye,"
"20",20,"6:29:58","Unorthodocs","Recreational Open","Kayak",2,"Jason Stoane, Joel Hoekema, Matt Oswin, Cody Velthuizen, Jason Tedrow, Scott Price, Jim Nosella, Michael Hammer,"
"21",21,"6:31:54","Neiner Neiner Weiner","Competitive Open","Kayak",8,"Mark Snyder, Braden Gustafson, David Fleischhauer, troy ruckman, Aric Gaither, ryan mcshane, Shaun Rasmussen, Alan Schmitz,"
"22",22,"6:31:59","Greatest American Heroes","Recreational Open","Kayak",3,"Rob Rogers, Beau Whitehead, Stuart Ayling, Jon Wehrell, Andy Schmidt, Martin Ayling, Tom Swetish, Kyle Salisbury,"
"23",23,"6:34:14","Mt Baker Veterans","Competitive Open","Kayak",9,"Duncan Howat, Gail Howat, Russ Borneman, Kendall Townsend, Todd Eastman, Vern Latta, Larry Goolsby, Bruce Rustad,"
"24",24,"6:37:20","VanDammage","Competitive Open","Kayak",10,"Jay Ostby, David Schlesinger, Jon Takao, Anders Mavis, Rob Hamlin, Andreas Unterschuetz, Michael Beckman, Darrin Seeds,"
"25",25,"6:38:11","@tdcurran","Masters","Kayak",4,"John Dutton, Dan Ferguson, Steve Poulter, Chuck Dooley, Rune Harkestad, Lynn Bell, Reivers Dustin, Paul Berkshire,"
"26",26,"6:40:53","TEAM Fast and Female!","Competitive Women","Kayak",2,"Kim Mackenzie, Helen Currey, Michele Conrad, Lydia Carrick, Holly Brooks, Jessie Young, Zoe Norcross-Nu'u, Lindsay Felker,"
"27",27,"6:41:06","Boomer's Drive-In Mixed","Competitive Mixed","Kayak",1,"Barbara Willson, Sheila Puga, Michael Finley, Michael Molnar, Justin Carvitto, Calvin Collander, Danielle Burnett, Heather King,"
"28",28,"6:42:33","Still Looking For A Sponsor","Competitive Open","Kayak",11,"Ashley James, Ted Scherrer, James MacGregor, Trevor Davison, Scott Schroeder, Stephen Pauelua, Shane Martin, John Harmer,"
"29",29,"6:47:42","Must Beat Ash","Competitive Open","Kayak",12,"Mike Bernemann, Rob Varnel, Robert Thompson, Ron Croswell, Thomsen D'Hont, Michael Haywood, Ken Stanick, Paul Newitt,"
"30",30,"6:48:09","Made in the Methow-Mazama Store","High School","Kayak",1,"Malcolm Roux, Zack Guay, Keelan Christensen, Taylor Woodruff, Teddy Thorson, Zane Stanbery, Eric Roux, Cody Cupp,"
"31",31,"6:48:12","CrossFit X","Competitive Mixed","Kayak",2,"Brook Swanson, Lisa Swanson, Guy Tucker, Courtney Olsen, Dan Froula, Susan Deschenes, Bill Bounds, Kristen Holman,"
"32",32,"6:49:33","Cordata Dental","Competitive Open","Kayak",13,"Matt Shepherd, Andy Shepherd, Colby Plagge, Kelly McAtee, Paul Everett, Jay Smith, Chris Rosinski, Rocky White,"
"33",33,"6:50:53","Whatcoms around goes around","Recreational Open","Kayak",4,"Bruce Biddle, Brook Biddle, David Carnahan, Steve Lindsey, Ryan Kirwan, Brad Bjorklund, Abe Lloyd, Tom Fryer,"
"34",34,"6:52:43","Kulshan Cycles","Whatcom County Women","Kayak",1,"Veronica Wisniewski, Char Waller, Marti Riemer, Amanda Miller, Kae Moe, Amber Morrison, Heather Nelson, Elizabeth Hartsoch,"
"35",35,"6:55:21","Aven Construction","Whatcom County Mixed","Kayak",1,"Julie Whitacre, shekinah aven, Scott Young, Beth Williams, Mandy Brassfield, Cara Carbone, Rick Lingbloom, John Clark,"
"36",36,"6:55:45","Nitropaced","Competitive Open","Kayak",14,"Keith Vandergriend, Kerry Vandergriend, Ian Sawyer, Hendrik Kok, John Lorton, Barry Landau, Shaun Sullivan, Fred Wiley,"
"37",37,"6:56:27","Dirty Muffin Tops","Whatcom County Mixed","Kayak",2,"Dan Moseley, Gabriel Starbuck, Dave Deschenes, Ally Ganyo, Cate Cogger, Wendy Owen Harvey, Kristen Jacobson, Dorthe Leth,"
"38",38,"6:58:32","Brooks Manufacturing","Competitive Open","Kayak",15,"Sean Gorton, Eric Gorton, Rusty Dodge, Scott Gilmore, Jason Polverari, Patrick McBride, Mike Saito, Ryan Denney,"
"39",39,"6:59:55","The Monkey Wrench Gang","Competitive Open","Kayak",16,"Mike Meyer, Austin Ruf, John Lackey, Tom Leptich, Hugh Klinedinst, Chris Knudsen, Rob McCormack, Chris Wright,"
"40",40,"7:02:35","Bank of the Pacific #2","Competitive Open","Kayak",17,"Glen Marsh, Joel Willis, Chad Clarke, Eric Murphy, Tony Wiederkehr, Kevin Glenney, Tjalling Ypma, Mike Gore,"
"41",41,"7:03:24","Half Fast","Recreational Open","Kayak",5,"Daryl McDonald, Bubba Smith, Sid Wray, Brian Morrison, Rich McClung, David Way, Kristian Tollefson, Todd Karam,"
"42",42,"7:04:25","Drinkers with a Racing Problem","Competitive Open","Kayak",18,"Shawn Cecotti, Tyler Steinman, Stephan Niquet, Mac cameron, Terry Whitman, Mikkel Lamay, Chris Duppenthaler, Louis Dupree,"
"43",43,"7:06:41","Deep Cove Outdoors","Competitive Women","Kayak",3,"Linda Warren, Liliana Barrios, Barb Zimich, Cara McCulloch, Andrea Bundon, Tove Pashkowski, Adrienne Scott, Julie Melanson,"
"44",44,"7:12:01","Fanatik hot-Flashes","Whatcom County Women","Kayak",2,"natasha miranda, Autumn Washington, Tammy Bennett, Jennifer Gallant, Liz Herdman, Kelsey Erholm, E'Lana Ecker, Kathy Salisbury,"
"45",45,"7:13:41","Kids on [Lactic] Acid","Competitive Open","Kayak",19,"Brent Couvrette, William Jessen, Brian Houck, Brady Houck, David Couvrette, Spencer Houck, Shawn Connolly, Rodrick Megraw,"
"46",46,"7:14:17","Well Hung Jury","Recreational Open","Kayak",6,"Greg Fosty, Mike Baker, Chris Petrick, Dustin Wilder, Chris Burk, Eric Dahlgren, Tim Niemier, John Coleman,"
"47",47,"7:15:13","Bellingham Firefighters","Corporate","Kayak",1,"Christian Carson, Brian Flannelly, Gordon Neitling, Jake Jarvis, Mark Brennan, Brian Jones, Jason Sims, Ryan Gilbert,"
"48",48,"7:15:45","The Wreckers","Recreational Open","Kayak",7,"Kevin Hickey, faron clymer, Erik Hokanson, Bill Wadkins, Matt Monson, Rob Miller, Mike Berry, jim beieler,"
"49",49,"7:17:33","Darwin's Bulldogs","Competitive Open","Kayak",20,"Darrell Sofield, Michael Medler, Robert Mitchell, marty pletcher, Kristi Lemm, pred vadjic, John Rybczyk, Andy Bunn,"
"50",50,"7:18:27","Logos Bible Software","Corporate","Kayak",2,"Richard Kiene, Jim Straatman, Scott Alexander, Glenn Gervais, Nick Kelly, Sean Fields, Aaron Dutton, Bryan Smith,"
"51",51,"7:20:10","Chuckanut Brewery","Competitive Open","Kayak",21,"Sam Stoner, Brady Lester, Ivan Stoner, Patrick Ross, Pasi Virta, Logan Darling, Bryan Weimer, Mikael Virta,"
"52",52,"7:21:47","Tight Genes","Family","Kayak",1,"Jeff Boersma, Kurt Vander Griend, Thane Veltkamp, Jacob Grady, Trent Veltkamp, Trevor Veltkamp, Jack Veltkamp, Luke Boersma,"
"53",53,"7:22:52","Team Harts Pass","Recreational Open","Kayak",8,"Matty Coleman, Remington Rohrer, Clinton Anderson, Ryan St. Clair, Evan Turner, Nick St Clair, Marc LeDuc, Casey Smith,"
"54",54,"7:22:57","R.B. Wick's Lady Warriors","Whatcom County Women","Kayak",3,"Michele Anderson, Candace Wittenberg, MaryMargaret Bowmer, Claire Wenger, Chelsey Caraco, Janet Cassar, Susan Conrad, Whitney Anderson,"
"55",55,"7:25:32","Polish Force NorthWest","Competitive Open","Kayak",22,"Grzesiek Kostyra, Tomasz Wilk, Martin Turek, Alex Wencel, Darek Stuj, Marek Wencel, Jan Cichociemny, Jacek Wiktorowicz,"
"56",56,"7:25:55","Pass The Hat","Corporate","Kayak",3,"Troy Stevenson, Tom Brethauer, Adrian Lawson, Andrew Stromberg, Grant McEathron, Ben Haber, Andy Lahmann, Noel Saturay,"
"57",57,"7:33:01","Sound Source","Recreational Open","Kayak",9,"Dave Hansen, Frank Repanich, Dennis Weeks, Ian Scott, Steve Walker, Mimi Mather, Jon Albright, Bob Walsh,"
"58",58,"7:33:39","Hamster Huey and the Gooey Kablooie","Recreational Open","Kayak",10,"Daniel Visser, Stephen Haynes, Tommy Lingbloom, Justin Emerick, Patrick Taber, Colin Ferris, Tim Thorpe, Ben Mullen,"
"59",59,"7:35:03","InHealth","Veterans","Kayak",5,"Dan Cantrell, Bob McBeath, Michael Blue, Nathan Minor, Steve Hindman, Mark Vohr, Larry Bussinger, Ian Gerrish,"
"60",60,"7:35:23","Nomads","Competitive Open","Kayak",23,"Casey Schau, Erin Ericson, Jed Ganslaw, Mike Schau, Chad Gregg, Dan Ericson, Steve Jacobsen, Brian Hinson,"
"61",61,"7:37:17","Steves' ""B"" Team","Competitive Open","Kayak",24,"Rocky Lam, John Richardson, Chris Drechsel, Shannon Logan, James Wells, Andy Radvany, Jeff Hilburn, Mike Logan,"
"62",62,"7:37:42","Flying Powder Monkeys","Competitive Open","Kayak",25,"Debbie Jordan, John Jordan, Jeff Nyman, Jim Collins, James Zierdt, David Carlson, Paul Clement, Adam Schuehle,"
"63",63,"7:39:19","mt.baker ski patrol d-team","Corporate","Kayak",4,"Dave May, Kevin Kaiser, mike trowbridge, zack mcguire, Angela Cota, Christopher Loeser, Barry Patterson, corey bedient,"
"64",64,"7:39:46","Let's Take a Year Off","Whatcom County Open","Kayak",4,"Kurt Fuhrmeister, Gib Morrow, Casey O'Keefe, Jeremy Anderson, Mike Shikany, Michael Taylor, Aaron Hakeman, Jim Holsteine,"
"65",65,"7:40:01","BHam's Bodacious BeerBellies","Competitive Open","Kayak",26,"Tim Schene, Kevin Parine, Joseph Wasikowski, Brandt Fritz, Gus Leger, Rob Peterka, Mark daniels, Josh Heard,"
"66",66,"7:40:40","Hollander Investments","Whatcom County Open","Kayak",5,"Scott Colehour, Matt Lovelady, Mike Slofstra, Chris VandenBos, Paul Hollander, Jacob Hollander, Darren Postma, Toby Janzen,"
"67",67,"7:40:58","Shambled Crew","Competitive Open","Kayak",27,"Joshua Hamilton, Gwen Hryciw, Jesse Havens, Cody Bormuth, Ryan Moore, Justin Brown, Roger Lamb, Jonathan Hill,"
"68",68,"7:41:21","Two Cubed To Finish","Competitive Open","Kayak",28,"Liam Price, Edoh Amiran, Gregory Cook, Travis Peters, George Winters, Iulian Cociug, Arlene Wade, Nick Henscheid,"
"69",69,"7:42:15","Mt. Baker Ski Patrol A Team","Corporate","Kayak",5,"Uriah Brown, Tyler Thompson, Jon Buettner, Kyle Breakey, Jeff Davis, Krister Fast, Kevin Bowman, Jeremy Stafford,"
"70",70,"7:42:19","Don't Panic Dads!","Recreational Open","Kayak",11,"John Geer, Rick Bogar, Dean Kanenaga, Sean Sigmon, Eric Jaecks, Marco Angel, Ralph Jorgenson, Michael Gage,"
"71",71,"7:42:34","Habitat for Humanity, Whatcom County","Veterans","Kayak",6,"Hans Wolfisberg, Albert Siebring, Roger Burke, Jesse Stevick, Steve VandenBos, John Steensma, Marlin Hendricks, Tom Iverson,"
"72",72,"7:43:52","Old Skool","Masters","Kayak",5,"Vern Heikkila, Jeff Wong, Jeff Lemon, Brian Cokeley, Marty Sitton, Andy Schmunk, Ki Shin, Kevin Easley,"
"73",73,"7:44:34","Jon Greers Stupid Face","Competitive Open","Kayak",29,"JOHN MIRANDA, Bruce Miranda, Ryan Schmidt, Christin Clawson, William Greer, Josh Spooner, Michael Dee, Jon Lewis,"
"74",74,"7:45:41","Fighting Middle Age","Recreational Open","Kayak",12,"Joshua Latterell, Kelly McCaffrey, J. Irons, joanne davis, Lara Fowler, Nathan Woodford, Chris Fowler, Brent Davis,"
"75",75,"7:46:50","Whatcom Physical Therapy and Fitness","Recreational Open","Kayak",13,"Alan Finston, Greg Manning, Joel Sellinger, Wyatt Beckwith, Matthew Hovde, Preston Sellinger, Jared Parker, Dustin Sellinger,"
"76",76,"7:48:30","BigBig Bettys","Competitive Open","Kayak",30,"Bob Warinner, Sam Grote, Patrick Jablonski, Matt Kryman, Dominic Tracy, Corey Vannoy, Jason Strayer, Scott Lipp,"
"77",77,"7:49:06","Kicked in the Nooksack","Whatcom County Open","Kayak",6,"Jon Allen, Stacy Herron, Ben Shaklee, David Penrose, Mark Bussell, Dave Bushnell, Lance Romo, Ryan Gaffney,"
"78",78,"7:49:38","Fairhaven Fitness Ferocious Females","Whatcom County Women","Kayak",4,"Ginny Spooner, Robin Robertson, Nicole Connor, Cathy McConechy, Kelly Krieger, Meilani Obra, Vanessa Haycock, Darcee Burdick,"
"79",79,"7:49:48","SSC You Call We Haul","Competitive Mixed","Kayak",3,"David Oreiro, Tyson Oreiro, Stephanie Riley, Sheri Baker, Cheryl Batty, Magnus Collander, Traci Cole, David Robinson,"
"80",80,"7:50:44","Bike Spot","Recreational Open","Kayak",14,"Jeff Clement, Eric Dagg, Carolyn Moulton, Lindsay Olson, Lea Mckinstry, Andy Anthony, Juddy Ellison, Nick Stowe,"
"81",81,"7:50:46","BPD and Andy","Recreational Open","Kayak",15,"bernard vodopich, Marvin Sargent, Andy Rowlson, Kyle Nelson, Keith Johnson, Josh McKissick, Pete Moe, Kevin Freeman,"
"82",82,"7:51:09","Desolation Angels","Competitive Open","Kayak",31,"Saul Weisberg, Chris Moench, Roger Christophersen, Tom Venable, Jim Hildt, Mike Cuseo, Byron Ricks, Clint Hensley,"
"83",83,"7:51:40","BC Ski to Sea","Recreational Mixed","Kayak",1,"Duhane Lam, Tomi Johnson, Jane Weller, Alan thompson, Willy Schuurman, Pat Malaviarachchi, Natalie Thompson, Kathy McKay,"
"84",84,"7:52:44","Evolve","Competitive Open","Kayak",32,"Marc Blake, Chad Calhoun, Kelly Bird, Suzanne Lundberg, Chris Minton, Hilary Mosich, Howard Wright, Jason Puerto,"
"85",85,"7:52:50","Seemed Like a Good Idea at the Time....","Masters","Kayak",6,"Sandy [George] Lawrence, Michael Mallory, David Hansen, Chad Wendling, Steve Taylor, Dave Bennink, Greg Welsh, Steve Work,"
"86",86,"7:53:12","Colossal Ambition","Recreational Open","Kayak",16,"Emily Alfred, Iris Maute-Gibson, Dan Benowitz, Partrick Hunziker, Ian Baldwin, Sean Lahusen, Bentley Dempster, Chris Douglas,"
"87",87,"7:53:42","There Better be Beer at the Bottom","Recreational Open","Kayak",17,"Mark Miller, David Vanderhoek, Mark Overgaard, Eli Vseteckova, Kevin Miles, Patrick Tankersley, Mike Ilyin, Joel Wolcoski,"
"88",88,"7:54:30","Come at me Bro","Competitive Open","Kayak",33,"Tony Clarke, Conor Myhre, Daniel Tollefsen, Andrew Williams, Jim Marcotte, Nicasio Zanetti, Todd Cowles, Jeff Singer,"
"89",89,"7:55:58","Kevin LaFleur Memorial Team","Competitive Open","Kayak",34,"Derrick De Vries, Brandon Adams, Aaron Nydam, Ryan LaFleur, Scott Nydam, Brennan Van Loo, Tim Terpstra, Kevin Terpstra,"
"90",90,"7:56:01","Stallone in the Night","Whatcom County Open","Kayak",7,"Miguel Herrera, Sean Braaten, Eli Hooper, Dieter Amick, Bryce Moulton, Johan Axelson, Nick Hanlon, Noah Jack,"
"91",91,"7:56:33","OOO-UM-GOW-AH","Competitive Open","Kayak",35,"Dennis Lunny, Kris Georgen, Michael Hughes, Ryan Allsop, Gil Lund, Harold Cashman, Jim Olson, Jason Loeb,"
"92",92,"7:57:24","Mt. Baker Ski Patrol 'C' Team","Corporate","Kayak",6,"Forest Chiavario, Randy Korthuis, Dennis Larson, Doug Jungclaus, Ken Henderson, Justin Mitchell, Greg Spooner, Jason King,"
"93",93,"7:57:32","Higher Plane Cabinets","Competitive Open","Kayak",36,"Bobby Jones, Kris Hunt, Mark Lackey, Jim Lackey, Corey Pflueger, Justin Dudley, James Stegen, Kurt Swanson,"
"94",94,"7:58:15","Aunt Janie's Roadtrip","Recreational Mixed","Kayak",2,"Susan Bennerstrom, David Scherrer, Steve Rankin, Candice Burt, Kammie Hilleary, Peter Rankin, Debbie Arthur, Josh Ramsey,"
"95",95,"7:58:35","Toplinx One","Veterans","Kayak",7,"glenn biernacki, Pat Baker, Paul de Jong, Dan Pike, Seth Fleetwood, Kevin Williamson, Jeff Hegedus, Philip Spanel,"
"96",96,"7:59:08","Mass Wasting","Recreational Open","Kayak",18,"Taylor Schwartz, Lowell Neal, Peder Dahl, Jeremy Lieb, Eric Kiflawi, Anthony Lieb, Dan Baharav, Tom Winter,"
"97",97,"8:00:09","Moore Sharp Newcomers","Family","Kayak",2,"val heckrodt, Barbara Heckrodt, matt sharp, will moore, Luke Heckrodt, Steve Brummel, noah cyrmoore, craig moore,"
"98",98,"8:01:07","Proof is in the Puddin'","Recreational Open","Kayak",19,"Deb Hampton, Dana Dickerson, Dave Bishop, Karl Robillard, Milo Himes, William Mee, Jennifer Hampton, Ben Caldwell,"
"99",99,"8:01:18","To Be Determined","Veterans","Kayak",8,"Richard Hoke, Mel Elpusan, Pat Crosby, Steve Nagel, Matt Knox, Stephan Collier, Ross Anderson, Dan Garrison,"
"100",100,"8:01:41","YD Adventures","Recreational Mixed","Kayak",3,"Derek Stuart, Rich Heidecker, Jed Barth, Amy Heidecker, Becca Crandall, Dan Nichols, Deborah Molsberry, Aaron Bryant,"
"101",101,"8:02:11","The Locust Rundgrave Band Ski to Sea Race Team","Competitive Open","Kayak",37,"Dustin Fairbrook, Michael Bakke, Josh Corliss, Colt Sleight, Jordi Viladas, Ian Bakke, Alex Riedo, Ryan Canton,"
"102",102,"8:02:37","Diego's Fresh Express","High School","Kayak",2,"Erik Poulin, Lucas Ward, Liam Horner, Ezra Bergeron, Jake Highleyman, McKai Morgan, Ian Earle, Charlie Linneman,"
"103",103,"8:02:54","Dark Side","Competitive Open","Kayak",38,"Peter Young, Nat Woodsmith, Ivan Larson, Marcus Nevitt, Roy Morris, Brandon Elley, Dylan Stanford, Brian Karlberg,"
"104",104,"8:03:34","wild hose rides again","Masters","Kayak",7,"Kelly Stockton, Steve Hood, Ryan Mallory, Brent Carbajal, John Wilson, matt elich, Robert Fritzen, Mark Henderson,"
"105",104,"8:03:34","High Expectations","High School","Kayak",3,"Cannon Mallory, Isaac Day, Shannon Mallory, Maya Norton, Nick Taylor, Caleb Hale, Cameron ""Scout"" Mora, Jeff Biery,"
"106",106,"8:03:42","Bellingham Ace Hardware","Competitive Open","Kayak",39,"Steve Zwaller, Nathan Pearson, Thomas Pann, Marion Folkemer, Jerry Zyskowski, Doug Asbe, Lester Keel, Erik Luthy,"
"107",107,"8:03:53","Team Haskell","Whatcom County Open","Kayak",8,"Evan Haskell, Troy Haskell, Jeff Jenkins, Giang Ha, Elisha Anderson, Ian Steger, Mike Head, Nick Sellgren,"
"108",108,"8:03:57","Katie's Beefcakes","Recreational Open","Kayak",20,"Dave Hirsch, Brian Rusk, Aaron Stoertz, Scott Sandeno, Doug Clark, Zach Holtzman, Matt Laas, Sam Long,"
"109",109,"8:04:25","2 Good Guys and the Rest","Competitive Open","Kayak",40,"Jeff Steensland, Judson Swets, Jason Morris, Shane Evans, Phillip Henoch, Shawn Morton, Troy Husband, Jason Stuart,"
"110",110,"8:04:44","Cascade DAFO","Recreational Open","Kayak",21,"Don Buethorn, Anne Buethorn, Larry Paise, Jessica Spencer, Hans-Rudolf Guenter-Schlesinger, Lane Guffy, Jim Belanger, James Redhed,"
"111",111,"8:06:53","Marylu","Recreational Open","Kayak",22,"Zach Seilo, Hilary Andrus, Mack Mackiewicz, Jon Paulson, Elizabeth Bates, Cooper Engst, Robbie Andrus, Tyson Minck,"
"112",112,"8:07:10","We Used to Be Good","Recreational Open","Kayak",23,"Mark Lazich, JR VanSlyke, Matt Dowling, Tom Poast, Keith Poynter, Russ Isaly, Darren Jacobson, Marc Schneider,"
"113",113,"8:07:34","Kevin LaFleur Memorial Team Mixed","Recreational Mixed","Kayak",4,"Jules Riske, Carmen De Vries, Blake Adams, Samantha Person, Leah Nydam, Mark De Vries, Kai Ottesen, Philip De Vries,"
"114",114,"8:07:53","MRSAnary (Mostly) Men","Whatcom County Open","Kayak",9,"Ethan Teed, Matthew Strome, Bob Pitton, Dylan Tomberlin, Paul Chamberlain, Casey Schmidt, Jim Buchanan, Jackson Nung,"
"115",115,"8:07:57","Wind delay","Recreational Mixed","Kayak",5,"Brett Sivret, Deanna Sivret, Stacy Halbakken, Lindsey Battjes, Suzanne Pattinson, Randy Evans, Nick Battjes, Chris Lockwood,"
"116",116,"8:08:04","The Dukes of Haphazard","Recreational Open","Kayak",24,"Chris Jacobs, James Honnoll, Ken Salapatek, Kristy Scherner, Tom Garvey, Tab Wilkins, Big Bad Barry Olver, Shawn Richards,"
"117",117,"8:09:12","Ain't No Mountain High Enough","Recreational Women","Kayak",1,"Angie Lancaster, Kara Turner, Jamie Holmstrom, Hanna Brionez, Carol Terrell, Tracy Bell, Melissa Olson, Stacy Otter,"
"118",118,"8:09:25","CH2MHILL","Corporate","Kayak",7,"Chuck Nelson, John Stocklass, Grant Gerlach, Ann Helgeson, Alex Caelles, Gordon Bullivant, Dale Dunford, Kent Murray,"
"119",119,"8:09:36","Revenge of the Earth Nerds","Recreational Mixed","Kayak",6,"Kris Knight, Kevin Morse, Jenny Baker, Marita Davison, Julie Morse, Bob Carey, Kat Morgan, Chris Davis,"
"120",120,"8:10:10","Car Free-- Slugg Army","Whatcom County Open","Kayak",10,"Dominic Battistella, Kyle Morris, Jason Byal, Nicole Bruno, Aaron Loveitt, Jodee Adams-Moore, Simon Graves, Jacob Stewart,"
"121",121,"8:10:36","This Won't Hurt a Bit","Recreational Open","Kayak",25,"Dom Femiano, Will Bronec, Stephen Markowitz, Polly Fabian, Rich Kovar, Matt Parker, Tom Linde, Carl Morris,"
"122",122,"8:11:09","Katie's Cupcakes","Recreational Women","Kayak",2,"Niki Bowerman, Heather Hirsch, Meredith Barrett, Brie Hyslop, Tracy McDermott, Jen Leggette, Dacia Grayber, Amanda Good,"
"123",123,"8:12:05","BLEVE","Recreational Open","Kayak",26,"Cevin Gourley, Charlie Drury, Todd McLean, Emmett Woolley, Camari Olson, Justin Jobes, Keith McLean, Aaron Knapp,"
"124",124,"8:12:20","Winers and Whiners","Recreational Open","Kayak",27,"Ken Bellefeuille, Dave McCarty, Greg Jimenez, Alicia Beck, Kathleen Kubis, Gary Griffiths, Mike Kutcher, Don Larsen,"
"125",125,"8:12:39","Sehome UPS Store-mers","Recreational Mixed","Kayak",7,"Sandi Mitchell, Tim Jollimore, Micah Gaston, Liana Hart, ellie booher, Andy Murray, Kenny Wallace, Pam Fonda,"
"126",126,"8:12:43","Put A Bird On It","Recreational Mixed","Kayak",8,"Alexandre Baudouin, Tandra Schmid, Tom Simonson, Michelle Callan, Julia Roether, Patricia Smaldone, Steve Sand, Arlo Varri,"
"127",127,"8:13:10","Secret Armada","Recreational Open","Kayak",28,"Darin MacGillivray, Jim Karcher, Michael Breeding, Alain Salomon, Chris Pippard, Doug Burghart, Ray Klein, Paul Thompson,"
"128",128,"8:13:41","IsoLab","Competitive Open","Kayak",41,"Geoff Huntington, Trenten Huntington, Michael Hay, Kate Huntington, Eric Steig, Nathan Peters, Brad Markle, Spruce Schoenemann,"
"129",129,"8:13:49","Peak 7 - Team Spokane","Recreational Open","Kayak",29,"Sara Kimball, Paul Kimball, Mark Waters, Nick Johnson, Annie Warner, Josh Roe, Ryan Kerrigan, Jamie Jordan,"
