Name,Position,Age,"Birthdate
",Height,Weight,Height (ft/in),"Weight
st/lb",Contract,Length,Team 
Mack HANSEN,Fullback,27 y/o,27/03/1998,1.88 m,89 kg,6 ft 2 in,14 st 0.21 lb; 196.21 lb,PRO,2027,connacht
Alulutho TSHAKWENI,Prop,26 y/o,26/09/1998,1.83 m,110 kg,6 ft,17 st; 242.51 lb,PRO,2026,bulls
Dylan SMITH,Prop,31 y/o,26/02/1994,1.80 m,116 kg,5 ft 11 in,18 st 3.74 lb; 255.74 lb,PRO,2025,bulls
François KLOPPER,Prop,25 y/o,07/09/1999,1.88 m,130 kg,6 ft 2 in,20 st 6.60 lb; 286.60 lb,PRO,,bulls
Gerhard STEENEKAMP,Prop,28 y/o,09/04/1997,1.94 m,128 kg,6 ft 4 in,20 st 2.19 lb; 282.19 lb,PRO,2028,bulls
Juann ELSE,Prop,22 y/o,22/05/2003,1.80 m,101 kg,5 ft 11 in,15 st 12.67 lb; 222.67 lb,PRO,,bulls
Mornay SMITH,Prop,27 y/o,30/01/1998,1.81 m,119 kg,5 ft 11 in,18 st 10.35 lb; 262.35 lb,PRO,2026,bulls
Seb LOMBARD,Prop,22 y/o,07/10/2002,1.90 m,126 kg,6 ft 3 in,19 st 11.78 lb; 277.78 lb,PRO,,bulls
Simphiwe MATANZIMA,Prop,27 y/o,18/08/1997,1.83 m,121 kg,6 ft,19 st; 266.76 lb,PRO,2025,bulls
Tielman NIEUWOUDT,Prop,23 y/o,22/04/2002,1.80 m,128 kg,5 ft 11 in,20 st 2.19 lb; 282.19 lb,PRO,2025,bulls
Wilco LOUW,Prop,30 y/o,20/07/1994,1.85 m,144 kg,6 ft 1 in,22 st 9.47 lb; 317.47 lb,PRO,2026,bulls
Akker VAN DER MERWE,Hooker,34 y/o,17/06/1991,1.78 m,108 kg,5 ft 10 in,17 st 0.10 lb; 238.10 lb,PRO,2026,bulls
Jan-Hendrik WESSELS,Hooker,24 y/o,08/05/2001,1.88 m,121 kg,6 ft 2 in,19 st 0.76 lb; 266.76 lb,PRO,2026,bulls
Joe VAN ZYL,Hooker,26 y/o,21/01/1999,1.85 m,114 kg,6 ft 1 in,17 st 13.33 lb; 251.33 lb,PRO,,bulls
Johan GROBBELAAR,Hooker,27 y/o,30/12/1997,1.83 m,105 kg,6 ft,16 st; 231.49 lb,PRO,2027,bulls
Cobus WIESE,Lock,28 y/o,02/06/1997,1.99 m,125 kg,6 ft 6 in,19 st 9.58 lb; 275.58 lb,PRO,2026,bulls
Deon SLABBERT,Lock,25 y/o,04/05/2000,2.00 m,117 kg,6 ft 7 in,18 st 5.94 lb; 257.94 lb,PRO,,bulls
Jaco GROBBELAAR,Lock,20 y/o,01/01/2005,1.98 m,109 kg,6 ft 6 in,17 st 2.30 lb; 240.30 lb,ACADEMY,,bulls
JF VAN HEERDEN,Lock,21 y/o,06/05/2004,2.01 m,122 kg,6 ft 7 in,19 st 2.96 lb; 268.96 lb,PRO,2027,bulls
Reinhardt LUDWIG,Lock,22 y/o,27/08/2002,1.98 m,110 kg,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,,bulls
Ruan NORTJÉ,Lock,26 y/o,25/07/1998,2.00 m,113 kg,6 ft 7 in,17 st 11.12 lb; 249.12 lb,PRO,2027,bulls
Ruan VERMAAK,Lock,27 y/o,01/05/1998,1.99 m,120 kg,6 ft 6 in,18 st 12.55 lb; 264.55 lb,PRO,2027,bulls
Sintu MANJEZI,Lock,30 y/o,07/04/1995,1.98 m,118 kg,6 ft 6 in,18 st 8.15 lb; 260.15 lb,PRO,2028,bulls
Cameron HANEKOM,Back row,23 y/o,10/05/2002,1.93 m,104 kg,6 ft 4 in,16 st 5.28 lb; 229.28 lb,PRO,,bulls
Corné BEETS,Back row,21 y/o,01/10/2003,1.88 m,105 kg,6 ft 2 in,16 st 7.49 lb; 231.49 lb,PRO,2026,bulls
Cyle BRINK,Back row,31 y/o,16/01/1994,1.91 m,115 kg,6 ft 3 in,18 st 1.53 lb; 253.53 lb,PRO,,bulls
Elrigh LOUW,Back row,25 y/o,20/09/1999,1.95 m,112 kg,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2027,bulls
Ghudian VAN REENEN,Back row,21 y/o,17/09/2003,1.90 m,104 kg,6 ft 3 in,16 st 5.28 lb; 229.28 lb,PRO,,bulls
Jannes KIRSTEN,Back row,31 y/o,01/12/1993,1.97 m,117 kg,6 ft 6 in,18 st 5.94 lb; 257.94 lb,PRO,2026,bulls
Marcell COETZEE,Back row,34 y/o,08/05/1991,1.91 m,118 kg,6 ft 3 in,18 st 8.15 lb; 260.15 lb,PRO,2027,bulls
Marco VAN STADEN,Back row,29 y/o,25/08/1995,1.84 m,112 kg,6 ft,17 st; 246.92 lb,PRO,2027,bulls
Mihlali MOSI,Back row,29 y/o,12/05/1996,1.90 m,106 kg,6 ft 3 in,16 st 9.69 lb; 233.69 lb,PRO,2025,bulls
Mpilo GUMEDE,Back row,24 y/o,08/07/2000,1.93 m,110 kg,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,2028,bulls
Nama XABA,Back row,27 y/o,26/07/1997,1.85 m,103 kg,6 ft 1 in,16 st 3.08 lb; 227.08 lb,PRO,2026,bulls
Nizaam CARR,Back row,34 y/o,04/04/1991,1.78 m,106 kg,5 ft 10 in,16 st 9.69 lb; 233.69 lb,PRO,2027,bulls
Bernard VAN DER LINDE,Scrum-half,24 y/o,30/11/2000,1.75 m,86 kg,5 ft 9 in,13 st 7.60 lb; 189.60 lb,PRO,2025,bulls
Embrose PAPIER,Scrum-half,28 y/o,25/04/1997,1.71 m,80 kg,5 ft 7 in,12 st 8.37 lb; 176.37 lb,PRO,2027,bulls
Keagan JOHANNES,Scrum-half,25 y/o,27/11/1999,1.78 m,77 kg,5 ft 10 in,12 st 1.76 lb; 169.76 lb,PRO,2026,bulls
Zak BURGER,Scrum-half,26 y/o,20/08/1998,1.74 m,83 kg,5 ft 9 in,13 st 0.98 lb; 182.98 lb,PRO,2026,bulls
Boeta CHAMBERLAIN,Fly-half,26 y/o,22/02/1999,1.84 m,83 kg,6 ft,13 st; 182.98 lb,PRO,2025,bulls
Jaco VAN DER WALT,Fly-half,31 y/o,01/02/1994,1.82 m,92 kg,6 ft,14 st; 202.83 lb,PRO,2025,bulls
Johan GOOSEN,Fly-half,32 y/o,27/07/1992,1.84 m,89 kg,6 ft,14 st; 196.21 lb,PRO,2026,bulls
Chris SMIT,Centre,29 y/o,01/08/1995,1.82 m,93 kg,6 ft,14 st; 205.03 lb,PRO,2025,bulls
Cornel SMIT,Centre,27 y/o,10/09/1997,1.83 m,96 kg,6 ft,15 st; 211.64 lb,PRO,,bulls
Harold VORSTER,Centre,31 y/o,11/10/1993,1.88 m,101 kg,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,,bulls
Katlego LETEBELE,Centre,21 y/o,18/11/2003,1.87 m,92 kg,6 ft 2 in,14 st 6.83 lb; 202.83 lb,PRO,,bulls
Stedman GANS,Centre,28 y/o,19/03/1997,1.80 m,99 kg,5 ft 11 in,15 st 8.26 lb; 218.26 lb,PRO,,bulls
Aphiwe DYANTYI,Winger,30 y/o,26/08/1994,1.82 m,90 kg,6 ft,14 st; 198.42 lb,PRO,2026,bulls
Canan MOODIE,Winger,22 y/o,05/11/2002,1.91 m,94 kg,6 ft 3 in,14 st 11.23 lb; 207.23 lb,PRO,2027,bulls
Sebastian DE KLERK,Winger,25 y/o,05/04/2000,1.80 m,91 kg,5 ft 11 in,14 st 4.62 lb; 200.62 lb,PRO,2026,bulls
Sergeal PETERSEN,Winger,30 y/o,01/08/1994,1.73 m,86 kg,5 ft 8 in,13 st 7.60 lb; 189.60 lb,PRO,,bulls
Stravino JACOBS,Winger,25 y/o,21/02/2000,1.80 m,103 kg,5 ft 11 in,16 st 3.08 lb; 227.08 lb,PRO,,bulls
David KRIEL,Fullback,26 y/o,15/02/1999,1.95 m,102 kg,6 ft 5 in,16 st 0.87 lb; 224.87 lb,PRO,2027,bulls
Devon WILLIAMS,Fullback,33 y/o,16/04/1992,1.75 m,79 kg,5 ft 9 in,12 st 6.17 lb; 174.16 lb,PRO,,bulls
Sibongile NOVUKA,Fullback,27 y/o,01/02/1998,1.92 m,97 kg,6 ft 4 in,15 st 3.85 lb; 213.85 lb,PRO,,bulls
Willie LE ROUX,Fullback,35 y/o,18/08/1989,1.84 m,92 kg,6 ft,14 st; 202.83 lb,PRO,2027,bulls
Corey DOMACHOWSKI,Prop,28 y/o,19/09/1996,1.83 m,124 kg,6 ft,19 st; 273.37 lb,PRO,,cardiff
Danny SOUTHWORTH,Prop,26 y/o,04/05/1999,1.83 m,120 kg,6 ft,18 st; 264.55 lb,PRO,,cardiff
Ed BYRNE,Prop,31 y/o,09/09/1993,1.80 m,115 kg,5 ft 11 in,18 st 1.53 lb; 253.53 lb,PRO,,cardiff
Keiron ASSIRATTI,Prop,28 y/o,30/06/1997,1.78 m,119 kg,5 ft 10 in,18 st 10.35 lb; 262.35 lb,PRO,,cardiff
Rhys LITTERICK,Prop,26 y/o,02/03/1999,1.79 m,120 kg,5 ft 10 in,18 st 12.55 lb; 264.55 lb,PRO,2025,cardiff
Will DAVIES-KING,Prop,26 y/o,28/07/1998,1.93 m,128 kg,6 ft 4 in,20 st 2.19 lb; 282.19 lb,PRO,,cardiff
Dafydd HUGHES,Hooker,29 y/o,08/01/1996,1.79 m,105 kg,5 ft 10 in,16 st 7.49 lb; 231.49 lb,PRO,,cardiff
Efan DANIEL,Hooker,22 y/o,14/12/2002,1.85 m,105 kg,6 ft 1 in,16 st 7.49 lb; 231.49 lb,PRO,2025,cardiff
Evan LLOYD,Hooker,23 y/o,28/12/2001,1.85 m,115 kg,6 ft 1 in,18 st 1.53 lb; 253.53 lb,PRO,,cardiff
Liam BELCHER,Hooker,29 y/o,28/04/1996,1.77 m,107 kg,5 ft 10 in,16 st 11.89 lb; 235.89 lb,PRO,,cardiff
Josh MCNALLY,Lock,34 y/o,21/08/1990,2.01 m,125 kg,6 ft 7 in,19 st 9.58 lb; 275.58 lb,PRO,2026,cardiff
Rory THORNTON,Lock,30 y/o,16/03/1995,2.01 m,119 kg,6 ft 7 in,18 st 10.35 lb; 262.35 lb,PRO,,cardiff
Seb DAVIES,Lock,29 y/o,17/05/1996,2.03 m,119 kg,6 ft 8 in,18 st 10.35 lb; 262.35 lb,PRO,2025,cardiff
Alex MANN,Back row,23 y/o,06/01/2002,1.91 m,98 kg,6 ft 3 in,15 st 6.05 lb; 216.05 lb,PRO,,cardiff
Alun LAWRENCE,Back row,26 y/o,15/09/1998,1.91 m,112 kg,6 ft 3 in,17 st 8.92 lb; 246.92 lb,PRO,,cardiff
Ben DONNELL,Back row,24 y/o,02/08/2000,1.98 m,115 kg,6 ft 6 in,18 st 1.53 lb; 253.53 lb,PRO,,cardiff
Dan THOMAS,Back row,31 y/o,11/10/1993,1.83 m,101 kg,6 ft,15 st; 222.67 lb,PRO,,cardiff
Gwilym BRADLEY,Back row,24 y/o,10/09/2000,1.88 m,99 kg,6 ft 2 in,15 st 8.26 lb; 218.26 lb,PRO,2025,cardiff
James BOTHAM,Back row,27 y/o,22/02/1998,1.91 m,108 kg,6 ft 3 in,17 st 0.10 lb; 238.10 lb,PRO,,cardiff
Mackenzie MARTIN,Back row,21 y/o,26/10/2003,1.96 m,116 kg,6 ft 5 in,18 st 3.74 lb; 255.74 lb,PRO,,cardiff
Teddy WILLIAMS,Back row,24 y/o,18/10/2000,1.98 m,118 kg,6 ft 6 in,18 st 8.15 lb; 260.15 lb,PRO,,cardiff
Toby FALETAU,Back row,34 y/o,12/11/1990,1.88 m,113 kg,6 ft 2 in,17 st 11.12 lb; 249.12 lb,PRO,,cardiff
Tom YOUNG,Back row,33 y/o,18/05/1992,1.81 m,104 kg,5 ft 11 in,16 st 5.28 lb; 229.28 lb,PRO,2025,cardiff
Aled DAVIES,Scrum-half,32 y/o,19/07/1992,1.78 m,88 kg,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,,cardiff
Callum BRALEY,Scrum-half,31 y/o,20/03/1994,1.78 m,84 kg,5 ft 10 in,13 st 3.19 lb; 185.19 lb,PRO,,cardiff
Ellis BEVAN,Scrum-half,25 y/o,10/03/2000,1.80 m,92 kg,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,,cardiff
Ethan LLOYD,Scrum-half,23 y/o,29/09/2001,1.78 m,82 kg,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,,cardiff
Johan MULDER,Scrum-half,25 y/o,06/08/1999,1.76 m,85 kg,5 ft 9 in,13 st 5.39 lb; 187.39 lb,PRO,,cardiff
Ben THOMAS,Fly-half,26 y/o,25/11/1998,1.83 m,93 kg,6 ft,14 st; 205.03 lb,PRO,,cardiff
Callum SHEEDY,Fly-half,29 y/o,28/10/1995,1.77 m,88 kg,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,,cardiff
Rory JENNINGS,Fly-half,29 y/o,24/12/1995,1.80 m,91 kg,5 ft 11 in,14 st 4.62 lb; 200.62 lb,PRO,2026,cardiff
Tinus DE BEER,Fly-half,29 y/o,24/01/1996,1.76 m,90 kg,5 ft 9 in,14 st 2.42 lb; 198.42 lb,PRO,2025,cardiff
Harri MILLARD,Centre,28 y/o,17/08/1996,1.83 m,94 kg,6 ft,14 st; 207.23 lb,PRO,,cardiff
Louie HENNESSEY,Centre,21 y/o,29/03/2004,1.91 m,105 kg,6 ft 3 in,16 st 7.49 lb; 231.49 lb,PRO,,cardiff
Rey LEE-LO,Centre,39 y/o,20/02/1986,1.81 m,98 kg,5 ft 11 in,15 st 6.05 lb; 216.05 lb,PRO,2025,cardiff
Gabe HAMER-WEBB,Winger,24 y/o,07/11/2000,1.83 m,95 kg,6 ft,14 st; 209.44 lb,PRO,2025,cardiff
Iwan STEPHENS,Winger,23 y/o,24/03/2002,1.70 m,83 kg,5 ft 7 in,13 st 0.98 lb; 182.98 lb,PRO,,cardiff
Josh ADAMS,Winger,30 y/o,21/04/1995,1.86 m,96 kg,6 ft 1 in,15 st 1.64 lb; 211.64 lb,PRO,,cardiff
Mason GRADY,Winger,23 y/o,29/03/2002,1.96 m,111 kg,6 ft 5 in,17 st 6.71 lb; 244.71 lb,PRO,,cardiff
Regan GRACE,Winger,28 y/o,12/12/1996,1.78 m,82 kg,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,2025,cardiff
Theo CABANGO,Winger,23 y/o,29/11/2001,1.74 m,83 kg,5 ft 9 in,13 st 0.98 lb; 182.98 lb,PRO,,cardiff
Cam WINNETT,Fullback,22 y/o,07/01/2003,1.80 m,85 kg,5 ft 11 in,13 st 5.39 lb; 187.39 lb,PRO,,cardiff
Jacob BEETHAM,Fullback,24 y/o,18/04/2001,1.85 m,87 kg,6 ft 1 in,13 st 9.80 lb; 191.80 lb,PRO,,cardiff
Chris COLEMAN,Prop,26 y/o,31/08/1998,1.89 m,130 kg,6 ft 2 in,20 st 6.60 lb; 286.60 lb,PRO,,dragons
Dmitri ARHIP,Prop,36 y/o,12/11/1988,1.83 m,120 kg,6 ft,18 st; 264.55 lb,PRO,2025,dragons
Jamie HUGHES,Prop,28 y/o,30/09/1996,1.88 m,121 kg,6 ft 2 in,19 st 0.76 lb; 266.76 lb,PRO,,dragons
Josh REYNOLDS,Prop,26 y/o,01/12/1998,1.80 m,116 kg,5 ft 11 in,18 st 3.74 lb; 255.74 lb,PRO,2025,dragons
Luke YENDLE,Prop,25 y/o,27/06/2000,1.85 m,120 kg,6 ft 1 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Nathan EVANS,Prop,23 y/o,03/01/2002,1.78 m,120 kg,5 ft 10 in,18 st 12.55 lb; 264.55 lb,PRO,2025,dragons
Paula LATU,Prop,29 y/o,14/02/1996,1.87 m,123 kg,6 ft 2 in,19 st 5.17 lb; 271.17 lb,PRO,2025,dragons
Rhodri JONES,Prop,33 y/o,23/12/1991,1.91 m,120 kg,6 ft 3 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Rodrigo MARTINEZ,Prop,26 y/o,07/07/1998,1.88 m,120 kg,6 ft 2 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Brodie COGHLAN,Hooker,24 y/o,21/12/2000,1.83 m,112 kg,6 ft,17 st; 246.92 lb,PRO,,dragons
Elliot DEE,Hooker,31 y/o,07/03/1994,1.86 m,106 kg,6 ft 1 in,16 st 9.69 lb; 233.69 lb,PRO,,dragons
James BENJAMIN,Hooker,31 y/o,21/02/1994,1.83 m,100 kg,6 ft,15 st; 220.46 lb,PRO,,dragons
Lewis MORGAN,Hooker,21 y/o,01/08/2003,1.78 m,108 kg,5 ft 10 in,17 st 0.10 lb; 238.10 lb,PRO,,dragons
Oli BURROWS,Hooker,23 y/o,16/05/2002,1.88 m,110 kg,6 ft 2 in,17 st 4.51 lb; 242.51 lb,PRO,,dragons
Barny LANGTON,Lock,24 y/o,26/01/2001,1.95 m,117 kg,6 ft 5 in,18 st 5.94 lb; 257.94 lb,PRO,,dragons
Ben CARTER,Lock,24 y/o,23/01/2001,1.98 m,122 kg,6 ft 6 in,19 st 2.96 lb; 268.96 lb,PRO,,dragons
George NOTT,Lock,29 y/o,21/06/1996,1.98 m,114 kg,6 ft 6 in,17 st 13.33 lb; 251.33 lb,PRO,2025,dragons
Joe DAVIES,Lock,29 y/o,13/11/1995,1.97 m,130 kg,6 ft 6 in,20 st 6.60 lb; 286.60 lb,PRO,2025,dragons
Matthew SCREECH,Lock,32 y/o,24/10/1992,1.96 m,116 kg,6 ft 5 in,18 st 3.74 lb; 255.74 lb,PRO,,dragons
Steven CUMMINS,Lock,33 y/o,29/03/1992,2.02 m,120 kg,6 ft 8 in,18 st 12.55 lb; 264.55 lb,PRO,,dragons
Aaron WAINWRIGHT,Back row,27 y/o,25/09/1997,1.88 m,110 kg,6 ft 2 in,17 st 4.51 lb; 242.51 lb,PRO,,dragons
Dan LYDIATE,Back row,37 y/o,18/12/1987,1.93 m,115 kg,6 ft 4 in,18 st 1.53 lb; 253.53 lb,PRO,2025,dragons
George YOUNG,Back row,23 y/o,10/10/2001,1.92 m,108 kg,6 ft 4 in,17 st 0.10 lb; 238.10 lb,PRO,2025,dragons
Harri KEDDIE,Back row,28 y/o,10/07/1996,1.88 m,110 kg,6 ft 2 in,17 st 4.51 lb; 242.51 lb,PRO,,dragons
Shane LEWIS-HUGHES,Back row,27 y/o,20/09/1997,1.96 m,115 kg,6 ft 5 in,18 st 1.53 lb; 253.53 lb,PRO,,dragons
Solomone FUNAKI,Back row,31 y/o,25/04/1994,1.87 m,115 kg,6 ft 2 in,18 st 1.53 lb; 253.53 lb,PRO,,dragons
Taine BASHAM,Back row,25 y/o,02/11/1999,1.82 m,100 kg,6 ft,15 st; 220.46 lb,PRO,2025,dragons
Dane BLACKER,Scrum-half,26 y/o,06/07/1998,1.78 m,78 kg,5 ft 10 in,12 st 3.96 lb; 171.96 lb,PRO,2025,dragons
Rhodri WILLIAMS,Scrum-half,32 y/o,05/05/1993,1.79 m,81 kg,5 ft 10 in,12 st 10.57 lb; 178.57 lb,PRO,,dragons
Angus O'BRIEN,Fly-half,30 y/o,17/09/1994,1.80 m,89 kg,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,,dragons
Cai EVANS,Fly-half,26 y/o,23/06/1999,1.85 m,84 kg,6 ft 1 in,13 st 3.19 lb; 185.19 lb,PRO,,dragons
Josh THOMAS,Fly-half,24 y/o,30/06/2000,1.78 m,83 kg,5 ft 10 in,13 st 0.98 lb; 182.98 lb,PRO,2025,dragons
Lloyd EVANS,Fly-half,29 y/o,14/12/1995,1.83 m,90 kg,6 ft,14 st; 198.42 lb,PRO,2025,dragons
Will REED,Fly-half,23 y/o,03/11/2001,1.76 m,80 kg,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,2025,dragons
Aneurin OWEN,Centre,24 y/o,19/10/2000,1.80 m,89 kg,5 ft 11 in,14 st 0.21 lb; 196.21 lb,PRO,,dragons
Harry WILSON,Centre,24 y/o,17/08/2000,1.90 m,97 kg,6 ft 3 in,15 st 3.85 lb; 213.85 lb,PRO,2025,dragons
Scott WILLIAMS,Centre,34 y/o,10/10/1990,1.87 m,100 kg,6 ft 2 in,15 st 10.46 lb; 220.46 lb,PRO,2025,dragons
Ashton HEWITT,Winger,30 y/o,20/11/1994,1.80 m,90 kg,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,2025,dragons
Ewan ROSSER,Winger,24 y/o,16/12/2000,1.78 m,85 kg,5 ft 10 in,13 st 5.39 lb; 187.39 lb,PRO,,dragons
Jared ROSSER,Winger,27 y/o,31/12/1997,1.83 m,99 kg,6 ft,15 st; 218.26 lb,PRO,,dragons
Rio DYER,Winger,25 y/o,21/12/1999,1.85 m,84 kg,6 ft 1 in,13 st 3.19 lb; 185.19 lb,PRO,,dragons
Jordan WILLIAMS,Fullback,31 y/o,20/09/1993,1.73 m,81 kg,5 ft 8 in,12 st 10.57 lb; 178.57 lb,PRO,2025,dragons
Angus WILLIAMS,Prop,31 y/o,11/11/1993,1.80 m,117 kg,5 ft 11 in,18 st 5.94 lb; 257.94 lb,PRO,2026,edinburgh
Boan VENTER,Prop,28 y/o,12/04/1997,1.87 m,124 kg,6 ft 2 in,19 st 7.37 lb; 273.37 lb,PRO,2026,edinburgh
D'Arcy RAE,Prop,30 y/o,21/12/1994,1.86 m,125 kg,6 ft 1 in,19 st 9.58 lb; 275.58 lb,PRO,2027,edinburgh
